,국가,대학교명,내용,요약,요약번역,분류,5분류
278,남아프리카 공화국,Cape Town,"Also in the Faculty of Law is the Centre of Criminology, which engages with a range of partners, including civil society, local government, state institutions and the international multilateral system. Based in a city plagued by gang violence and high rates of violent crime, its research covers urban security, state and non-state security policing and organised crime and illicit markets.","The School of Law offers a wide range of graduate and post-graduate courses in a variety of areas, including criminal law, constitutional law, tax law, intellectual property law and international law."," 로스쿨은 형법, 헌법, 세법, 지적 재산권법 및 국제법을 포함한 다양한 분야에서 광범위한 대학원 및 대학원 과정을 제공합니다.",16,4
81,영국,Manchester,"Our Anti-Corruption and BriberyPolicy takes a zero-tolerance approachto bribery and corruption in all of ourUniversity operations.Our Academic Freedom Policy commitsour University to the principles ofacademic freedom.Our Code of Practice on Freedom ofSpeech ensures academics can putforward new ideas and controversialor unpopular opinions without placingthemselves at risk of losing their jobs orany privileges.Our Policy for Socially ResponsibleInvestment pursues an ethical investmentapproach, considering social, economicand environmental factors ininvestment decisions. For example,we seek to avoiding involvement inhuman rights violations, environmentaldegradation, arms sales and thetobacco industry. We’ve also signed upto the UN-supported Principles forResponsible Investment.","The University of Bristol has a number of policies and procedures designed to promote the highest standards of academic freedom, social responsibility and anti-corruption."," 브리스톨 대학교는 최고 수준의 학문적 자유, 사회적 책임 및 부패 방지를 촉진하기 위해 고안된 여러 정책과 절차를 가지고 있습니다.",16,4
161,호주,Sydney,"A student voice
Master of Sustainability graduate Madeline Combe described why she thinks SDG16 is important: “The
justice piece really comes in so strongly when we look at maybe the cost of decarbonising we constantly
think about staying within our planetary boundaries and preserving the resources we need to survive and
ultimately that transition has to be sensitive to rising inequalities and social justice. People are important,
we’re trying to save the planet for people. You cannot have climate justice without social justice.”","On the eve of the UN climate change summit in Paris, students from the University of Bristol have been speaking out about the importance of climate justice."," 파리에서 열린 유엔 기후변화 정상회의 전날, 브리스톨 대학교 학생들은 기후 정의의 중요성에 대해 이야기했습니다.",16,4
296,덴마크,Aalborg,"ELECTED REPRESENTATION
AAU holds annual elections to elect student and staff representatives
to the university’s highest governing bodies: The
University Board of Directors, Academic Councils, Department
Councils and the Study Boards",Find out more about how you can get involved in the running of the University of Aberdeen., 애버딘 대학교 운영에 참여할 수 있는 방법에 대해 자세히 알아보십시오.,16,4
172,파키스탄,NUST,"Seminar on “Pakistan:
A Misunderstood
State and Countering
Violent Extremism:
A Community-Led
Approach in the United
Kingdom”
Mr. Toaha Qureshi, the Founder Chairman of
Forum for International Relations Development
(FIRD) and Chairman, Stockwell Green Community
Services (SGCS), was invited at the Centre for
International Peace and Stability (CIPS), to share
his abundant knowledge, experiences, and
specializations with the students and faculty of
CIPS. Mr. Qureshi enlightened the audience with
his unparalleled insights on the subjects under
discussion for almost an hour, which was followed
by a stimulating Q&A session with the audience,
leaving a deeper impact on their cognizance.
Mr. Toaha Qureshi can be hailed as one of the
pioneers who formulated counter-radicalization,
countering-violent extremism and preventing
violent extremism programmes, strategies and
models for the UK government for over two
decades. His work has been implemented in
partnership with the European Union, Ministry of
Justice, Home Office, Police, local governments
and the communities at large.","Toaha Qureshi, one of the pioneers who formulated counter-radicalization, countering-violent extremism and preventing violent extremism programmes, strategies and models for the UK government, was invited to share his abundant knowledge, experiences, and enlighteneds with the students and faculty of CIPS."," 영국 정부를 위해 급진주의 반대, 폭력적 극단주의 반대 및 폭력적 극단주의 방지 프로그램, 전략 및 모델을 공식화한 개척자 중 한 명인 Toaha Qureshi는 CIPS의 학생 및 교수진과 자신의 풍부한 지식, 경험 및 계몽된 지식을 공유하도록 초대되었습니다. .",16,4
194,호주,Victoria,"Research
National Identity and Social Cohesion
in a Time of Geopolitical and Economic
Tension by Robert Walters explores
human rights and international law
and addresses the legal, social and
political rationale and ramifications of
highlighting identity by national states
to increase and decrease population
numbers for economic benefit.",This lecture is part of a series on national identity and social cohesion.,이 강의는 국가 정체성과 사회 통합에 관한 시리즈의 일부입니다.,16,4
270,캐나다,Carleton,Our Sexual Assault Support services continue to be available. You can access free and confidential support via web or text message with our new CU SASC CHAT service.,"If you have been the victim of sexual assault or know someone who has, you are welcome to contact us.", 성추행을 당했거나 성범죄를 겪은 적이 있는 사람을 알고 계시다면 저희에게 연락주십시오.,16,4
153,말레이시아,Sunway,"As a conscientious employer, all
employees and associates of the
University must not offer, promise
or bribe anyone, and must not
request, agree to accept or receive
bribes from anyone. The purpose of
this policy is to provide guidance to
all the employees of the University
and its associates concerning how
to deal with bribery and corruption
issues that may arise in the course
of business.",This policy applies to all employees and associates of the University., 이 정책은 대학의 모든 직원과 동료에게 적용됩니다.,16,4
178,파키스탄,NUST,"Reconstructing Pakistan’s Counter-terrorism
Strategy: Setting Grounds for a Revised National
Action Plan
This research project by researchers at the Centre for International Peace and Stability (CIPS), aims
to chronologically explore the trends concerning counterterrorism efforts and strategies by Pakistan
i.e., prior to the National Action Plan (NAP). Such an analysis will enable to highlight the politics and
contentions (including social and religious) regarding the re-construction of counter terrorism strategy,
both at society and policy level. Furthermore, the research reinforces the significance of ‘National Action
Plan’ (NAP) to implement and drive the counter-terrorism strategy. The research project necessitated
the involvement of participants who have been associated with institutions such as the National Counter
Terrorism Authority (NACTA), Ministry of Interior (MoI), Pakistan’s armed forces, Federal Investigation
Agency (FIA), Counter-Terrorism Departments (CTDs), other Law Enforcement Agencies (LEAs) and
individuals and experts from academics and think-tanks who have been at the forefront of (counterterrorism)
policy/ strategy formulation.","The purpose of this research project is to provide an in-depth analysis of Pakistan’s counter-terrorism strategy and to highlight the politics and contentions (including social and religious) regarding the re-construction of counter terrorism strategy, both at society and policy level.",이 연구 프로젝트의 목적은 파키스탄의 대테러 전략에 대한 심층 분석을 제공하고 사회 및 정책 차원에서 대테러 전략의 재구축에 관한 정치 및 논쟁(사회 및 종교 포함)을 강조하는 것입니다.,16,4
201,호주,Victoria,"The Ripple Effect project conducted by
Sir Zelman Cowan Centre (SZCC) with
funding from the Victorian Legal
Services Board, brought together ten
faith leaders from Victoria’s diverse
faith-based communities representing
six different faith groups, to upskill
and support these leaders to deliver
governance workshops to the boards
of their organisations. During the
pandemic, the program was delivered
online to support participants to
acquire technical skills in online
facilitation and use of online resources.","A faith-based project in Victoria, Australia, has used the power of the internet to improve the governance of faith-based organisations.", 호주 빅토리아의 신앙 기반 프로젝트는 인터넷의 힘을 사용하여 신앙 기반 조직의 거버넌스를 개선했습니다.,16,4
