,국가,대학교명,내용,요약,요약번역,분류,5분류
1990,아일랜드,NUI Galway,"Community Engagement
Water Stewardship Programme
NUI Galway is committed to the effective and
efficient use of water throughout the campus
and the appropriate treatment, management
and disposal of wastewater. We are striving
to reduce our water usage and increase the
use of harvested rainwater through a series of
measures, including: water leakage detection
and repair programme, education and outreach,
process-related efficiency measures, greywater
and rainwater harvesting. As a participant in
the Water Stewardship Programme, we are
working in conjunction with Irish Water to
lower our water use and operating costs while
protecting the environment. The Sustainable
Water Partner badge demonstrates that key
staff have undertaken a course designed
to show leadership and set goals/targets in
reducing water consumption. Our NUI Galway
Water Stewardship Charter sets out our
commitment to maintain and achieve further
reductions in water usage on campus and to
highlight the importance of water as a critical
and limited resource. The Charter and our NUI
Galway Sustainability Strategy sets out our
commitment to reduce water usage on campus
by 10% by 2025 based on a 2018 baseline.",The aim of the Water Stewardship Programme is to reduce water usage and operating costs while protecting the environment., 물 관리 프로그램의 목표는 환경을 보호하면서 물 사용량과 운영 비용을 줄이는 것입니다.,6,2
1569,핀란드,Eastern Finland,"The Water Law research group
conducts research on water law and
seeks solutions to current social
problems as part of interdisciplinary
research projects. Cross-cutting
themes include sustainable use and
protection of water resources, water
quality, international water cooperation
and water safety.",The Water Law research group conducts research on water law and seeks solutions to current social problems as part of interdisciplinary research projects., 물법 연구단은 학제간 연구 프로젝트의 일환으로 물법에 대한 연구를 수행하고 현재의 사회 문제에 대한 해결책을 모색합니다.,6,2
2029,대만,Tunghai,"Water Conversation on Campus
Water-efficient Building Design
Water-efficient building designs are a critical part in making water management
a reality. Our buildings are designed in consideration of Taiwan's green building
certification system (EEWH). We've improved the three major indicators of soil-water
retention, water resources, and garbage & sewage improvement to ensure that the
building can retain water and thereby prevent floods. Water-efficient hardware has been
installed and we recycle rainwater and reclaimed water to become more water-efficient.
Separate systems for rainwater and wastewater can also help increase the reuse value
of rainwater and reduce wastewater treatment load. The University currently has two
outsourced projects under construction: The General Activities Building and Student
Dormitory (both temporary names). They will respectively receive a Silver Level and
Qualified Level according to the EEWH certification system upon completion",Water Conversation on Campus, 캠퍼스에서의 물 대화,6,2
1639,캐나다,Carleton,"Electronic waste (e-waste) is one of the biggest environmental challenges of our time. E-Waste is otherwise known as electronic waste and includes old, broken or obsolete items such as computer monitors, keyboards, printers, and projectors. E-Waste is the fastest growing source of waste in North America. Landfilling e-waste is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water sources.","Electronic waste (e-waste) is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water sources. Landfilling e-waste is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water"," 전자폐기물(전자폐기물)은 토양과 수원으로 침출될 수 있는 카드뮴, 납, 니켈과 같은 물질로 인해 환경에 유해합니다. 전자폐기물 매립은 카드뮴, 납, 니켈과 같은 물질이 토양과 물로 침출될 수 있기 때문에 환경에 유해합니다.",14,2
1177,호주,Victoria,"Conflicts between territories over
water sharing arrangements may
become more severe due to additional
dependency on water, growing
population, and reduced availability as
a result of climate change. This
complex issue is addressed in An
Engineering Perspective of Water
Sharing Issues in Pakistan , in
relation to the water sharing
arrangements between Pakistan, India
and Afghanistan in the Indus Basin, by
Muhammed Atiq Ur Rehman Tariq from
VU and researchers from the
Netherlands and Pakistan. Equitable
management issues and outdated
irrigation practices are exacerbating
a water shortage in the basin which
is now increasingly countered by the
use of groundwater. This sudden high
extraction of groundwater is causing
depletion of the groundwater table
and quality issues, which is
heightening provincial conflicts
over water. Policy, enforcement,
engineering and social support are all
needed to develop a comprensive, fair
and transparent water strategy.",Water is one of the most contentious issues in international relations., 물은 국제 관계에서 가장 논쟁의 여지가 있는 문제 중 하나입니다.,6,2
903,캐나다,McMaster,"Why do almost a billion people go without daily access to safe water?
How does climate change affect water-borne illness? And why does
half the world’s population go without adequate sanitation? The
Water Without Borders program at McMaster seeks to answer these
questions and more. ",Water is one of the world’s most fundamental human rights., 물은 세계에서 가장 기본적인 인권 중 하나입니다.,6,2
34,캐나다,Waterloo,"ENSURE AVAILABILITY AND SUSTAINABLE MANAGEMENT OF WATER AND SANITATION FOR ALL
Improving access to safe and affordable drinking water and sanitation services is the goal of SDG 6. This includes addressing sources of pollution, increasing water-use efficiency, improving water resource management, and ensuring healthy water-related
ecosystems. The University of Waterloo’s Water Institute addresses many of these issues in the Canadian and global context.",Water is one of the world’s most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
1007,영국,Essex,"We know that there is no alternative to water.
Reducing and making efficient use of it is vital;
fresh water is a precious resource and it takes
energy to use and distribute it.",Water is one of the most important natural resources in the world., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
159,영국,Glasgow,"Our School of Geographical & Earth Sciences offers programmes that contribute to SDG 6. These include our Sustainable Water Environments MSc, which equips students with an interdisciplinary and global perspective on different surface water environments, incorporating issues such as climate and land use change, flood risk, restoration, ecosystem health, and associated management perspectives. Our MSc in Environmental Futures: Sustainable Solutions also incorporates recent advances in ecology and the restoration of river, coastal and lake environments, and teaching includes case studies of managing, protecting and restoring water systems.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
163,영국,Glasgow,"Access to clean water and treatment of wastewater are important components of public health. In many developing countries, water management and treatment have been improving, but the costs of water and sewage management can be prohibitive. Our Glasgow Centre for International Development is working with local communities, policymakers, industry partners and research teams in countries throughout the Global South to develop solutions that are robust, locally adapted and scalable.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
