,국가,대학교명,내용,요약,요약번역,분류,5분류
1302,미국,Carnegie Mellon,"Education
Nearly 5 percent of the spring 2020 courses were related to SDG 3. The vast majority of these courses
address reducing mortality for non-communicable diseases and promoting mental health. This includes
biology courses, psychology courses, and exercise courses. Additionally, numerous courses that support
healthcare management were mapped to SDG 3.","More than half of the courses offered at the University of Wisconsin-Madison are related to health, according to a new study.", 새로운 연구에 따르면 위스콘신-매디슨 대학에서 제공되는 과정의 절반 이상이 건강과 관련되어 있습니다.,3,1
472,영국,Manchester,"Cloudy with a Chance of PainCloudy with a Chance of Pain is theworld’s first smartphone-based study toinvestigate the association between painand the weather. This large-scale citizenscience project welcomes anyone in theUK with arthritis or chronic pain aged 17and over to take part. Our researchers arenow analysing more than 5 million piecesof symptom data alongside weatherdata from across the UK and thisinformation will be used to generatepain forecasts, allowing people to plantheir weekly activities.",People with arthritis or chronic pain are being invited to take part in a study to find out how the weather affects their symptoms., 관절염이나 만성 통증이 있는 사람들은 날씨가 증상에 어떤 영향을 미치는지 알아보기 위한 연구에 참여하도록 초대받고 있습니다.,3,1
1,영국,Leicester,"Efforts to improve sustainable crop development are being spearheaded by a collaboration between the University of Leicester, the Royal Botanic Gardens, Kew, and the University of Addis Ababa. Professor Pat Heslop-Harrison is leading an interdisciplinary project “Modelling and genomics resources to enhance exploitation of the sustainable and diverse Ethiopian starch crop Enset” where researchers are helping to enhance crop diversity for vulnerable populations. Their research focuses on the Ethiopian banana in order to better understand the crop species and its genetics. The crop has great potential for improving food security in Ethiopia and other parts of Africa, especially in areas affected by drought.  ",Researchers at the University of Leicester are working with scientists in Ethiopia to improve crop diversity and food security., 레스터 대학의 연구원들은 에티오피아의 과학자들과 협력하여 작물 다양성과 식량 안보를 개선하고 있습니다.,2,1
628,뉴질랜드,Auckland,"COMBATTING TROPICAL DISEASEUniversity of Auckland researchers from the Maurice Wilkins Centre forMolecular Biodiscovery, in collaboration with the Drugs for NeglectedDiseases Initiative in Geneva, have developed a new drug, DNDi-0690,for the often-fatal tropical disease Leishmaniasis. The drug is currently inclinical trials. This disease affects people in 98 countries, with two millionnew cases in 2018, and causes up to 50,000 premature deaths yearly.",Scientists in New Zealand have developed a new drug to treat a neglected tropical disease., 뉴질랜드 과학자들이 방치된 열대성 질병을 치료하는 신약을 개발했습니다.,3,1
630,뉴질랜드,Auckland,"ADDICTION RESEARCHA landmark $5 million donation as part of the For All Our Futures Campaignhas enabled the appointment of a fully endowed Chair in Addiction. TheChair, Professor Benedikt Fischer, has built a multidisciplinary team thatwill strengthen New Zealand’s expertise in this important area of healthand also influence Government policies to deal with addiction problems(alcohol, drugs, gambling).",The Addiction Research Centre at the University of Auckland is the first of its kind in New Zealand., 오클랜드 대학교의 중독 연구 센터는 뉴질랜드 최초의 중독 연구 센터입니다.,3,1
1378,영국,Exeter,"Inequality and low social mobility continue to be major national challenges in the UK,        entrenched from birth to work, due to failures in education and employment policies. The University of Exeter ’ s Centre for Social Mobility is the UK social mobility through evidence’ s first centre dedicated to improving informed practice and policy, collaboratively developed with professionals, practitioners and other stakeholders. Its goal is to help disadvantaged young people to access higher education and succeed at university and in adult life. The centre has demonstrated impact, through research cocreated with key stakeholders, across a number of important areas, to improve social mobility. It has: 1) Informed professional guidelines and best practice in how university evaluation of outreach is undertaken; 2) Changed         institutional widening participation policies and practices in Higher Education to improve       educational outcomes for disadvantaged students; 3) Informed guidance and advice on the use of contextualised admissions to support access to Higher Education","The Centre for Social Mobility at the University of Exeter is the UK's first centre dedicated to improving informed practice and policy, collaboratively developed with professionals, practitioners and other stakeholders."," 엑서터 대학교의 사회 이동 센터는 정보에 입각한 관행과 정책을 개선하는 데 전념하는 영국 최초의 센터로 전문가, 실무자 및 기타 이해 관계자와 공동으로 개발했습니다.",4,1
2085,영국,East Anglia,"Promoting trainee teacher mental health
Current mental health resources in teacher training programmes are focused on the role of educators in supporting their pupils. The Mental Health and Wellbeing Trainee Teachers Project, is a new initiative looking into the support trainee teachers themselves may need. The study explores the extent of the current provision of mental health and wellbeing support provided to trainee teachers, and the type of provision that would be needed and suitable in the future. Data collection and initial analysis has begun, with the group planning to inform teacher training providers of the support required to positively influence trainee teacher mental health and wellbeing.",A new project is looking into the mental health and wellbeing of trainee teachers., 새로운 프로젝트는 연수생 교사의 정신 건강과 웰빙을 조사하고 있습니다.,4,1
1022,영국,Essex,"In January 2020, we began working with
all departments to achieve a 60/40 gender
distribution of men to women in every grade
– although not an ideal target, it is a good
first step. It would lead to the mean gender
gap being reduced to 9.3% and the median to
around 11.1%. We will continue to work with
departments to achieve this goal by 2025.
We place great importance on supporting
women’s development in the workplace and
identifying visible role models at all levels. And
we are committed to building a more agile and
flexible working culture – this is likely to have a
positive effect on the gender pay gap over time.",We are committed to reducing the gender pay gap., 우리는 성별 임금격차를 줄이기 위해 최선을 다하고 있습니다.,5,1
1023,영국,Essex,"It’s important not to consider gender as a binary
concept. We know that many members of our
community identify outside the gender binary
and/or as trans, and we remain committed
to creating a welcoming environment for all
members of our community.","As part of our commitment to equality, we have introduced a new policy on gender identity.", 평등에 대한 약속의 일환으로 우리는 성 정체성에 대한 새로운 정책을 도입했습니다.,5,1
656,뉴질랜드,Cantebury,"Supporting our PacificIsland Neighbours / Our Biomedical minor programmewas developed to respond to studententhusiasm and to increase diversityamong students choosing to studyMechanical Engineering, such asfemale, Māori and Pasifika students.Its curriculum emphasises bioethics,sustainability and responsibility,specifically biomedical design for reuseand donation. Student projects focus onreal world applications. In the summerof 2020, students went to Tonga tosupport the Ministry of Health, andcreated a much needed Assets Registerto track consumables. Another projectinvolved updating the Tongan nursinghandbook on how to use, maintain, andrepair common medical equipment.The project resulted in an increaseof capabilities and independence ofnursing staff who provide time-criticalnursing to the Tongan people, and lessworkload pressure for the small numberof technicians often called upon todemonstrate equipment use.",The Department of Biomedical Engineering at the University of Auckland has been working with the Ministry of Health in Tonga to improve the quality of health care in the Pacific island nation., 오클랜드 대학교의 의생명공학과는 통가의 보건부와 협력하여 태평양 섬 국가에서 의료의 질을 개선해 왔습니다.,3,1
