,국가,대학교명,내용,요약,요약번역,분류,5분류
50,영국,Glasgow,"Partnership is also at the core of the Centre
for Sustainable Solutions’ activities. Staff from
the Centre are part of the Sustainable Futures
in Africa Network, a long-standing and large
network of scholars, artists, educators, NGOs
and communities with a shared commitment to
sustainability challenges as they manifest in very
different ways across the world. Over the past
five years, this network has supported over 100
members in capacity strengthening, training,
research and development through genuine
ethical partnerships and friendships.",Partnership is at the core of the Centre for Sustainable Solutions’ activities., 파트너십은 지속 가능한 솔루션 센터 활동의 핵심입니다.,17,5
429,덴마크,Aalborg,"NETWORK OF DANISH UNIVERSITIES
Campus Services at AAU participates in a network across all
the Danish universities to exchange knowledge, competences
and creativity with regard to sustainable operations of
universities and campuses. This entails areas such as sustainability
strategies, waste management, circular economy,
transport, carbon emission accounting, etc.",The aim of the Danish University Sustainability Network is to promote sustainability in higher education in Denmark., 덴마크 대학 지속 가능성 네트워크의 목표는 덴마크 고등 교육의 지속 가능성을 촉진하는 것입니다.,17,5
118,영국,Bournemouth,"International virtual mobilityDespite the travel restrictions, BU’s GlobalEngagement Hub was able to support over60 students to complete Santander-fundedinternational virtual placements over theacademic year.Students worked on a range of projectscovering a number of the UN SDGs,from creating a marketing plan for Fiji’sNational Ocean Policy, youth mentalhealth and wellness to researchingcarbon offsetting with the ThinkPacific Foundation.To further international experiences, wealso developed Virtual Learning Pods(VLP) in collaboration with the Universityof Pristina in Kosovo, the Universidaddes Las Americas in Ecuador and theManmohan Memorial Institute of Healthand Sciences in Nepal.This free programme connects studentsfrom all the institutions who meetregularly to have semi–structureddiscussions and to engage in collaborativeactivities framed around the UNESCO StoryCircles that facilitate intercultural learning.","In the wake of the Paris attacks, many international students were unable to travel to the United States.", 파리 테러 이후 많은 유학생들이 미국을 여행할 수 없었습니다.,17,5
301,캐나다,Manitoba,"The University of Manitoba is working to strengthen
global partnerships of sustainable development
through experiential learning opportunities,
international research projects and student
engagement activities including the following:","The University of Manitoba is working to strengthen global partnerships of sustainable development through experiential learning opportunities, international research projects and student engagement activities"," 매니토바 대학교는 경험적 학습 기회, 국제 연구 프로젝트 및 학생 참여 활동을 통해 지속 가능한 개발의 글로벌 파트너십을 강화하기 위해 노력하고 있습니다.",17,5
380,영국,LSE,"In May 2018, BSc Government and Economics student Jun Hao Peh, distributed solar powered lamps to Rohingya refugees in Bangladesh. Jun Hao Peh applied to the Davis Project for Peace Prize for support in delivering his project, “Project Illuminate”, with the aim to improve safety and quality of life in the camps through a safe, sustainable and cheap lighting source.",A Swansea University student has won the prestigious Davis Project for Peace Prize., 스완지 대학교 학생이 권위 있는 데이비스 프로젝트 평화상을 수상했습니다.,17,5
107,영국,Manchester,"Global higher educationnetworks for socialresponsibilityWe’re an Engaged Member of the TalloiresNetwork, an international association ofinstitutions committed to strengtheningthe civic roles and social responsibilitiesof higher education. We’re a foundingmember of the University SocialResponsibility Network, which aims toshare best practice and celebrate thecontributions universities make to societiesthrough their research, teaching andengagement activities. ",We’re a member of a global network of universities committed to strengthening the civic roles and social responsibilities of higher education., 우리는 고등 교육의 시민적 역할과 사회적 책임을 강화하기 위해 노력하는 글로벌 대학 네트워크의 일원입니다.,17,5
456,인도,Ashoka,"The University of Waterloo in Canada collaborated
on a workshop on ‘Transdisciplinary Fisheries’
providing training on sustainable ecosystems in
coastal regions of India. The University of Toronto
through its ‘Global Commons’ platform held several
events on Climate Change and Participatory
Institutions. One of these was on what Inuit
leadership and culture can teach us about climate
change, which Ashoka students attended virtually.",Students from the University of Waterloo and the University of Toronto have been working together to tackle climate change., 워털루 대학교와 토론토 대학교의 학생들은 기후 변화에 대처하기 위해 협력해 왔습니다.,17,5
25,캐나다,Waterloo,"Waterloo International
Waterloo International engages with the world, helping to bring prominence to Waterloo’s activities, to identify opportunities for Waterloo’s members, and to steward meaningful connections with the world. Inclusive partnerships, at global, regional, national, and local levels, serve to advance learning, discovery, and community goals. Waterloo International is a catalyst for – and facilitator of – many of Waterloo’s global links for students, staff, and faculty.",The mission of Waterloo International is to promote the interests of the University of Waterloo and its members around the world.,워털루 인터내셔널의 사명은 워털루 대학교와 전 세계 회원들의 이익을 증진하는 것입니다.,17,5
374,영국,LSE,"Four halls of residence ran “Reduce the Juice”, a competition for students to save energy and water whilst boosting recycling. 135 Student Engagement Action Leaders (SEALs) encouraged targeted actions using a structured social media campaign and direct student contact. 58,388 kWh and 17.2t CO2e were saved during the month-long Energy Sprint, based on available data. Passfield Hall won with 89 per cent of residents getting involved. Rosebery Hall achieved a 2 per cent water usage reduction, winning the Water Sprint. The Waste Sprint turned its attention to the environmental impact of fast fashion. 145 students took part in the #whomademyclothes campaign and a series of clothes swap shops.",Students at the University of Bristol have taken part in a series of environmental campaigns., 브리스톨 대학교의 학생들은 일련의 환경 캠페인에 참여했습니다.,17,5
347,영국,LSE,"Promote sustainability through social media, website, and newsletters.","Promote sustainability through social media, website, and newsletters."," 소셜 미디어, 웹사이트 및 뉴스레터를 통해 지속 가능성을 홍보합니다.",17,5
307,호주,Griffith,"IINTERNATIONAL PARTNERSHIPS FOR THE SDGS In 2021, Griffith’s Asia Institute, led by Professor Caitline Byrne, launched the collaborative Australia-Indonesia Program reinforcing Griffith’s commitment to engaging with Indonesia through a strategic and mutually beneficial way. The bilateral Program brings together expertise and coordinates opportunities across the two nations with the focus on sustainable development and climate change.",Griffith University is the first Australian university to establish a bilateral Program with Indonesia., 그리피스 대학교는 인도네시아와 양자 프로그램을 설립한 최초의 호주 대학교입니다.,17,5
135,뉴질랜드,Auckland,"Research partnerships / The University’s Centre for Biodiversity and Biosecurity and the Schoolof Biological Sciences have a strong partnership with Manaaki Whenua(Landcare Research), a Crown Research Institute that focuses onsustainable management of land resources. The George Mason Centrefor the Natural Environment is another Faculty of Science researchpartnership and covers a diverse range of research areas, such as marinescience, green chemistry, environmental change, biodiversity, biosecurity,sustainability, biophysics, computational biology and social ecology.","Research partnerships / The University’s Centre for Biodiversity and Biosecurity and the School of Biological Sciences have a strong partnership with Manaaki Whenua(Landcare Research), a Crown Research Institute that focuses on land resources.",연구 파트너십 / 대학의 생물다양성 및 생물보안 센터와 생물과학부는 토지 자원에 중점을 둔 크라운 연구소인 Manaaki Whenua(Landcare Research)와 강력한 파트너십을 맺고 있습니다.,17,5
263,호주,Victoria,"Professor Vasso Apostolopoulos
collaborated with an international
team of researchers for The potential
application of probiotics and
prebiotics for the prevention and
treatment of COVID-19 .",Researchers at the University of Athens have discovered a new way to combat carbon dioxide emissions., 아테네 대학의 연구원들이 이산화탄소 배출에 대처하는 새로운 방법을 발견했습니다.,17,5
