,국가,대학교명,내용,요약,요약번역,분류,5분류
511,뉴질랜드,Auckland,"Interrupting biofouling / University of Auckland bioengineers have developed an innovative wayto get rid of the underwater biofouling that creates such a headache formarinas, boat owners and aqua farmers. Electroclear, a new spin-outcompany based at the Auckland Bioengineering Institute (ABI), is usingelectric fields to disrupt small organisms’ ability to live on selectedunderwater surfaces. Christopher Walker and fellow doctoral studentand company partner Patrin Illenberger, brought their bioengineeringtraining to bear on the problem. It is a permanent, non-toxic solutionthat can be applied to a wide range of geometries. They discoveredthat if they set up two separate electrodes underwater and created afully encapsulated electric field, they could target and disrupt certainorganisms. “As an island nation with such strong ties to our ocean, wehave a real chance here to lead the world in anti-fouling and biosecurity,”says Christopher. Electroclear won funding and mentor support throughthe University’s Entrepreneurship programme, Velocity, and is talking withresearch institutions and commercial partners to develop applications forboth marine infrastructure and aqua farms.",Biofouling is a major problem for New Zealand’s marine environment., 생물 오손은 뉴질랜드 해양 환경의 주요 문제입니다.,6,2
1623,캐나다,Carleton,"Install low-flow shower heads and taps
Aerators introduce bubbles into the stream so that although you are still able to wash, rinse, etc effectively, much less water is used.",The amount of water you use in your home is directly proportional to the amount of water you use in your shower., 가정에서 사용하는 물의 양은 샤워할 때 사용하는 물의 양에 정비례합니다.,6,2
1562,영국,LSE,"In 2017/18 we consumed 196,779 m3 of water. This represents a 9 per cent reduction against 2016/17 usage, which was a result of identifying wasted water due to a faulty water tank.",The amount of water we used last year was the lowest since records began., 지난해 우리가 사용한 물의 양은 기록이 시작된 이래 가장 적었습니다.,6,2
1898,홍콩,CUHK,"Policies
CUHK is committed to putting in place effective waste management processes that go beyond Hong Kong’s legislative and regulatory requirements.  Its Waste Management Policy and Waste Management Guidelines emphasize the importance of implementing procedures to prevent immediate and future pollution and harm to health, and achieve continual improvement in waste management performance.",Waste management is a key priority for the Hong Kong government., 폐기물 관리는 홍콩 정부의 최우선 과제입니다.,12,2
1199,호주,Victoria,"Building energy use is estimated to
contribute 40% of the global energy
demand and to currently produce
one-third of global green house gas
emissions with the potential to double
by 2030. Current methods for using
computer simulations to optimise
building energy use for design or
retrofitting require a high number
of calculations. In Building energy
optimization using surrogate
model and active sampling , Keivan
Bamdad joined with Michael
Cholette and John Bell from
Queensland University of Technology
to develop method to calculate an
optimal solution with a lower
computational cost.",A new method has been developed to improve the energy efficiency of buildings., 건물의 에너지 효율을 향상시키는 새로운 방법이 개발되었습니다.,13,2
337,호주,Charles Sturt,"The future of good water stewardship
Charles Sturt’s School of Agricultural, Environmental
and Veterinary Sciences maintains the subject: Water
Policy and Management PSC420. In this subject,
students gain in-depth knowledge about water
policy. The subject is structured in three modules,
covering the following themes:
• the context and introduction to water quantity
and quality, including trends in water supply,
climate change and risks to water resources
in Australia
• water use and demand, including the value
of water to the environment, irrigation
agriculture and urban uses, water use efficiency
and recycling
• water policy and planning, including principles
of water reform, current developments in water
policy and catchment-based decision-making.
On completion, students are assessed on their
ability to apply their knowledge of water policy to
make sound independent judgments about the wise
management of our rivers.",Water is one of Australia’s most important natural resources., 물은 호주에서 가장 중요한 천연 자원 중 하나입니다.,6,2
1877,캐나다,Brock,"Life below water understands the vital importance oceans have that make the earth habitable for life. Seas provide and regulate rainwater, drinking water, weather, climate, coastlines, large amounts of food, and the oxygen in the air needed to breathe. It is, therefore, crucial to promote and protect conditions needed for marine ecosystems to be successful. ",Life below water understands the vital importance oceans have that make the earth habitable for life., 수중 생물은 지구를 생명체가 살 수 있도록 만드는 바다의 중요성을 이해합니다.,14,2
1548,영국,LSE,"We disposed of 1,387 tonnes of waste from campus and residences in 2017/18. This is a 6.6 per cent reduction from 2016/17, and a 22 per cent drop since 2013/14. Despite a growing campus size and student and staff population, our total waste tonnage has decreased every year since 2013. This is partly due to responsible procurement initiatives, eg, contractually requiring suppliers to use less packaging, and internally re-homing items where possible instead of disposing and buy anew. The move towards digital has reduced the amount of paper that we dispose of. Manufacturers have also been reducing the weight of their packaging, eg, making glass bottles lighter.",The amount of waste we disposed of last year was the lowest on record., 작년에 우리가 처리한 폐기물의 양은 기록상 가장 낮았습니다.,12,2
314,호주,RMIT,"3. Making biodiesel from dirty old cooking oil
Researchers have developed a powerful, low-cost method
for recycling used cooking oil and agricultural waste into
biodiesel, and turning food scraps and plastic rubbish into
high-value products. The method harnesses a new type of ultraefficient
catalyst that can make low-carbon biodiesel and other
valuable complex molecules out of diverse, impure raw materials.
Waste cooking oil currently has to go through an energy-intensive
cleaning process to be used in biodiesel, because commercial
production methods can only handle pure feedstocks with
1-2% contaminants. The new catalyst is so tough it can make
biodiesel from low-grade ingredients, known as feedstock,
containing up to 50% contaminants.
It is so efficient it could double the productivity of manufacturing
processes for transforming rubbish like food scraps,
microplastics and old tyres into high-value chemical precursors
used to make anything from medicines and fertilisers to
biodegradable packaging.","Researchers have developed a powerful, low-cost method for recycling used cooking oil and agricultural waste into biodiesel, and turning food scraps and plastic rubbish into high-value products.", 연구원들은 사용한 식용유와 농업 폐기물을 바이오디젤로 재활용하고 음식물 찌꺼기와 플라스틱 쓰레기를 고부가가치 제품으로 바꾸는 강력하고 저렴한 방법을 개발했습니다.,12,2
1641,캐나다,Carleton,"Recycle your cell phones, tablets, cameras, chargers, headphones, ink cartridges and other small electronic devices in the Electrobac bin. These bins DO NOT accept batteries, light bulbs, VHS and cassettes.",Electronic waste can be recycled in two separate bins., 전자 폐기물은 두 개의 별도 쓰레기통에 재활용할 수 있습니다.,14,2
668,영국,Oxford,We will manage resources responsibly and critically evaluate the environmental and health aspects of the materials and resources we procure and use in our buildings,We will use our buildings in a manner that is respectful of the environment and the communities in which we operate., 우리는 환경과 우리가 운영하는 지역 사회를 존중하는 방식으로 건물을 사용할 것입니다.,12,2
1915,홍콩,CUHK,"Oceans, rivers and marine resources are crucial components of the ecosystem.  CUHK strives to protect aquatic ecosystems by establishing policies to balance the use of ocean resources with the demands of conservation.  We also try to promote the importance of marine conservation by providing educational programmes to secondary school students and the general public.",Marine conservation is one of the most important issues facing Hong Kong., 해양 보호는 홍콩이 직면한 가장 중요한 문제 중 하나입니다.,14,2
1373,캐나다,Manitoba,"Recycling at the University of Manitoba
The University of Manitoba has a comprehensive mixed
material blue bin program. On average, the Fort Garry
and Bannatyne campuses, divert over 140 tonnes
of mixed recyclables from landfill each school year
combined. In addition, the University has a variety of
other recycling streams such as batteries, construction
waste and small scale composting to reduce waste sent
to landfill from campus",Recycling at the University of Manitoba, 매니토바 대학교의 재활용,12,2
673,영국,Oxford,Achieve 75% diversion from landfill & incineration.,Work with local councils to develop waste management plans to reduce the amount of waste sent to landfill., 지역 의회와 협력하여 매립지로 보내지는 폐기물의 양을 줄이기 위한 폐기물 관리 계획을 개발합니다.,12,2
693,영국,Oxford,Achieve 70% diversion from landfill & incineration.,Work with local councils to develop waste management plans to reduce the amount of waste sent to landfill., 지역 의회와 협력하여 매립지로 보내지는 폐기물의 양을 줄이기 위한 폐기물 관리 계획을 개발합니다.,12,2
1860,캐나다,Brock,Over 1/3 of the food produced globally is thrown away and is a large contributor to climate change.,Food waste is a huge problem., 음식물 쓰레기는 큰 문제입니다.,12,2
1967,영국,East Anglia,"Student Activity and Learning
Teaching
Our courses offer a wide variety of teaching on water biodiversity and conservation - developing students’ knowledge on how we can sustainably manage this resource for the benefit of all. Students on our Marine Sciences, Geography and other Environment Sciences courses can study modules on Global Environmental Challenges, Catchment Water Resources, Aquatic Ecology, Environmental Politics and Policy Making, Natural Resources and Environmental Economics, and Biodiversity Conservation and Human Society. Our Ecology and Conservation course explores Sustainability, Society and Biodiversity, and students of Biological Sciences can study Population Ecology and Management. In the School of International Development students can learn about Natural Resources and the Environment and the need for sustainable management.",Our courses offer a wide variety of teaching on water biodiversity and conservation - developing students’ knowledge on how we can sustainably manage this resource for the benefit of all., 우리 과정은 수중 생물다양성 및 보존에 대한 다양한 교육을 제공하여 모두의 이익을 위해 이 자원을 지속 가능하게 관리할 수 있는 방법에 대한 학생들의 지식을 개발합니다.,14,2
1599,핀란드,Eastern Finland,"Drug residues have been found in
environmental samples taken on
every continent, and as many as one
in four of the world’s rivers and lakes
are at risk of contamination as a
result. UEF is involved in the Sustainable
Drug Discovery and Development
with End-of-Life Yield research
project (SUDDEN) , which looks for
solutions to reduce environmental
hazards related to the lifecycle of
pharmaceuticals and improve the
sustainability of the pharmaceutical
sector. To date, the joint study by
UEF and the Finnish Environment Institute
SYKE has shown that, among
other issues, environmental permits
for pharmaceutical production facilities
and wastewater plants rarely
include requirements related to drug
ingredients.",Drug residues are one of the biggest environmental hazards facing the pharmaceutical industry., 약물 잔류물은 제약 산업이 직면한 가장 큰 환경 위험 중 하나입니다.,14,2
