,국가,대학교명,내용,요약,요약번역,분류,5분류
1990,아일랜드,NUI Galway,"Community Engagement
Water Stewardship Programme
NUI Galway is committed to the effective and
efficient use of water throughout the campus
and the appropriate treatment, management
and disposal of wastewater. We are striving
to reduce our water usage and increase the
use of harvested rainwater through a series of
measures, including: water leakage detection
and repair programme, education and outreach,
process-related efficiency measures, greywater
and rainwater harvesting. As a participant in
the Water Stewardship Programme, we are
working in conjunction with Irish Water to
lower our water use and operating costs while
protecting the environment. The Sustainable
Water Partner badge demonstrates that key
staff have undertaken a course designed
to show leadership and set goals/targets in
reducing water consumption. Our NUI Galway
Water Stewardship Charter sets out our
commitment to maintain and achieve further
reductions in water usage on campus and to
highlight the importance of water as a critical
and limited resource. The Charter and our NUI
Galway Sustainability Strategy sets out our
commitment to reduce water usage on campus
by 10% by 2025 based on a 2018 baseline.",The aim of the Water Stewardship Programme is to reduce water usage and operating costs while protecting the environment., 물 관리 프로그램의 목표는 환경을 보호하면서 물 사용량과 운영 비용을 줄이는 것입니다.,6,2
314,호주,RMIT,"3. Making biodiesel from dirty old cooking oil
Researchers have developed a powerful, low-cost method
for recycling used cooking oil and agricultural waste into
biodiesel, and turning food scraps and plastic rubbish into
high-value products. The method harnesses a new type of ultraefficient
catalyst that can make low-carbon biodiesel and other
valuable complex molecules out of diverse, impure raw materials.
Waste cooking oil currently has to go through an energy-intensive
cleaning process to be used in biodiesel, because commercial
production methods can only handle pure feedstocks with
1-2% contaminants. The new catalyst is so tough it can make
biodiesel from low-grade ingredients, known as feedstock,
containing up to 50% contaminants.
It is so efficient it could double the productivity of manufacturing
processes for transforming rubbish like food scraps,
microplastics and old tyres into high-value chemical precursors
used to make anything from medicines and fertilisers to
biodegradable packaging.","Researchers have developed a powerful, low-cost method for recycling used cooking oil and agricultural waste into biodiesel, and turning food scraps and plastic rubbish into high-value products.", 연구원들은 사용한 식용유와 농업 폐기물을 바이오디젤로 재활용하고 음식물 찌꺼기와 플라스틱 쓰레기를 고부가가치 제품으로 바꾸는 강력하고 저렴한 방법을 개발했습니다.,12,2
1639,캐나다,Carleton,"Electronic waste (e-waste) is one of the biggest environmental challenges of our time. E-Waste is otherwise known as electronic waste and includes old, broken or obsolete items such as computer monitors, keyboards, printers, and projectors. E-Waste is the fastest growing source of waste in North America. Landfilling e-waste is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water sources.","Electronic waste (e-waste) is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water sources. Landfilling e-waste is harmful to the environment because of substances such as cadmium, lead, and nickel which can leach into the soil and water"," 전자폐기물(전자폐기물)은 토양과 수원으로 침출될 수 있는 카드뮴, 납, 니켈과 같은 물질로 인해 환경에 유해합니다. 전자폐기물 매립은 카드뮴, 납, 니켈과 같은 물질이 토양과 물로 침출될 수 있기 때문에 환경에 유해합니다.",14,2
1569,핀란드,Eastern Finland,"The Water Law research group
conducts research on water law and
seeks solutions to current social
problems as part of interdisciplinary
research projects. Cross-cutting
themes include sustainable use and
protection of water resources, water
quality, international water cooperation
and water safety.",The Water Law research group conducts research on water law and seeks solutions to current social problems as part of interdisciplinary research projects., 물법 연구단은 학제간 연구 프로젝트의 일환으로 물법에 대한 연구를 수행하고 현재의 사회 문제에 대한 해결책을 모색합니다.,6,2
14,남아프리카 공화국,Pretoria,"Managing wasteOur approach to managing waste is underpinned by a circular economy outlook. Thisincludes managing the threat posed by waste, as well as exploring opportunities tocreate value from waste. Various categories of waste are managed by the University,and waste management spans the spectrum of reducing generation; reuse, recyclingand repurposing; and appropriate disposal.Hazardous waste includes medical and chemical waste, animal carcasses used inresearch, and fluorescent tubes. Some laboratories require certification and permittingfor the release of effluent. Management of hazardous waste is undertaken by certifiedprofessional service providers, with strict adherence to protocols.For other forms of waste, reuse, recycling and repurposing play an important role inour waste management programmes and the entire campus community is engaged inefforts to reduce waste that goes to landfill sites. Waste for recycling includes paper,polystyrene, commingled substances (glass, plastics and cans), books, fluorescenttubes, e-waste, printer cartridges and batteries. Special arrangements with external36 Our contribution towards achieving the Sustainable Development Goals | 2020 Progress Reportpartners are in place for refilling printer cartridges, toner bottles, fluorescent tubes ande-waste.Linking waste management to our land management and biodiversity programmes,the University is certified to produce compost from green non-wet waste and mulchfrom trees and bark. This is used as part of the organic fertiliser protocol used on ourextensive network of sports fields and sports turf areas. In 2019 a parallel food-tocompost programme was initiated, using food waste from on-site restaurants. In 2020however, with COVID-22 restrictions and consequent reductions of people on campus,there were dramatic reductions in food waste generated","The University of Cape Town's waste management programme aims to reduce, reuse and recycle as much waste as possible."," 케이프타운 대학의 폐기물 관리 프로그램은 가능한 한 많은 폐기물을 줄이고, 재사용하고, 재활용하는 것을 목표로 합니다.",13,2
1199,호주,Victoria,"Building energy use is estimated to
contribute 40% of the global energy
demand and to currently produce
one-third of global green house gas
emissions with the potential to double
by 2030. Current methods for using
computer simulations to optimise
building energy use for design or
retrofitting require a high number
of calculations. In Building energy
optimization using surrogate
model and active sampling , Keivan
Bamdad joined with Michael
Cholette and John Bell from
Queensland University of Technology
to develop method to calculate an
optimal solution with a lower
computational cost.",A new method has been developed to improve the energy efficiency of buildings., 건물의 에너지 효율을 향상시키는 새로운 방법이 개발되었습니다.,13,2
337,호주,Charles Sturt,"The future of good water stewardship
Charles Sturt’s School of Agricultural, Environmental
and Veterinary Sciences maintains the subject: Water
Policy and Management PSC420. In this subject,
students gain in-depth knowledge about water
policy. The subject is structured in three modules,
covering the following themes:
• the context and introduction to water quantity
and quality, including trends in water supply,
climate change and risks to water resources
in Australia
• water use and demand, including the value
of water to the environment, irrigation
agriculture and urban uses, water use efficiency
and recycling
• water policy and planning, including principles
of water reform, current developments in water
policy and catchment-based decision-making.
On completion, students are assessed on their
ability to apply their knowledge of water policy to
make sound independent judgments about the wise
management of our rivers.",Water is one of Australia’s most important natural resources., 물은 호주에서 가장 중요한 천연 자원 중 하나입니다.,6,2
236,캐나다,Concordia,"WATER-SAVING ACTIVITIES ON CAMPUS
Concordia is undertaking a variety of efforts to curtail water
overuse, including a storm water management system on Loyola
Campus, a university-wide water management program and
data collection to monitor water use and find new ways to
cut back. Water-saving activities on campus include For Love
of Water, a project designed to make the university more
sustainable while meeting water-usage goals outlined by the
Government of Quebec and the City of Montreal.","Water-saving activities on campus include For Love of Water, a project designed to make the university more sustainable while meeting water-usage goals outlined by the Government of Quebec and the City of Montreal.",캠퍼스의 물 절약 활동에는 퀘벡 정부와 몬트리올 시에서 약술한 물 사용 목표를 달성하면서 대학을 더욱 지속 가능하게 만들기 위해 고안된 프로젝트인 For Love of Water가 포함됩니다.,6,2
2029,대만,Tunghai,"Water Conversation on Campus
Water-efficient Building Design
Water-efficient building designs are a critical part in making water management
a reality. Our buildings are designed in consideration of Taiwan's green building
certification system (EEWH). We've improved the three major indicators of soil-water
retention, water resources, and garbage & sewage improvement to ensure that the
building can retain water and thereby prevent floods. Water-efficient hardware has been
installed and we recycle rainwater and reclaimed water to become more water-efficient.
Separate systems for rainwater and wastewater can also help increase the reuse value
of rainwater and reduce wastewater treatment load. The University currently has two
outsourced projects under construction: The General Activities Building and Student
Dormitory (both temporary names). They will respectively receive a Silver Level and
Qualified Level according to the EEWH certification system upon completion",Water Conversation on Campus, 캠퍼스에서의 물 대화,6,2
491,뉴질랜드,Auckland,"Estate Strategy – Te Rautaki Tūāpapa /The University is finalising its 2021 – 2030 Estate Strategy. Animportant aspect of this strategy is improving the sustainability profileof existing structures in terms of water conservation, energy efficiencyand overall carbon footprint, as well as obtaining good externalratings for new structures in these same areas. The policy calls for theUniversity to achieve a net-zero carbon estate by 2030, and to embedthe Sustainable Development Goals at the heart of all estate-relatedactivities by ensuring activities are environmentally, economically andsocially sustainable.","The University of Auckland's estate strategy aims to improve the sustainability profile of existing structures in terms of water conservation, energy efficiency and overall carbon footprint, as well as obtaining good externalratings for new structures in these same areas."," 오클랜드 대학교의 부동산 전략은 물 절약, 에너지 효율성 및 전체 탄소 발자국 측면에서 기존 구조물의 지속 가능성 프로파일을 개선하고 동일한 영역의 새 구조물에 대해 우수한 외부 평가를 받는 것을 목표로 합니다.",13,2
1373,캐나다,Manitoba,"Recycling at the University of Manitoba
The University of Manitoba has a comprehensive mixed
material blue bin program. On average, the Fort Garry
and Bannatyne campuses, divert over 140 tonnes
of mixed recyclables from landfill each school year
combined. In addition, the University has a variety of
other recycling streams such as batteries, construction
waste and small scale composting to reduce waste sent
to landfill from campus",Recycling at the University of Manitoba, 매니토바 대학교의 재활용,12,2
1599,핀란드,Eastern Finland,"Drug residues have been found in
environmental samples taken on
every continent, and as many as one
in four of the world’s rivers and lakes
are at risk of contamination as a
result. UEF is involved in the Sustainable
Drug Discovery and Development
with End-of-Life Yield research
project (SUDDEN) , which looks for
solutions to reduce environmental
hazards related to the lifecycle of
pharmaceuticals and improve the
sustainability of the pharmaceutical
sector. To date, the joint study by
UEF and the Finnish Environment Institute
SYKE has shown that, among
other issues, environmental permits
for pharmaceutical production facilities
and wastewater plants rarely
include requirements related to drug
ingredients.",Drug residues are one of the biggest environmental hazards facing the pharmaceutical industry., 약물 잔류물은 제약 산업이 직면한 가장 큰 환경 위험 중 하나입니다.,14,2
1898,홍콩,CUHK,"Policies
CUHK is committed to putting in place effective waste management processes that go beyond Hong Kong’s legislative and regulatory requirements.  Its Waste Management Policy and Waste Management Guidelines emphasize the importance of implementing procedures to prevent immediate and future pollution and harm to health, and achieve continual improvement in waste management performance.",Waste management is a key priority for the Hong Kong government., 폐기물 관리는 홍콩 정부의 최우선 과제입니다.,12,2
185,영국,Glasgow,"Our postgraduate programme in Sustainable
Water Environments provides students with
multidisciplinary knowledge and expertise in
river catchment, lake and coastal environments,
with a focus on the impact of, and adaptation
to, changing environments. The programme
is designed to enable students to develop
an in-depth and critical understanding of
contemporary global issues in surface water
environments, including climate and land use
change, flood risk, restoration, ecosystem
health, and associated management
perspectives.","Our postgraduate programme in Sustainable Water Environments provides students with multidisciplinary knowledge and expertise in river catchment, lake and coastal environments, with a focus on the impact of, and adaptation to, changing environments."," 지속 가능한 물 환경의 대학원 프로그램은 학생들에게 변화하는 환경의 영향과 적응에 중점을 둔 강 집수, 호수 및 해안 환경에 대한 다학문 지식과 전문 지식을 제공합니다.",14,2
732,영국,Oxford,We continued to add to the online University Biodiversity Toolkit. We produced guidance for finding alternatives to using peat products and developed case studies on how departments and colleges are helping wildlife.,We produced guidance for finding alternatives to using peat products and developed case studies on how departments and colleges are helping wildlife.,우리는 토탄 제품 사용에 대한 대안을 찾기 위한 지침을 만들고 부서와 대학이 야생 동물을 돕는 방법에 대한 사례 연구를 개발했습니다.,15,2
401,영국,Manchester,"Study programmesOur research informs cutting-edgeteaching on clean water and sanitation.Civil Engineering students take a courseunit on Water Engineering, which coverswater and wastewater treatment andresource management, while ourEnvironmental Monitoring, Modelling andReconstruction Masters degree offersa unit on Water Movement that looks atsolutions to groundwater contamination.We also offer a pioneering free onlineMOOC (Massive Open Online Course)on Water Supply and Sanitation Policyin Developing Countries. With half abillion people worldwide having poorwater supplies and two billion with poorsanitation facilities, this course opens upaccess for citizens and leaders aroundthe world to explore what can be done tosolve this complex global issue.",The School of Civil Engineering and the School of Environmental Monitoring and Modelling at the University of Bristol is at the forefront of research into clean water and sanitation., 브리스톨 대학교의 토목 공학 학교와 환경 모니터링 및 모델링 학교는 깨끗한 물과 위생에 대한 연구의 최전선에 있습니다.,6,2
830,태국,Chulalongkorn,"Managing risks associated with water resources isessential to alleviate damage and the consequencesof natural disasters such as flooding and drought, andto increase agricultural productivity to ensure foodsecurity for the country.Several water resources management modelsfocusing on water security, consumption and qualitywere highlighted at a forum titled “Water Diplomacy:Where Local Wisdom Meets International Excellence”.The event was jointly organized by ChulalongkornUniversity and the Office of the National WaterResources (ONWR) in November 2019. One of the innovations presented by theuniversity was a risk map showing the vulnerability ofwater sources to contamination, from surface water togroundwater, which will eventually affect waterquality. The information can assist in city planning andcan reduce the risk of water from problem areas beingused in agriculture and industry",Water is one of Thailand's most important natural resources., 물은 태국의 가장 중요한 천연 자원 중 하나입니다.,6,2
729,영국,Oxford,"We’ll continue to implement the Waste Strategy We’ll continue to roll out the University Waste Management Strategy across departments, through the Waste Implementation Group","As part of the University's ongoing commitment to waste management, we've launched a new website.", 폐기물 관리에 대한 대학의 지속적인 노력의 일환으로 우리는 새로운 웹사이트를 개설했습니다.,12,2
34,캐나다,Waterloo,"ENSURE AVAILABILITY AND SUSTAINABLE MANAGEMENT OF WATER AND SANITATION FOR ALL
Improving access to safe and affordable drinking water and sanitation services is the goal of SDG 6. This includes addressing sources of pollution, increasing water-use efficiency, improving water resource management, and ensuring healthy water-related
ecosystems. The University of Waterloo’s Water Institute addresses many of these issues in the Canadian and global context.",Water is one of the world’s most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
159,영국,Glasgow,"Our School of Geographical & Earth Sciences offers programmes that contribute to SDG 6. These include our Sustainable Water Environments MSc, which equips students with an interdisciplinary and global perspective on different surface water environments, incorporating issues such as climate and land use change, flood risk, restoration, ecosystem health, and associated management perspectives. Our MSc in Environmental Futures: Sustainable Solutions also incorporates recent advances in ecology and the restoration of river, coastal and lake environments, and teaching includes case studies of managing, protecting and restoring water systems.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
163,영국,Glasgow,"Access to clean water and treatment of wastewater are important components of public health. In many developing countries, water management and treatment have been improving, but the costs of water and sewage management can be prohibitive. Our Glasgow Centre for International Development is working with local communities, policymakers, industry partners and research teams in countries throughout the Global South to develop solutions that are robust, locally adapted and scalable.",Water is one of the world's most important natural resources., 물은 세계에서 가장 중요한 천연 자원 중 하나입니다.,6,2
