,국가,대학교명,내용,요약,요약번역,분류,5분류
1717,남아프리카 공화국,Cape Town,"Although accurate statistics are hard to come by, South Africa clearly suffers from high levels of gender-based violence, which disproportionately affects women. The Gender Health and Justice Research Unit (GHJRU) works to improve service provision to victims of crime, violence and human rights violations, facilitate violence prevention, and promote access to justice in Southern and Eastern Africa through interdisciplinary research, advocacy and education.",Violence against women and children is a major problem in South Africa.,여성과 아동에 대한 폭력은 남아프리카 공화국의 주요 문제입니다.,5,1
1672,핀란드,Eastern Finland,"In 2020, women accounted for 53% of UEF’s teaching and
research staff and 74% of other staff. 63% of all degree students
were women.",The number of women working at the University of Edinburgh has continued to rise., 에든버러 대학교에서 일하는 여성의 수는 계속해서 증가하고 있습니다.,5,1
1422,인도네시아,IPB,"Our students developed a quartered
card game innovation into an alternative
learning method for elementary school
students in improving the score of natural
science subjects in the national exam. This
innovation, Quarter or ""Quarter Pinter""
(Smart Quarter) was selected as one of the
thousands proposals that were awarded a
grant from the Ministry of Research,
Technology and Higher Education
(Kemristekdikti). The quarter is the
answer to the needs of educators and
parents in understanding natural science
lessons and includes riddles in the game
content to support elementary students'
knowledge.",Our students developed a quartered card game innovation into an alternative learning method for elementary school students in improving the score of natural science subjects in the national exam.,우리 학생들은 국가 시험에서 자연 과학 과목의 점수를 향상시키기 위해 초등학생을 위한 대안 학습 방법으로 4분의 1 카드 게임 혁신을 개발했습니다.,4,1
1647,핀란드,Eastern Finland,"Our university has the most multidisciplinary
Faculty of Health Sciences
in Finland, with around 3,000 degree
students and more than 550 doctoral
students. The faculty trains a wide
range of professionals for key fields
in the health care sector, including
physicians, dentists, pharmacists,
head dispensers, nutritionists, and
experts in biomedicine, nursing and
health promotion.",The University of Helsinki is one of Finland's leading research universities.,헬싱키 대학교는 핀란드 최고의 연구 대학 중 하나입니다.,3,1
1354,미국,Texas at Dallas,"Learn More
Educate yourself about Quality Education by visiting the free virtual courses offered by the SDG Academy
Learn more about the targets and indicators at the UN Global Goals website
Learn more about the great work the Office of Diversity and Community Engagement does to make UT Dallas a more inclusive space
Visit the UTD Website to hear the story of UTD’s founding, and how we have grown
Read more about how education remains inequitable today, and how a history of racism in the United States has shaped our education system",Find out more about the University of Texas at Dallas., 달라스에 있는 텍사스 대학교에 대해 자세히 알아보세요.,4,1
567,뉴질랜드,Auckland,"An initiative was launched where staff and students could donateunused clothing items for students who were exploring their genderidentity or who were actively transitioning. The intention of theproject is to provide a safe place where gender-diverse students canobtain gender-affirming clothing, without needing to shop in stronglygendered retail outlets.",A gender-diverse clothing bank has been set up at the University of Aberdeen., 에버딘 대학교에 성별이 다양한 의류 은행이 설립되었습니다.,5,1
843,태국,Chulalongkorn,"While Thailand has made significant progress in manysocial spheres, gender equality still lags far behind. Topromote gender equality, Chulalongkorn Universitycommissioned outside researchers to conduct a studyto identify factors that would lead to a more equalgender environment in its communities. The research report published in 2018 – “EqualOpportunity and Gender Enabling Environment in thePromotion of Gender Equality in ChulalongkornUniversity” – aimed to create a body of knowledge andforge an understanding of the issue of gender equalityamong university staff, from administrators on down tothe rank-and-file. It found, among other things, that while femalefaculty members were capable of climbing theacademic ladder, they often hit the same “glassceiling” that women in other segments of society do. The study recommended that the university adoptpolicies that support equality in all dimensions andlaunch campaigns to educate people on the relevantconcepts, especially that of gender equality.",Chulalongkorn University has launched a campaign to promote gender equality., 출라롱콘 대학교는 성평등 증진을 위한 캠페인을 시작했습니다.,5,1
1220,영국,Northampton,"184
of our students
graduated with
qualifications that
entitled them to teach
at primary school level.","At our graduation ceremony, we celebrated the achievements of our students who have achieved qualifications to teach at primary school level.",졸업식에서 우리는 초등학교 수준의 교사 자격을 획득한 학생들의 성취를 축하했습니다.,4,1
873,호주,Charles Sturt,"The Charles Sturt Equine Isolation Facility in
Wagga Wagga is ready to take high-risk patients.
The facility features six independently operated
stables with separate airflow and plumbing and a
designated treatment and exam room. We work in
times where there are risks to human health and
this facility provides a safeguard to the health
of all patients in the hospital and the personnel
involved in the management of animals in the
isolation facility. Any animal that has, through a risk
assessment, the possibility of having a contagious
disease, will be admitted to this facility to allow us
to deliver state-of-the-art care and uphold rigorous
infection control. The completion of the facility
fulfils ongoing accreditation requirements of the
university, while also providing a biosecurity asset
to be used on a global, national, and regional scale.
This facility will be a fantastic teaching aid while
ensuring clients receive quality care and treatment",A new state-of-the-art isolation facility for horses has opened in New South Wales., 뉴사우스웨일즈에 최신식 말 격리 시설이 새로 문을 열었습니다.,4,1
472,영국,Manchester,"Cloudy with a Chance of PainCloudy with a Chance of Pain is theworld’s first smartphone-based study toinvestigate the association between painand the weather. This large-scale citizenscience project welcomes anyone in theUK with arthritis or chronic pain aged 17and over to take part. Our researchers arenow analysing more than 5 million piecesof symptom data alongside weatherdata from across the UK and thisinformation will be used to generatepain forecasts, allowing people to plantheir weekly activities.",People with arthritis or chronic pain are being invited to take part in a study to find out how the weather affects their symptoms., 관절염이나 만성 통증이 있는 사람들은 날씨가 증상에 어떤 영향을 미치는지 알아보기 위한 연구에 참여하도록 초대받고 있습니다.,3,1
