,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
206,영국,University of Glasgow,"Researchers from our School of Education and the charity Food Train have published research on food access and risk of malnutrition for older people. The research shows that barriers such as loneliness and the changing nature of the high street are leading to a lack of access to healthy and nutritious food to the detriment of physical health. The research calls for a rethink of food insecurity, particularly in older adults, as access to food is not simply down to financial means. Academics within the Adam Smith Business School are also researching how derelict land and community gardens demonstrate how growing initiatives can improve healthy consumption and sustainable food production. ",우리 교육대학과 자선단체인 푸드트레인(Food Train)의 연구원들은 노인들의 음식 접근과 영양실조의 위험에 대한 연구를 발표했다. 그 연구는 외로움과 높은 거리의 변화하는 성격과 같은 장벽이 신체 건강을 해치는 건강에 좋고 영양가 있는 음식에 대한 접근의 부족으로 이어지고 있다는 것을 보여준다. 그 연구는 음식에 대한 접근이 단순히 경제적인 수단에 의존하지 않기 때문에 특히 노인들의 식량 불안에 대해 재고할 것을 요구한다. 아담 스미스 경영대학원 내의 학자들은 또한 어떻게 버려진 땅과 지역사회 정원이 성장하는 이니셔티브가 건강한 소비와 지속 가능한 식량 생산을 어떻게 개선할 수 있는지를 입증하는지를 연구하고 있다.,"교육 학교와 자선 푸드 트레인의 연구원들은 노인들을위한 식량 접근과 영양 실조 위험에 관한 연구를 발표했습니다.이 연구에 따르면 외로움과 하이 스트리트의 변화하는 특성과 같은 장벽은 건강하고 영양가있는 음식에 대한 접근이 부족하여 신체 건강에 해를 끼치게됩니다.이 연구는 식품에 대한 접근이 단순히 재정적 수단에 달려 있지 않기 때문에 식량 불안, 특히 노인의 재고를 요구합니다.아담 스미스 비즈니스 스쿨 (Adam Smith Business School)의 학자들은 또한 외딴 토지와 지역 사회 가든 (Community Gardens)이 어떻게 성장하는 이니셔티브가 어떻게 건강한 소비와 지속 가능한 식량 생산을 개선 할 수 있는지를 보여주는 방법을 연구하고 있습니다."," 연구는 식품에 대한 접근이 단순히 재정적 수단에 달려 있지 않기 때문에 식량 불안, 특히 노인의 재고를 요구합니다",2,1
1593,홍콩,University of Hong Kong,"Since then, the proportion of women at the dean level or above has increased from 9% to 20%, female representation was made compulsory on all appointment and promotion panels, maternity and paternity leave conditions have improved, data collection systems for gender and diversity have been enhanced, and breastfeeding facilities were established on campus. Awareness building initiatives such as lunch seminars for women academics, gender parity forums and meetings were also held. Additionally, funding has been earmarked for the Women’s Studies Research Centre for gender and diversity research.","이후 학장급 이상 여성의 비율이 9%에서 20%로 높아졌고, 모든 임용·승진 패널에는 여성 대표자 의무화, 출산·육아휴직 여건 개선, 성별·다양성 데이터 수집 시스템 강화, 모유수유시설 설치 등이 추진됐습니다. 캠퍼스. 여성 학자들을 위한 점심 세미나, 성평등 포럼 및 회의와 같은 인식 형성 이니셔티브도 열렸습니다. 또한 성별 및 다양성 연구를 위한 여성 연구 센터에도 자금이 배정되었습니다.","그 이후로 학장 수준 이상의 여성의 비율은 9%에서 20%로 증가했으며, 모든 약속 및 홍보 패널, 출산 및 친자 관계 휴가 조건에서 여성 표현이 강제로 만들어졌으며, 성별 및 다양성에 대한 데이터 수집 시스템은강화되었고 캠퍼스에 모유 수유 시설이 설립되었습니다.여성 학계를위한 점심 세미나, 젠더 패리티 포럼 및 회의와 같은 인식 구축 이니셔티브도 개최되었습니다.또한, 성별 및 다양성 연구를위한 여성 연구 연구 센터에 자금이 배정되었습니다.", 성별 및 다양성 연구를위한 여성 연구 연구 센터에 자금이 배정되었습니다.,5,1
1497,호주,Griffith,"FIRST PEOPLES HEALTH CAMP Griffith First Peoples Health Unit is committed to increasing Aboriginal and Torres Strait Islander student success. In 2021 it hosted a First Peoples Health Camp for Aboriginal and Torres Strait Islander, providing participants with an experience of university study and the opportunity to learn more about potential careers in allied health. The camp was hosted in partnership with the Institute of Urban Indigenous Health.","Griffith First People Health Camp. Griffith First People Health Unit은 더 많은 사람들을 위해 노력하고 있습니다. 원주민과 토레스 해협 섬사람의 학생 성공. 2021년에는 원주민과 토레스를 위한 퍼스트 피플 건강 캠프를 개최하였다. Strait Islander, 참가자들에게 다음과 같은 경험을 제공합니다. 대학 공부와 더 많은 것을 배울 기회 연합군 의료 분야의 잠재적 경력 그 캠프는 에서 열렸다. 도시 원주민 보건 연구소와의 파트너십.",최초의 사람들 건강 캠프 그리피스 퍼스트 사람들 건강 부서는 원주민과 토레스 해협 섬 주민 학생의 성공을 늘리기 위해 노력하고 있습니다.2021 년에는 원주민과 토레스 해협 섬 주민을위한 최초의 사람들 건강 캠프를 주최하여 참가자들에게 대학 학습 경험과 연합국 건강의 잠재적 경력에 대해 더 많이 배울 수있는 기회를 제공했습니다.이 캠프는 도시 원주민 건강 연구소와 협력하여 주최되었습니다.,최초의 사람들 건강 캠프 그리피스 퍼스트 사람들 건강 부서는 원주민과 토레스 해협 섬 주민 학생의 성공을 늘리기 위해 노력하고 있습니다,3,1
971,말레이시아,Sunway University,"Our Sunway University Business
School is also part of the research
team behind an upcoming journal
article by Rezazade, F. et al. (2022),
entitled A holistic approach to food
fraud vulnerability assessment. The
increase in fraudulent incidents
has resulted in a change of focus
in theory related to investigating
food fraud from risk mitigation to
vulnerability reduction. This paper developed a holistic approach to
analyse food fraud vulnerability
factors using a Bayesian Network
(BN) approach based on the
Decernis food fraud database
incidents. The model discussed in
this paper will help authorities in
border protection, policymakers,
and quality assurance agencies
assess fraud vulnerability in
a range of food products for
incoming (imported) food products,
mainly if they know the country of
origin and type of food products.","우리 선웨이 대학 사업
학교도 연구의 일부이다.
곧 발행될 잡지의 배후에 팀을 짜다.
Rezazade의 기사, F. 등(2022),
음식에 대한 총체적인 접근이라는 제목의
부정 행위 취약성 평가. 그
사기 사건의 증가
포커스가 바뀌었습니다.
조사와 관련된 이론상
위험 완화에서 로의 식품 사기
취약성 감소 이 논문은 에 대한 전체론적 접근법을 개발하였다.
식품 사기의 취약성을 분석하다
베이지안 네트워크를 사용하는 요인
(BN) 기반 접근 방식
Decernis 식품 사기 데이터베이스
사건들 에서 논의된 모델
이 종이는 당국에게 도움이 될 것이다.
국경 보호, 정책 입안자,
및 품질 보증 기관
의 사기 취약성을 평가하다
을 위한 다양한 식품.
들어오는(입고된) 식품,
주로 그들이 의 나라를 안다면.
식품의 원산지 및 종류.","우리의 Sunway University Business School은 또한 Rezazade, F. et al.(2022), 식품 사기 취약성 평가에 대한 전체적인 접근 방식.사기 사건의 증가로 인해 위험 완화에서 취약성 감소로 식품 사기를 조사하는 것과 관련된 이론에서 초점이 바뀌 었습니다.이 백서는 Decernis Food Fraud 데이터베이스 사고를 기반으로 베이지안 네트워크 (BN) 접근법을 사용하여 식품 사기 취약점 요인을 분석하기위한 전체적인 접근 방식을 개발했습니다.이 논문에서 논의 된 모델은 국경 보호, 정책 입안자 및 품질 보증 기관의 당국이 주로 원산지 및 식품 유형을 알고있는 경우, 식품 제품을위한 다양한 식품에서 사기 취약성을 평가하는 데 도움이 될 것입니다.", 식품 사기 취약성 평가에 대한 전체적인 접근 방식,2,1
701,이탈리아,Bologna University,"For students: This service is aimed at young people with emotional and relational problems, affective and behavioural disorders, and difficulties withuniversity and/or work life, and is free of chargefor students studying at UniBo and for all youngpeople aged between 18 and 28 years who use thehealth service in Bologna.","학생의 경우: 이 서비스는 정서적·관계적 문제, 정서적·행동적 장애, 대학 및/또는 직장생활의 어려움을 겪는 청소년을 대상으로 하며, 유니보에서 공부하는 학생 및 볼로냐에서 의료서비스를 이용하는 18~28세 청년 모두에게 무료로 제공된다.","학생들의 경우 :이 서비스는 정서적, 관계 적 문제, 정서적 및 행동 장애, 대학 및/또는 직장 생활에 대한 어려움을 겪고 있으며 유니보에서 공부하는 학생들과 18 세에서 28 세 사이의 모든 젊은이들에게 무료입니다.볼로냐에서 건강 서비스를 사용하십시오.", 건강 서비스를 사용하십시오.,3,1
946,캐나다,McMaster University,"The McMaster Children & Youth University delivers free programming for children and youth aged
seven to 14 in all areas of science, technology, engineering, arts and math (STEAM). The programs
— which includes a family lecture series, workshops and online activities — are intended to share
McMaster research in a way that is fun and accessible to all children and youth. The goal is to empower
and academically prepare young people, especially those at a socioeconomic disadvantage, to aspire
to a university education. MCYU also works to deepen the university’s relationships with schools and
organizations in neighbourhoods where high school completion rates are disproportionately low.","McMaster Children & Youth University는 어린이와 청소년을 위한 무료 프로그램을 제공합니다.
과학, 기술, 공학, 예술 및 수학(STEAM)의 모든 영역에서 7에서 14까지. 프로그램
— 가족 강의 시리즈, 워크샵 및 온라인 활동을 포함하는 이 프로그램은 공유하기 위한 것입니다.
McMaster는 재미있고 모든 어린이와 청소년이 접근할 수 있는 방식으로 연구합니다. 목표는 힘을 실어주는 것이다.
특히 사회경제적으로 불리한 입장에 있는 젊은이들을 학문적으로 준비시키고, 열망할 수 있도록 한다.
대학교육을 위해 MCYU는 또한 학교와 대학의 관계를 돈독히 하기 위해 일한다.
고등학교 졸업률이 불균형적으로 낮은 지역의 단체들","McMaster Children & Youth University는 과학, 기술, 공학, 예술 및 수학 (Steam)의 모든 분야에서 7 ~ 14 세의 어린이 및 청소년을위한 무료 프로그래밍을 제공합니다.가족 강의 시리즈, 워크샵 및 온라인 활동이 포함 된 프로그램은 모든 어린이와 청소년이 재미 있고 접근 할 수있는 방식으로 McMaster 연구를 공유하기위한 것입니다.목표는 젊은이들, 특히 사회 경제적 불이익을 가진 사람들에게 대학 교육을 열망하도록 권한을 부여하고 학문적으로 준비하는 것입니다.McYu는 또한 고등학교 수료율이 불균형 적으로 낮은 지역의 학교 및 조직과의 대학과의 관계를 심화시키기 위해 노력합니다."," 강의 시리즈, 워크샵 및 온라인 활동이 포함 된 프로그램은 모든 어린이와 청소년이 재미 있고 접근 할 수있는 방식으로 McMaster 연구를 공유하기위한 것입니다",4,1
508,영국,Manchester University,Equal pay and progressionOur 2017 gender pay gap report foundan average gender pay gap of 17.1% andactions are being taken to improve this.Women in academic and professionalroles are invited to the womenonly leadership developmentprogramme Aurora andthere has been an increasein the proportion offemale senior academicsfrom 23.2% in 2009 to31.1% in 2017.,동일 임금과 진행률2017년 성별 임금 격차 보고서에 따르면 평균 성별 임금 격차는 17.1%이며 이를 개선하기 위한 조치가 취해지고 있습니다.학업 및 전문적 역할의 여성을 여성 전용 리더십 육성 프로그램인 오로라에 초청하고 여성 원로 학자의 비율이 2009년 23.2%에서 2017년 31.1%로 증가했다.,"동등한 임금 및 진보 2017 성별 임금 격차 보고서는 17.1%의 평균 성별 임금 차이를 발견하고 학업 및 전문성에서 개선을 위해 취해지고 있으며, 여성 리더십 개발 프로그램에 초대되었으며 2009 년에 23.2% ~ 31의 비율이 증가하고 있습니다.2017 년 .1%.","평균 성별 임금 차이를 발견하고 학업 및 전문성에서 개선을 위해 취해지고 있으며, 여성 리더십 개발 프로그램에 초대되었으며 2009 년에 23",5,1
1467,인도네시아,IPB University,"Agrianita IPB is a social organization
consisting of IPB's female community
members (women lecturers, female
education staff, lecturers/education
staff's wives, retirees, warakawuri), where
this organization prioritizes work
programs that lead to aspects of
e d u c a t i o n , e m p o w e r m e n t , a n d
community service. Agrianita has several
programs including family service centers,
foster parents movement, early childhood
education, and women's economic
empowerment.","아그리니타 IPB는 사회단체이다.
IPB의 여성 커뮤니티로 구성된
회원(여성강사, 여성)
교육 직원, 강사/교육
직원의 아내, 퇴직자, 와라카우리).
이 조직은 일의 우선순위를 정합니다.
의 측면을 유도하는 프로그램
에듀케이션, 엠파워 엠파워, 그리고
사회 봉사 아그리아니타에는 여러 개가 있다.
가족 서비스 센터를 포함한 프로그램,
양부모운동, 유아기
교육과 여성 경제
권한 부여","Agrianita IPB는 IPB의 여성 커뮤니티 회원 (여성 강사, 여성 교육 직원, 강사/교육 직원의 아내, 퇴직자, Warakawuri)으로 구성된 소셜 조직입니다.Agrianita에는 가족 서비스 센터, 포스터 부모 운동, 유아 교육 및 여성의 경제 권한 부여를 포함한 여러 프로그램이 있습니다."," 가족 서비스 센터, 포스터 부모 운동, 유아 교육 및 여성의 경제 권한 부여를 포함한 여러 프로그램이 있습니다.",5,1
1372,미국,The University of Texas at Dallas,"Quality Education Globally
The ability to obtain a quality and equitable education can set one up to achieve many of the other Sustainable Development Goals. Education can reduce poverty, improve the likelihood someone can obtain Decent Work, and increase the amount of people concerned about combatting climate change. Unfortunately, across the world, education is not accessible to all.

Sustainable Development Goal 4 reaches across all aspects of one’s education, from preschool to tertiary education. It includes reducing discrimination in education, increasing adult literacy levels, and focusing specifically on education for sustainable development. Although the United States is ahead of much of the world in providing an education to all citizens, our system remains one built on inequality.","글로벌 양질의 교육
질 좋고 공정한 교육을 받을 수 있는 능력은 다른 많은 지속 가능한 개발 목표를 달성하도록 설정할 수 있다. 교육은 빈곤을 줄일 수 있고, 누군가가 양질의 일자리를 얻을 수 있는 가능성을 향상시키며, 기후 변화와 싸우는 것에 대해 걱정하는 사람들의 양을 증가시킬 수 있다. 불행하게도, 전 세계적으로, 교육은 모든 사람이 접근할 수 있는 것은 아니다.

지속 가능한 개발 목표 4는 유아교육에서 고등교육에 이르기까지 모든 교육 분야에 걸쳐 도달한다. 그것은 교육에서의 차별을 줄이고, 성인 문해 수준을 높이며, 지속 가능한 발전을 위한 교육에 특히 집중하는 것을 포함한다. 비록 미국이 모든 시민들에게 교육을 제공하는 데 있어서 세계 대부분의 국가들보다 앞서 있지만, 우리의 시스템은 불평등 위에 세워진 하나의 시스템으로 남아 있다.","품질 교육 전 세계적으로 품질과 공평한 교육을 얻는 능력은 다른 지속 가능한 개발 목표를 달성하기 위해 하나를 설정할 수 있습니다.교육은 빈곤을 줄이고, 누군가가 괜찮은 일을 얻을 수있는 가능성을 향상시킬 수 있으며, 기후 변화와의 퇴치에 관심이있는 사람들의 양을 증가시킬 수 있습니다.불행히도 전 세계에서 교육이 모든 사람이 접근 할 수있는 것은 아닙니다.지속 가능한 개발 목표 4는 유치원에서 고등 교육에 이르기까지 자신의 교육의 모든 측면에 도달합니다.여기에는 교육 차별 감소, 성인 문해력 수준 증가 및 지속 가능한 개발을위한 교육에 특별히 집중하는 것이 포함됩니다.미국이 모든 시민들에게 교육을 제공하는 데 전 세계의 많은 것보다 앞서 있지만, 우리의 시스템은 불평등을 기반으로 한 시스템으로 남아 있습니다.",품질 교육 전 세계적으로 품질과 공평한 교육을 얻는 능력은 다른 지속 가능한 개발 목표를 달성하기 위해 하나를 설정할 수 있습니다,4,1
2096,영국,University of East Anglia,We aim to identify products and practices that can be changed to improve the nutritional value of our food such as using healthier cooking oils and cooking methods. All in-house produced products do not feature hydrogenated fat and/or unnecessary additives in line with Food Standards Agency guidance. We reduce the frequency and portion size of red and processed meats we serve by always offering a red meat alternative,"우리는 건강한 식용유 사용, 조리방법 등 우리 음식의 영양가 향상을 위해 변화할 수 있는 제품과 관행을 발굴하는 것을 목표로 하고 있습니다. 자체 생산되는 모든 제품은 식품 표준국의 지침에 따라 수소화 지방 및/또는 불필요한 첨가물이 포함되어 있지 않습니다. 우리는 항상 붉은 고기 대체를 제공함으로써 우리가 제공하는 붉은 고기와 가공된 고기의 빈도와 양을 줄인다.",우리는 건강한 식용유 및 요리 방법과 같은 음식의 영양가를 향상시키기 위해 변경 될 수있는 제품과 관행을 식별하는 것을 목표로합니다.모든 사내 생산 된 제품에는 식품 표준 에이전트 에이전트에 따라 수소화 지방 및/또는 불필요한 첨가제가 특징이 없습니다.우리는 항상 붉은 육류 대안을 제공함으로써 제공하는 적색 및 가공 고기의 주파수와 부분 크기를 줄입니다.,우리는 건강한 식용유 및 요리 방법과 같은 음식의 영양가를 향상시키기 위해 변경 될 수있는 제품과 관행을 식별하는 것을 목표로합니다,2,1
