,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
1025,영국,University of Essex,"As a University, we are taking action to reduce
water consumption across our three sites,
focusing on waste avoidance and increasing
rain/grey water use.","""대학으로서, 우리는 감소하기 위한 조치를 취하고 있습니다.
3개 사이트에 걸친 물 소비량
폐기물 회피 및 증가에 집중하기
비/회수 사용.""",대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,대학으로서 우리는 폐기물 회피에 중점을두고 비/회색 물 사용을 증가시키는 세 곳에서 물 소비를 줄이기 위해 조치를 취하고 있습니다.,6,2
1645,캐나다,Carleton University,"Drink tap water instead of bottled
Take advantage of water bottle filling stations across the campus.

Drink only from the tap with glasses or reusable water bottles
Fill up reusable water bottles on campus at a filtered water bottle filling station","병에 담지 말고 수돗물을 마셔라.
캠퍼스 전체에 있는 물병 충전소를 이용하십시오.

유리잔이나 재사용 가능한 물병과 함께 수도꼭지에서만 마시기
여과된 물병 충전소에서 캠퍼스에서 재사용 가능한 물병을 채웁니다.",병에 든 수돗물을 마시면 캠퍼스 전역의 물병 충전국을 활용하십시오.안경이나 재사용 가능한 물병으로 수돗물에서만 마시십시오. 필터링 된 물병 충전재의 캠퍼스에서 재사용 가능한 물병을 채우십시오., 재사용 가능한 물병으로 수돗물에서만 마시십시오. 필터링 된 물병 충전재의 캠퍼스에서 재사용 가능한 물병을 채우십시오.,6,2
745,영국,Oxford University,"We’ll reduce our water consumption even more: continue to roll out our Water Management Strategy, prioritise water efficiency in buildings that use lots of water, fit low flow taps and showers, calibrate taps and showers for shorter run times, fit smart meters on water supplies to identify leaks, improve the efficiency of equipment that produces laboratory grade water","우리는 물 소비량을 더욱 줄일 것입니다. 물 관리 전략을 지속적으로 수립하고, 물을 많이 사용하는 건물에서 물 효율의 우선 순위를 정하고, 저유량 수도꼭지와 샤워기를 설치하며, 가동 시간을 단축하기 위해 수도꼭지와 샤워기를 조정하고, 누수를 식별하기 위한 스마트 계량기를 수도 공급기에 장착하고, la를 생산하는 장비의 효율성을 개선합니다.","우리의 물 소비를 더욱 줄일 것입니다 : 물 관리 전략을 계속 발전시키고, 많은 물을 사용하는 건물의 물 효율성 우선 순위를 정하고, 낮은 흐름 탭 및 샤워를 맞추고, 더 짧은 달리기 시간을 위해 샤워를 보정하고, 스마트 미터를 맞추십시오.누출을 식별하고 실험실 등급 물을 생산하는 장비의 효율성을 향상시키기위한 물 공급", 식별하고 실험실 등급 물을 생산하는 장비의 효율성을 향상시키기위한 물 공급,6,2
1660,캐나다,Carleton University,"Unsure where an item goes?
Check out the Carleton’s Waste Management Guide or the City of Ottawa’s Waste Explorer to find out how to responsibly recycle on campus.","항목이 어디로 이동하는지 확실하지 않습니까?
캠퍼스에서 책임감 있게 재활용하는 방법을 알아보려면 Carleton's Waste Management Guide 또는 City of Ottawa's Waste Explorer를 확인하십시오.",항목이 어디로 가는지 잘 모르시겠습니까?Carleton의 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오., 폐기물 관리 안내서 또는 오타와의 폐기물 탐험가를 확인하여 캠퍼스에서 책임감있게 재활용하는 방법을 알아보십시오.,14,2
23,이탈리아,Bologna University,EXTENSIVE RECYCLING PROGRAM FOR UNIVERSITY WASTE,대학 폐기물에 대한 광범위한 재활용 프로그램,대학 폐기물을위한 광범위한 재활용 프로그램,대학 폐기물을위한 광범위한 재활용 프로그램,12,2
1201,호주,Victoria University,"Conflicts between territories over
water sharing arrangements may
become more severe due to additional
dependency on water, growing
population, and reduced availability as
a result of climate change. This
complex issue is addressed in An
Engineering Perspective of Water
Sharing Issues in Pakistan , in
relation to the water sharing
arrangements between Pakistan, India
and Afghanistan in the Indus Basin, by
Muhammed Atiq Ur Rehman Tariq from
VU and researchers from the
Netherlands and Pakistan. Equitable
management issues and outdated
irrigation practices are exacerbating
a water shortage in the basin which
is now increasingly countered by the
use of groundwater. This sudden high
extraction of groundwater is causing
depletion of the groundwater table
and quality issues, which is
heightening provincial conflicts
over water. Policy, enforcement,
engineering and social support are all
needed to develop a comprensive, fair
and transparent water strategy.","에 대한 영토간의 갈등
물 공유 안배는 다음과 같다.
가일층의 증세로 더 심해지다
물에 대한 의존성, 성장
인구 및 가용성 감소
기후 변화의 결과 이것.
복잡한 이슈는 An에서 다루어진다.
물의 공학적 관점
파키스탄의 공유 문제들
물 공유에 대한 관계
파키스탄과 인도 사이의 협정
인더스 분지에 있는 아프가니스탄과
무하메드 아티크 우르 레만 타리크
의 VU 및 연구자
네덜란드와 파키스탄. 형평성
관리 문제와 구식
관개 관행이 악화되고 있다
...의 분지의 물 부족.
이제 에 의해 점점 더 반박되고 있다.
지하수의 이용 이 갑작스런 최고치
지하수의 추출이 원인이 되고 있다.
지하수 테이블 고갈
품질 문제, 즉
지방 분쟁의 고조
수중에서 정책, 시행,
공학과 사회적 지원이 전부이다.
종합적이고 공정하게 발전하기 위해 필요했습니다.
투명한 물 전략.","물 공유 계약에 대한 영토 간의 갈등은 물에 대한 추가 의존성, 인구 증가 및 기후 변화의 결과로 가용성 감소로 인해 더욱 심각해질 수 있습니다.이 복잡한 문제는 파키스탄, 인도 및 아프가니스탄의 물 공유 계약과 관련하여 파키스탄의 물 공유 문제에 대한 엔지니어링 관점, VU의 Muhammed Atiq Ur Rehman Tariq와 네덜란드와 파키스탄의 연구원들에 의해 해결된다.공평한 관리 문제와 구식 관개 관행은 유역에서 물 부족을 악화시키고 있으며, 이는 이제 지하수 사용에 의해 점점 더 대응되고 있습니다.이러한 갑작스런 지하수 추출은 지하수 테이블과 품질 문제가 고갈되어 물에 대한 지방의 갈등을 높이고 있습니다.정책, 시행, 공학 및 사회적 지원은 모두 구성적이고 공정하며 투명한 물 전략을 개발하기 위해 필요합니다.","물 공유 계약에 대한 영토 간의 갈등은 물에 대한 추가 의존성, 인구 증가 및 기후 변화의 결과로 가용성 감소로 인해 더욱 심각해질 수 있습니다",6,2
1996,영국,University of East Anglia,We are dedicated to supporting sustainable fishing and maximise the use of fish on the Marine Conservation Society’s ‘fish to eat’ list – meaning that fish at most risk of extinction are not caught to prevent overfishing.,"우리는 지속 가능한 어업을 지원하고 해양 보존 협회의 '먹어야 할 물고기' 목록에 있는 물고기의 사용을 극대화하는 데 전념하고 있습니다. 즉, 대부분의 멸종 위험이 있는 물고기는 남획을 방지하기 위해 잡히지 않습니다.","우리는 지속 가능한 낚시를 지원하기 위해 최선을 다하고 있으며 해양 보존 협회의 '먹는 물고기'목록에서 물고기의 사용을 극대화합니다. 즉, 대부분의 멸종 위험에 처한 물고기는 남획을 방지하기 위해 잡히지 않습니다.","우리는 지속 가능한 낚시를 지원하기 위해 최선을 다하고 있으며 해양 보존 협회의 '먹는 물고기'목록에서 물고기의 사용을 극대화합니다. 즉, 대부분의 멸종 위험에 처한 물고기는 남획을 방지하기 위해 잡히지 않습니다.",14,2
1844,인도,Ashoka University,"Divyashree A. N.

PhD Scholar, Biology
“We use a lot of consumables especially to pour
growth media for bacteria. These plates need to be
sterile. Although one-time-use plastics are most
convenient, our lab is trying to move towards glass
consumables that can be recycled and are more
environment friendly. We also use Glass
Microscope slides for routine microscopy that is
washed and recycled instead of discarding it as
bio-waste.”","디비아 3 A. n.

박사학위, 생물학
""우리는 특히 쏟아붓기 위해 많은 소모품을 사용한다.
세균의 배지 이 접시들은 있어야 한다.
무균의 1회용 플라스틱이 가장 많지만
편리하다, 우리 연구실은 유리를 향해 움직이려고 노력하고 있다.
재활용이 가능하고 더 많은 소모품
환경 친화적인 우리는 글라스도 사용한다.
일상적인 현미경 검사를 위한 현미경 슬라이드:
로 폐기하는 대신 세탁하고 재활용합니다.
""생물 폐기물""","Divyashree A. N. PhD Scholar, Biology“우리는 많은 소모품을 사용하여 특히 박테리아의 성장 매체를 부어줍니다.이 판은 멸균되어야합니다.일회성 플라스틱이 가장 편리하지만 실험실은 재활용 할 수 있고 환경 친화적 인 유리 소모품으로 이동하려고합니다.우리는 또한 생체 폐기물로 폐기하는 대신 세척하고 재활용되는 일상적인 현미경에 유리 현미경 슬라이드를 사용합니다.”", 또한 생체 폐기물로 폐기하는 대신 세척하고 재활용되는 일상적인 현미경에 유리 현미경 슬라이드를 사용합니다,12,2
1518,영국,London School of Economics and Political Science,Improve recycling facilities and signage in halls to increase recycling rates.,재활용 시설을 개선하고 홀의 간판을 개선하여 재활용률을 높입니다.,재활용 시설과 홀에서의 간판을 개선하여 재활용률을 높이십시오.,재활용 시설과 홀에서의 간판을 개선하여 재활용률을 높이십시오.,12,2
243,캐나다,Concordia University,"WASTE REDUCTION INITIATIVES
Facilities Management’s Zero Waste Concordia program
is committed to becoming a model for sustainable waste,
water and energy management at universities. Zero Waste
Concordia’s mission is to divert landfill waste and instead
reduce, reuse, recycle and rot. The program targets coffee cups,
e-waste, paper, office furnishings and organic waste.
The Zero Waste Week and Challenge is a yearly, free event
series and pledge dedicated to rethinking and innovating the
way we approach waste. Students learn about upcycling,
repurposing, composting and recycling, as well as the
environmental and social implications of unsustainable waste
management systems through workshops and activities.
The Dish Project is a student-run waste reduction initiative
and official partner of Zero Waste Concordia. By lending out
its inventory of reusable dishes, the project makes it easy for
anyone in Montreal to run a sustainable event. It aims to make
events more sustainable by supplying reusable dishes as a free
and accessible alternative to disposable products. By providing
practical resources to ease participation in the shared economy,
the project hopes to encourage people to rethink consumer
culture and act in solidarity with those most impacted by it.
SDG 12 RESPONSIBLE CONSUMPTION
AND PRODUCTION
The catering agreement contract used by Concordia’s Food
Services includes sustainable practices. All of our dining halls
employ a compost-only model. Compost collection has more
than doubled, from around 45 metric tonnes in 2015-2016
through 15 compost bins to over 90 metric tonnes in 2018-
2019 through over 200 compost bins.","폐기물 감소 이니셔티브_x000D_
시설 관리의 폐기물 제로 콩코드 프로그램_x000D_
지속 가능한 폐기물의 모델이 되기 위해 최선을 다하고 있습니다._x000D_
대학의 물과 에너지 관리 제로 웨이스트_x000D_
콩코디아의 임무는 쓰레기 매립지를 다른 곳으로 옮기는 것이다._x000D_
감소, 재사용, 재활용 및 썩습니다. 그 프로그램은 커피잔을 목표로 하고 있고_x000D_
전자 폐기물, 종이, 사무용 가구 및 유기 폐기물._x000D_
제로 웨이스트 위크 앤 챌린지는 매년 열리는 무료 이벤트입니다._x000D_
시리즈와 서약서를 다시 생각하고 혁신하는 데 전념합니다._x000D_
우리가 폐기물에 접근하는 방법 학생들은 업사이클링에 대해 배운다._x000D_
용도 변경, 퇴비화, 재활용, 그리고 그 외_x000D_
지속 불가능한 폐기물의 환경 및 사회적 영향_x000D_
워크샵과 활동을 통한 관리 시스템._x000D_
Dish Project는 학생이 운영하는 폐기물 감소 이니셔티브입니다._x000D_
제로 웨이스트 콩코디아의 공식 파트너입니다. 빌려줌으로써_x000D_
재사용 가능한 접시에 대한 그것의 재고, 그 프로젝트는 그것을 쉽게 만든다._x000D_
몬트리올에서 지속 가능한 행사를 운영하는 모든 사람들. 을 만드는 것을 목표로 한다._x000D_
재사용 가능한 접시를 무료로 제공함으로써 더 지속 가능한 행사들_x000D_
일회용품에 대한 접근성 있는 대안. 제공_x000D_
공유경제에 쉽게 참여할 수 있는 실질적인 자원,_x000D_
그 프로젝트는 사람들이 소비자를 다시 생각하도록 장려하기를 희망한다._x000D_
그것에 의해 가장 영향을 받는 사람들과 연대하여 문화하고 행동한다._x000D_
SDG 12 책임 있는 소비_x000D_
및 프로덕션_x000D_
콩코디아 식품이 사용한 음식 제공 계약서_x000D_
서비스에는 지속 가능한 관행이 포함됩니다. 우리의 모든 식당들_x000D_
퇴비 전용 모델을 채용하다 퇴비 수집은 더 많은 것을 가지고 있다._x000D_
2015-2016년 약 45metric tons에서 두 배 이상 증가_x000D_
퇴비통 15개를 통해 2018년 90metric ton 초과 달성_x000D_
200개가 넘는 퇴비통을 통해 2019년을 맞이했습니다.","폐기물 감소 이니셔티브 시설 관리의 제로 폐기물 콩코르 디아 프로그램은 대학에서 지속 가능한 폐기물, 수자원 및 에너지 관리를위한 모델이되기 위해 노력하고 있습니다. 제로 폐기물 콩코르 디아의 사명은 매립 폐기물을 전환하고 대신 대신 재사용, 재활용, 재활용 및 부패하는 것입니다. 이 프로그램은 커피 컵, 전자 폐기물, 종이, 사무용 가구 및 유기농 폐기물을 대상으로합니다. 제로 폐기물 주와 챌린지는 매년 무료 이벤트 시리즈이며 폐기물에 접근하는 방식을 다시 생각하고 혁신하기위한 서약입니다. 학생들은 작업장 및 활동을 통해 지속 불가능한 폐기물 관리 시스템의 환경 및 사회적 영향뿐만 아니라 업 사이클링, 용도 변경, 퇴비 및 재활용에 대해 배웁니다. Dish Project는 학생이 운영하는 폐기물 감소 이니셔티브이며 Zero Waste Concordia의 공식 파트너입니다. 재사용 가능한 요리의 인벤토리를 빌려서이 프로젝트는 몬트리올의 모든 사람이 지속 가능한 행사를 쉽게 운영 할 수 있도록합니다. 재사용 가능한 요리를 일회용 제품에 대한 무료 및 접근 가능한 대안으로 공급함으로써 이벤트를보다 지속 가능하게 만드는 것을 목표로합니다. 공유 경제에 참여할 수있는 실용적인 자원을 제공 함으로써이 프로젝트는 사람들이 소비자 문화를 재고하고 가장 영향을받는 사람들과 연대하게 행동하도록 장려하기를 희망합니다. SDG 12 책임 소비 및 생산 Concordia의 식품 서비스에서 사용하는 케이터링 계약 계약에는 지속 가능한 관행이 포함됩니다. 모든 식당은 퇴비 전용 모델을 사용합니다. 퇴비 컬렉션은 2015-2016 년 약 45 미터 톤에서 15 퇴비 빈 (퇴비 빈)에서 2018-2019 년에 90 톤 이상으로 200 개가 넘는 퇴비 빈을 두 배 이상 증가 시켰습니다.","폐기물 감소 이니셔티브 시설 관리의 제로 폐기물 콩코르 디아 프로그램은 대학에서 지속 가능한 폐기물, 수자원 및 에너지 관리를위한 모델이되기 위해 노력하고 있습니다. 제로 폐기물 콩코르 디아의 사명은 매립 폐기물을 전환하고 대신 대신 재사용, 재활용, 재활용 및 부패하는 것입니다. 이 프로그램은 커피 컵, 전자 폐기물, 종이, 사무용 가구 및 유기농 폐기물을 대상으로합니다. 제로 폐기물 주와 챌린지는 매년 무료 이벤트 시리즈이며 폐기물에 접근하는 방식을 다시 생각하고 혁신하기위한 서약입니다. 학생들은 작업장 및 활동을 통해 지속 불가능한 폐기물 관리 시스템의 환경 및 사회적 영향뿐만 아니라 업 사이클링, 용도 변경, 퇴비 및 재활용에 대해 배웁니다. Dish Project는 학생이 운영하는 폐기물 감소 이니셔티브이며 Zero Waste Concordia의 공식 파트너입니다. 재사용 가능한 요리의 인벤토리를 빌려서이 프로젝트는 몬트리올의 모든 사람이 지속 가능한 행사를 쉽게 운영 할 수 있도록합니다. 재사용 가능한 요리를 일회용 제품에 대한 무료 및 접근 가능한 대안으로 공급함으로써 이벤트를보다 지속 가능하게 만드는 것을 목표로합니다. 공유 경제에 참여할 수있는 실용적인 자원을 제공 함으로써이 프로젝트는 사람들이 소비자 문화를 재고하고 가장 영향을받는 사람들과 연대하게 행동하도록 장려하기를 희망합니다. SDG 12 책임 소비 및 생산 Concordia의 식품 서비스에서 사용하는 케이터링 계약 계약에는 지속 가능한 관행이 포함됩니다. 모든 식당은 퇴비 전용 모델을 사용합니다. 퇴비 컬렉션은 2015-2016 년 약 45 미터 톤에서 15 퇴비 빈 (퇴비 빈)에서 2018-2019 년에 90 톤 이상으로 200 개가 넘는 퇴비 빈을 두 배 이상 증가 시켰습니다.",12,2
