,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
18,캐나다,Queen's University,"Administration and operations
University governance measures
The Queen’s Board of Trustees is the university’s highest governing body and is responsible for the overall operations of the university. It includes elected representation from undergraduate and graduate students, faculty, and staff.
Diversity at the University’s highest levels
The Board of Trustees’ Diversity, Equity, Inclusion, and Indigenization Action Plan instructs the Board to consider diversity and inclusion in its own composition and that of its working groups. It also requires the consideration of diversity in all its mandates and policies.
Commitment to free speech
Queen’s Free Expression Policy protects free speech on campus. It includes the right of any person, group, or community to communicate opinions and ideas without interference, censorship, or sanction, including the right to engage in peaceful protest about the content of the free expression of others.","""관리 및 운영
대학 거버넌스 방안
여왕 이사회는 대학의 최고 통치 기구이며 대학의 전반적인 운영을 책임진다. 학부생과 대학원생, 교직원으로부터 선출된 대표자를 포함한다.
대학 최고 수준의 다양성
IASB의 다양성, 형평성, 포함 및 토착화 실행계획은 IASB가 자체 구성 및 실무그룹 구성에서의 다양성과 포함을 고려하도록 지시한다. 그것은 또한 그것의 모든 의무와 정책에서 다양성의 고려를 요구한다.
언론의 자유에 대한 헌신
퀸의 자유 표현 정책은 캠퍼스 내 언론의 자유를 보호한다. ""타인의 자유로운 표현의 내용에 대해 평화적인 항의를 할 수 있는 권리를 포함하여, 어떠한 개인, 단체 또는 공동체가 간섭, 검열 또는 제재 없이 의견과 생각을 소통할 수 있는 권리를 포함한다.""","행정 및 운영 대학 거버넌스 측정 여왕의 이사회는 대학에서 가장 높은 통치 기관이며 대학의 전반적인 운영을 담당합니다.여기에는 학부 및 대학원생, 교직원 및 교직원의 선출 된 대표가 포함됩니다.대학의 최고 수준에서 다양성 이사회의 다양성, 형평성, 포함 및 원주민화 행동 계획은 이사회에 자체 구성과 실무 그룹의 다양성과 포용성을 고려하도록 지시합니다.또한 모든 명령과 정책에서 다양성을 고려해야합니다.언론의 여왕의 자유 표현 정책에 대한 약속은 캠퍼스에서의 자유 연설을 보호합니다.여기에는 다른 사람의 자유로운 표현 내용에 대한 평화로운 항의에 관여 할 권리를 포함하여 간섭, 검열 또는 제재없이 의견과 아이디어를 전달할 수있는 사람, 그룹 또는 공동체의 권리가 포함됩니다.", 여왕의 자유 표현 정책에 대한 약속은 캠퍼스에서의 자유 연설을 보호합니다,16,4
228,인도네시아,IPB University,"This course was started by Assistant
P r o f e s s o r M . S h o h i b u d d i n i n t h e
Department of Communication and
Community Development Sciences. This
course focused on the contribution of
environmental issues to violent conflict and
their potential as pathways for cooperation
a n d t h e c o n s o l i d a t i o n o f p e a c e .
Environmental factors are rarely the sole
cause of violent conflict. However, the
exploitation of natural resources and
related environmental stresses can be
implicated in all phases of the conflict cycle,
from contributing to the outbreak and
perpetuation of violence to undermining
prospects for peace. The course offers
s t u d e n t s a c h a n c e t o a d d r e s s
environmental and natural resource issues
in peacebuilding interventions and conflict
prevention. The course allows students to
gain knowledge and understanding of
natural resources for peace.","이 과정은 어시스턴트에 의해 시작되었습니다.
교수나 M. Shoh는 그 안에 있었다.
커뮤니케이션학과
지역 개발 과학입니다. 이것.
의 공헌에 초점을 맞춘 강좌
환경 문제를 폭력적 분쟁으로 그리고
협력의 길로서 그들의 잠재력
그리고 그 콘은 평화를 지지했다.
환경적 요인이 유일한 경우는 드물다.
폭력 분쟁의 원인 하지만, 그
천연자원의 개발
관련된 환경 스트레스는 다음과 같을 수 있다.
분쟁 주기의 모든 단계에 관여한다.
발생에 기여하는 것으로부터
파괴에 대한 폭력의 영속화
평화에의 전망 그 강좌는 개설되어 있다.
학생에게 옷을 입힐 기회가 생기다.
환경 및 자연 자원 문제
평화롭게 개입과 분쟁을 조성하다.
예방책 그 과정은 학생들이 할 수 있도록 한다.
에 대한 지식과 이해를 얻다
평화를 위한 천연 자원","이 과정은 조수 P r o f e s s o r m에 의해 시작되었습니다.S h o h i b u d d d i n i n t h e 커뮤니케이션 및 지역 사회 개발 과학부.이 과정은 폭력적인 갈등에 대한 환경 문제의 기여와 협력의 경로로서의 잠재력에 초점을 맞추었다.환경 적 요인은 폭력 분쟁의 유일한 원인이 아닙니다.그러나 천연 자원의 착취 및 관련 환경 스트레스는 갈등주기의 모든 단계에 연루 될 수 있으며, 폭력의 발병 및 지속에 이르기까지 평화의 전망을 약화시키는 것까지.이 과정은 평화 구축 중재 및 갈등 예방에서 환경 및 천연 자원 문제를 제공합니다.이 과정을 통해 학생들은 평화를위한 천연 자원에 대한 지식과 이해를 얻을 수 있습니다.", 과정은 평화 구축 중재 및 갈등 예방에서 환경 및 천연 자원 문제를 제공합니다,16,4
31,영국,University of Glasgow,"The School’s research in the theme of
international law aims to have an impact on
law-making, implementation and enforcement
and on the wider administration of justice within
the international society. Academics from the
School are also engaged in research to help
advise governments, including a project funded
by the Scottish Government that examined
various aspects of the way in which juries
reach their decisions in criminal trials and how
to ensure that safeguards against wrongful
conviction are maintained. This influenced
Government actions on reforming Scots law
with regard to the requirement for corroboration,
requiring two sources of evidence in support
of every “crucial fact” in a criminal trial, and
ensuring safeguards are maintained.","""이 학교의 연구 주제""
국제법은 영향을 미치는 것을 목표로 한다.
법률 제정, 시행 및 집행
그리고 내에서의 더 넓은 사법행정에 대해
국제 사회 의 학자들
학교는 또한 돕기 위한 연구에 종사하고 있다.
자금을 지원받은 사업을 포함하여 정부에 조언하다.
을 조사한 스코틀랜드 정부에 의해
배심원단의 여러 방면.
형사재판에서 그들의 결정에 도달하다.
부정행위로부터 보호하도록 보장하다
신념을 유지하다 이것이 영향을 미쳤다.
스코틀랜드 법률 개혁에 대한 정부 조치
확증 요건과 관련하여,
뒷받침하는 두 가지 증거의 출처를 요구함
형사 재판에서 모든 ""불명확한 사실""과
안전장치가 유지되도록 보장합니다.""","국제법 주제에 대한 학교의 연구는 국제 사회 내에서 법률 결정, 이행 및 집행 및 더 넓은 정의 행정에 영향을 미치는 것을 목표로합니다.학교의 학자들은 또한 스코틀랜드 정부가 자금을 조달 한 프로젝트를 포함하여 배심원들이 형사 재판에서 결정에 도달하는 방법의 다양한 측면과 잘못된 유죄 판결에 대한 보호 조치를 유지하는 방법을 조사하는 정부를 포함하여 정부를 조언하는 데 도움이되는 연구에 참여하고 있습니다.이것은 확증에 대한 요구 사항과 관련하여 스코틀랜드 법 개혁에 대한 정부의 행동에 영향을 미쳤으며, 형사 재판에서 모든“중요한 사실”을 뒷받침하는 두 가지 증거 출처를 요구하고 보호 수단이 유지되도록 보장했다."," 확증에 대한 요구 사항과 관련하여 스코틀랜드 법 개혁에 대한 정부의 행동에 영향을 미쳤으며, 형사 재판에서 모든“중요한 사실”을 뒷받침하는 두 가지 증거 출처를 요구하고 보호 수단이 유지되도록 보장했다.",16,4
337,홍콩,The Chinese University of Hong Kong,"The Committee against Sexual Harassment regularly organizes engagement activities, including online quizzes, training modules, talks, workshops, seminars, courses and exhibitions, to raise the awareness of staff and students about behaviour that may constitute sexual harassment and to provide them with a good understanding of the University’s policies and procedures to prevent sexual harassment.","성희롱방지위원회는 온라인 퀴즈, 교육 모듈, 강연회, 워크숍, 세미나, 강좌, 전시회 등 참여 활동을 정기적으로 개최하여 성희롱이 될 수 있는 행동에 대한 교직원 및 학생들의 인식을 높이고 대학 정책에 대한 올바른 이해를 제공한다.성희롱을 방지하기 위한 절차와 절차","성희롱에 대한위원회는 온라인 퀴즈, 훈련 모듈, 대화, 워크샵, 세미나, 코스 및 전시회를 포함한 참여 활동을 정기적으로 조직하여 성희롱을 구성 할 수있는 행동에 대한 직원과 학생들의 인식을 높이고 좋은 이해를 제공합니다.성희롱을 방지하기위한 대학의 정책 및 절차.", 방지하기위한 대학의 정책 및 절차.,16,4
251,홍콩,University of Hong Kong,"The Faculty of Law’s Rule of Law Education Project (ROLE) aims to enhance the public's understanding of the rule of law and strengthen law institutions in Hong Kong. They work with legal academics, practitioners, NGO leaders, education experts, members of the Legislative Council, and senior liberal studies teachers to provide training and publish materials on legal matters. The project aims to bridge the understanding gap between stakeholders so that the rule of law is further ingrained in Hong Kong society. ","법학부의 법치 교육 프로젝트(ROLE)는 법치에 대한 대중의 이해를 높이고 홍콩의 법 기관을 강화하는 것을 목표로 합니다. 그들은 법률 학자, 실무자, NGO 지도자, 교육 전문가, 입법회 의원, 그리고 고위 자유주의 연구 교사와 함께 법률 문제에 대한 교육을 제공하고 자료를 출판합니다. 이 프로젝트는 홍콩 사회에 법의 지배가 더 깊이 뿌리내릴 수 있도록 이해관계자 간의 이해 격차를 해소하는 것을 목표로 하고 있습니다.","법학 학부의 법률 교육 규칙 프로젝트 (역할)는 홍콩의 법률 규칙에 대한 대중의 이해를 강화하고 법률 기관을 강화하는 것을 목표로합니다.그들은 법률 학계, 실무자, NGO 지도자, 교육 전문가, 입법 협의회 회원 및 선임 자유 연구 교사와 협력하여 법적 문제에 대한 교육 및 자료를 출판합니다.이 프로젝트는 홍콩 사회에서 법의 지배가 더욱 심화되도록 이해 당사자들 사이의 이해 격차를 해소하는 것을 목표로합니다.",법학 학부의 법률 교육 규칙 프로젝트 (역할)는 홍콩의 법률 규칙에 대한 대중의 이해를 강화하고 법률 기관을 강화하는 것을 목표로합니다,16,4
314,미국,UC Davis University,"The UC Violence Prevention Research Program
Firearm violence is a significant health and social problem in California and across the United States. The lack of basic information on the epidemiology of firearm violence and its prevention has led to widespread misunderstanding of the problem and has impeded prevention efforts. Evidence of the effects of state policies and programs for reducing firearm violence as well as basic information on benefits, risks and prevalence of firearm ownership in California are also lacking.","UC 폭력 예방 연구 프로그램
총기 폭력은 캘리포니아와 미국 전역에서 중요한 건강 및 사회적 문제이다. 총기 폭력의 역학과 그 예방에 대한 기본적인 정보가 부족하기 때문에 이 문제에 대한 광범위한 오해를 불러일으키고 예방 노력을 방해하고 있다. 총기 폭력을 줄이기 위한 주 정책과 프로그램의 효과에 대한 증거와 캘리포니아의 총기 소유의 유익성, 위험성 및 보급에 대한 기본 정보도 부족하다.","UC 폭력 예방 연구 프로그램 총기 폭력은 캘리포니아와 미국 전역의 중요한 건강 및 사회적 문제입니다.총기 폭력의 역학에 대한 기본 정보가 부족하고 예방으로 인해이 문제에 대한 광범위한 오해가 발생했으며 예방 노력을 방해했습니다.총기 폭력 감소를위한 주 정책 및 프로그램의 영향에 대한 증거뿐만 아니라 캘리포니아의 총기 소유권의 혜택, 위험 및 유병률에 대한 기본 정보도 부족합니다."," 폭력 감소를위한 주 정책 및 프로그램의 영향에 대한 증거뿐만 아니라 캘리포니아의 총기 소유권의 혜택, 위험 및 유병률에 대한 기본 정보도 부족합니다.",16,4
89,영국,Bournemouth University,"University policiesWe are committed to ethical standardsof business conduct and adopt a zerotolerance approach to bribery andcorruption in all jurisdictions through ourAnti-Bribery Policy and Procedures. OurCode of Practice on Freedom of Speechensures we can explore academic andchallenging topics in a safe environmentwhile our Ethical Investment Policyreflects our desire to invest in sustainable,responsible ways. ","대학 정책우리는 기업행위의 윤리적 기준에 전념하고 있으며 뇌물방지 정책과 절차를 통해 모든 관할 구역의 뇌물 및 부패에 무관용 접근법을 채택하고 있습니다. 표현의 자유에 관한 우리의 실천 강령은 우리가 안전한 환경에서 학문적이고 도전적인 주제를 탐구할 수 있도록 보장하고, 우리의 윤리적인 투자 정책은 지속 가능하고 책임감 있는 방식으로 투자하고자 하는 우리의 욕구를 반영합니다.",대학 정책은 비즈니스 행동의 윤리적 표준에 전념하고 우리의 뇌물 정책 및 절차를 통해 모든 관할 구역에서 뇌물 수수 및 부패에 대한 Zerotolerance 접근 방식을 채택합니다.우리의 윤리적 투자 정책은 안전한 환경에서 학문적 및 도전적인 주제를 탐구 할 수있는 언어의 자유에 대한 실천의 코드는 지속 가능하고 책임감있는 방식에 투자하려는 우리의 욕구를 반영합니다., 윤리적 투자 정책은 안전한 환경에서 학문적 및 도전적인 주제를 탐구 할 수있는 언어의 자유에 대한 실천의 코드는 지속 가능하고 책임감있는 방식에 투자하려는 우리의 욕구를 반영합니다.,16,4
203,호주,Victoria University,"Associate Professor Debra Smith of
PCVE , co-leads the Applied Security
Science Partnership (ASSP) that brings
together police, security practitioners
and academics to build robust
evidence on behavioural indicators of
violent extremism. Debra was also part
of the expert panel commissioned for
the Independent review of effective
case management and information
sharing barriers relevant to violent
extremism.","부교수 데브라 스미스
PCVE, Applied Security 공동 선두
다음을 실현하는 과학 파트너십(ASSP)
경찰, 보안 전문가들과 함께
그리고 학문을 통해 강건물을 구축한다.
의 행동 지표에 대한 증거
과격한 극단주의 데브라도 일부였다.
에 의뢰된 전문가 패널의
실효성에 대한 독립적 검토
사례 관리 및 정보
폭력과 관련된 장벽을 공유하기
극단주의","PCVE의 Debra Smith 부교수는 경찰, 보안 실무자 및 학자들을 모아 폭력적인 극단주의의 행동 지표에 대한 강력한 증거를 구축하는 응용 안보 과학 파트너십 (ASP)을 공동 리딩합니다.Debra는 또한 폭력적인 극단주의와 관련된 효과적인 사례 관리 및 정보 공유 장벽에 대한 독립적 인 검토를 위해 의뢰 된 전문가 패널의 일부였습니다.", 또한 폭력적인 극단주의와 관련된 효과적인 사례 관리 및 정보 공유 장벽에 대한 독립적 인 검토를 위해 의뢰 된 전문가 패널의 일부였습니다.,16,4
150,캐나다,McMaster University,"Olive Wahoush, Associate Professor in the School of Nursing at
McMaster University, is co-lead for the Teaching and Learning working
group of the Commonwealth Peace and Reconciliation Network.
The network brings together an interdisciplinary collective of
academics, researchers and professional staff from more than 40
universities across the Commonwealth who work in the fields of
peace, truth, justice, and reconciliation. Knowledge, capacity and
resources can be shared through the network to engage in activities
that have a direct impact on university practice and the wider world","Olive Wahoush, 간호대학 부교수
McMaster University는 Teaching and Learning working의 공동 리더입니다.
영연방 평화 화해 네트워크의 그룹
네트워크는 다음과 같은 학제 간 집단을 하나로 묶는다.
40명 이상의 학자, 연구자, 전문 스태프
영연방 전역에 걸쳐 ...분야에 종사하는 대학.
평화, 진실, 정의, 그리고 화해. 지식, 역량 및
네트워크를 통해 자원을 공유하여 활동에 참여할 수 있다.
대학 관행과 더 넓은 세계에 직접적인 영향을 미치는","McMaster University의 간호 학교 부교수 인 Olive Wahoush는 Commonwealth Peace and Reconciliation Network의 교육 및 학습 실무 그룹을 공동 선도하고 있습니다.이 네트워크는 평화, 진실, 정의 및 화해 분야에서 일하는 영연방 전역의 40 개 이상의 대학의 학업 간 학업, 연구원 및 전문 직원을 모았습니다.지식, 역량 및 자원은 네트워크를 통해 공유하여 대학 실습과 더 넓은 세계에 직접적인 영향을 미치는 활동에 참여할 수 있습니다.", 역량 및 자원은 네트워크를 통해 공유하여 대학 실습과 더 넓은 세계에 직접적인 영향을 미치는 활동에 참여할 수 있습니다.,16,4
152,캐나다,McMaster University,"The interdisciplinary Peace Studies program is concerned with
war and peace, violence and non-violence, conflict and conflict
transformation. By focusing attention on problems of conflict,
particularly of a violent nature, researchers attempt to improve our
methods of analyzing and dealing with these problems. The university
also hosts the Hope Chair in Peace and Health. As well as teaching
and conducting research, the chair works collaboratively to establish
on-campus and community events and programs. ","학제간 평화 연구 프로그램은 다음과 같다.
전쟁과 평화, 폭력과 비폭력, 갈등과 갈등
변형 갈등의 문제에 집중함으로써
특히 폭력적인 성질의, 연구원들은 우리의
이러한 문제들을 분석하고 다루는 방법들 대학
또한 평화와 건강의 희망 의자를 주최합니다. 가르치는 것 뿐만 아니라
그리고 연구를 수행하면서, 그 의자는 설립하기 위해 협력적으로 일합니다.
현장 및 커뮤니티 이벤트 및 프로그램","학제 간 평화 연구 프로그램은 전쟁과 평화, 폭력 및 비폭력, 갈등 및 갈등 변화와 관련이 있습니다.갈등 문제, 특히 폭력적인 성격에 대한 관심에 초점을 맞추면서 연구원들은 이러한 문제를 분석하고 다루는 방법을 개선하려고 시도합니다.대학은 또한 평화와 건강 분야에서 희망 의장을 주최합니다.의장은 연구 및 수행뿐만 아니라 협력하여 캠퍼스 내 및 지역 사회 행사 및 프로그램을 구축하기 위해 협력 적으로 일합니다.","학제 간 평화 연구 프로그램은 전쟁과 평화, 폭력 및 비폭력, 갈등 및 갈등 변화와 관련이 있습니다",16,4
