,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
1232,캐나다,Western University,"Girls in Engineering
Go ENG Girl
and
Go CODE Girl
are some of the communityoutreach programs offered by
Western Engineering
thatprovide interactive and exciting opportunities for girls ingrades 7-11 to be introduced to engineering, coding, andrelated STEM fields. Girls learn about the world ofengineering from female professionals, academics, andstudents.","공학계의 소녀들
고 ENG 걸
그리고.
Go CODE Gir
지역 사회 진출 프로그램 중 일부는 에 의해 제공된다.
웨스턴 엔지니어링
7~11학년 여학생들에게 엔지니어링, 코딩 및 관련 STEM 분야에 소개될 수 있는 상호 작용적이고 흥미로운 기회를 제공합니다. 소녀들은 여성 전문가, 학자, 그리고 학생들로부터 공학의 세계에 대해 배웁니다.","Engineering Go Eng Girl and Go Code Girl의 소녀는 서양 엔지니어링이 제공하는 커뮤니티 우루 리치 프로그램 중 일부는 대화 형 및 흥미로운 기회를 제공하여 7-11이 엔지니어링, 코딩 및 관련 STEM 분야에 소개 될 수있는 흥미로운 기회를 제공합니다.소녀들은 여성 전문가, 학자 및 학생들로부터 참여의 세계에 대해 배웁니다."," 여성 전문가, 학자 및 학생들로부터 참여의 세계에 대해 배웁니다.",5,1
1122,파키스탄,National University of Sciences & Technology,"Fempower @ NUST
NUST Community Service Club (NCSC) initiated Fempower project which aims to provide financial independence
to women from underprivileged backgrounds. The project was selected for funding under
the HEC Social Integration Programme. In 2019, 2 women from nearby slum areas were enrolled in six
months training at the Islamabad Vocational & Technical Training Centre. These women were trained for
skills development like clothes stitching and beautician courses. Once the training completed, the women
were able to set-up home-businesses and pledged to give back 10% of their income to the project.
In this way, the project is expected to become sustainable for other women enrolling in the programme.
The NCSC Fempower team visited the centre and took feedback from the head of the institution, which
proved to be exceptional","펨파워 @ NUST
NUST Community Service Club (NCSC)는 재정 자립을 목표로 하는 Fempower 프로젝트를 시작했습니다.
소외된 배경을 가진 여성들에게요 그 프로젝트는 아래의 자금 지원을 위해 선택되었다.
HEC 사회 통합 프로그램 2019년에는 인근 슬럼가 출신 여성 2명이 6명 입학했다.
이슬라마바드 직업 및 기술 훈련 센터에서 수개월간의 훈련. 이 여성들은 이 일을 위해 훈련받았다.
옷 꿰매기, 미용사 과정과 같은 기술 개발 훈련이 완료되면, 여성들은
홈 비즈니스를 설립할 수 있었고 그들의 수입의 10%를 프로젝트에 돌려주겠다고 약속했다.
이런 식으로, 그 프로젝트는 그 프로그램에 등록하는 다른 여성들에게도 지속 가능하게 될 것으로 기대된다.
NCSC Fempower 팀은 센터를 방문하여 기관장으로부터 피드백을 받았다.
특출한 것으로 판명되었다.","Fempower @ Nust Nust Community Service Club (NCSC)은 소외 계층의 배경에서 여성들에게 재정적 독립성을 제공하는 Fempower Project를 시작했습니다.이 프로젝트는 HEC 사회 통합 프로그램에 따라 자금 조달을 위해 선정되었습니다.2019 년에 인근 빈민가 지역 출신의 2 명의 여성이 Islamabad 직업 및 기술 교육 센터에서 6 개월 동안 훈련을 받았습니다.이 여성들은 옷 스티칭 및 미용사 코스와 같은 기술 개발을 위해 훈련을 받았습니다.훈련이 완료되면 여성들은 가정 사업을 설정할 수 있었고 수입의 10%를 프로젝트에 돌려 주겠다고 약속했습니다.이런 식 으로이 프로젝트는 프로그램에 등록하는 다른 여성들에게 지속 가능할 것으로 예상됩니다.NCSC Fempower 팀은 센터를 방문하여 기관 책임자로부터 피드백을 받았으며, 이는 예외적 인 것으로 판명되었습니다.", 여성들은 옷 스티칭 및 미용사 코스와 같은 기술 개발을 위해 훈련을 받았습니다,5,1
708,이탈리아,Bologna University,"Our students have free access to sports facilitiesmanaged by the University of Bologna SportsCentre. The service allows local schools to accessthe facilities at no charge during the free events/projects. For the local community, only access tothe garden and the refreshment areas is free ofcharge. UniBo Sports Centre also offers pay-peruse services such as sports facilities and courses(competitive, non-competitive, amateur sports).Services organised by CUSB are open to bothstudents and employees, and the local community(citizens - sports clubs - associations) with discountsfor CUSB-members.","우리 학생들은 볼로냐 대학 스포츠 센터에서 관리하는 스포츠 시설을 무료로 이용할 수 있습니다. 이 서비스는 무료 행사/프로젝트 기간 동안 지역 학교들이 시설에 무료로 접근할 수 있도록 한다. 지역사회의 경우, 정원과 다과 구역에만 무료로 접근할 수 있다. 유니보 스포츠 센터는 또한 스포츠 시설과 코스(경쟁, 비경쟁, 아마추어 스포츠)와 같은 유료 서비스를 제공한다.CUSB가 주관하는 서비스는 학생과 직원, 지역 사회(시민 - 스포츠 클럽 - 협회) 모두에게 개방되며 CUSB 회원은 할인됩니다.","우리 학생들은 Bologna Sportscentre 대학이 관리하는 스포츠 시설에 무료로 이용할 수 있습니다.이 서비스를 통해 지역 학교는 무료 행사/프로젝트 중에 무료로 시설에 접근 할 수 있습니다.지역 사회의 경우 접근 정원과 다과 지역에만 접근 할 수 있습니다.Unibo Sports Center는 또한 스포츠 시설 및 코스 (경쟁력, 비경쟁 적, 아마추어 스포츠)와 같은 유료 서비스를 제공합니다. Cusb가 조직 한 서비스는 모두 학생과 직원 모두에게 개방되어 있으며 지역 사회 (시민 - 스포츠 클럽 - 협회)와 공개됩니다.CUSB- 멤버 할인.", 서비스를 통해 지역 학교는 무료 행사/프로젝트 중에 무료로 시설에 접근 할 수 있습니다,3,1
862,태국,Chulalongkorn University,"Thailand’s urban areas have been expanding rapidly and arenow home to 50% of the country’s population, with Bangkokalone accounting for about 15%. The College of Public Health Sciences has launchedan innovative program called Chula Health Street, aimed atpromoting healthful living in communities using aparticipatory model. Operating under the CU Community EngagementProject, Chula Health Street uses an innovative communitymodel to promote physical and mental health as well asquality of life among residents of targeted communities. Community members receive holistic care throughcounseling provided by a network of university facultymembers. The goal is to empower them to be able todevelop their own communities through real-lifeexperiences.","태국의 도시 지역은 빠르게 확장되고 있으며현재 방콕과 함께 국가 인구의 50%가 거주하고 있습니다.단독으로 약 15%를 차지한다. 공중보건과학대학이 개교했습니다.출라 헬스 스트리트라는 혁신적인 프로그램은를 사용하여 지역사회에서 건강한 삶을 증진합니다.참여형 모델. CU 커뮤니티 참여하에 운영프로젝트, Chula Health Street는 혁신적인 커뮤니티를 사용합니다.신체적, 정신적 건강을 증진하는 모델대상 지역사회 거주자들의 삶의 질. 커뮤니티 회원은대학 교수진 네트워크가 제공하는 상담회원. 목표는 그들이 할 수 있도록 권한을 부여하는 것입니다.실생활을 통해 자신의 커뮤니티를 개발경험담.","태국의 도시 지역은 빠르게 확장되었으며 방콕론은 약 15%를 차지하면서 국가 인구의 50%를 차지하고 있습니다.College of Public Health Sciences는 Chula Health Street라는 혁신적인 프로그램을 시작했으며, 외계인 모델을 사용하여 지역 사회에서 건강을 유지하는 것을 목표로했습니다.CU Community EngagementProject에서 운영되는 Chula Health Street는 혁신적인 커뮤니티 모델을 사용하여 대상 지역 주민들 사이에서 신체적, 정신적 건강과 삶의 질을 촉진합니다.커뮤니티 회원은 대학 교수님의 네트워크에서 제공하는 경력을 통해 전체 론적 치료를받습니다.목표는 실제 자리를 통해 자신의 지역 사회를 발전시킬 수 있도록 힘을 실어주는 것입니다.", 실제 자리를 통해 자신의 지역 사회를 발전시킬 수 있도록 힘을 실어주는 것입니다.,3,1
1397,영국,University of Exeter,"Below are examples demonstrating our response to Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality.","다음은 Target 2.4에 대한 우리의 대응을 보여주는 예들이다: 2030년까지 지속 가능한 식량 생산 시스템을 보장하고, 생산성을 높이고, 생산을 증가시키고, 생태계를 유지하며, 기후 변화, 가뭄, 홍수 및 기타 재해에 대한 적응 능력을 강화하는 탄력적인 농업 관행을 시행한다.땅과 토양의 질을 점진적으로 향상시킨다.","다음은 Target 2.4에 대한 우리의 반응을 보여주는 예입니다. 2030 년까지 지속 가능한 식품 생산 시스템을 보장하고 생산성과 생산을 증가시키는 탄력적 인 농업 관행, 생태계 유지, 기후 변화, 가뭄, 홍수 및 홍수 및 홍수 및 홍수 및 홍수 및 홍수에 대한 적응 능력을 강화하는 탄력성 농업 관행을 구현합니다.다른 재난과 토지와 토양 품질을 점차 개선합니다.", 재난과 토지와 토양 품질을 점차 개선합니다.,2,1
1467,인도네시아,IPB University,"Agrianita IPB is a social organization
consisting of IPB's female community
members (women lecturers, female
education staff, lecturers/education
staff's wives, retirees, warakawuri), where
this organization prioritizes work
programs that lead to aspects of
e d u c a t i o n , e m p o w e r m e n t , a n d
community service. Agrianita has several
programs including family service centers,
foster parents movement, early childhood
education, and women's economic
empowerment.","아그리니타 IPB는 사회단체이다.
IPB의 여성 커뮤니티로 구성된
회원(여성강사, 여성)
교육 직원, 강사/교육
직원의 아내, 퇴직자, 와라카우리).
이 조직은 일의 우선순위를 정합니다.
의 측면을 유도하는 프로그램
에듀케이션, 엠파워 엠파워, 그리고
사회 봉사 아그리아니타에는 여러 개가 있다.
가족 서비스 센터를 포함한 프로그램,
양부모운동, 유아기
교육과 여성 경제
권한 부여","Agrianita IPB는 IPB의 여성 커뮤니티 회원 (여성 강사, 여성 교육 직원, 강사/교육 직원의 아내, 퇴직자, Warakawuri)으로 구성된 소셜 조직입니다.Agrianita에는 가족 서비스 센터, 포스터 부모 운동, 유아 교육 및 여성의 경제 권한 부여를 포함한 여러 프로그램이 있습니다."," 가족 서비스 센터, 포스터 부모 운동, 유아 교육 및 여성의 경제 권한 부여를 포함한 여러 프로그램이 있습니다.",5,1
1523,타이완,NTU,"All-Male Boards in the 21st Century: A professor at Nanyang Business School is studying why some major publicly traded corporations fail to appoint women directors to their boards, in spite of mounting pressure from activist organisations, investors, regulatory bodies, peer companies, and board directors themselves to do so. The research contributes to management scholarship on corporate social responsibility.","21세기의 모든 남성 이사회: 남양 경영대학원의 한 교수는 일부 주요 상장 기업들이 운동권 단체, 투자자, 규제 기관, 동료 회사 및 이사회 임원들의 증가하는 압력에도 불구하고 여성 이사들을 이사회에 임명하지 못하는 이유를 연구하고 있습니다. 그 연구는 기업의 사회적 책임에 대한 경영 장학금에 기여합니다.","21 세기의 모든 남성위원회 : Nanyang Business School의 교수는 활동가 조직, 투자자, 규제 기관, 동료 회사 및 회사의 압력이 가해지면서 일부 공개적으로 거래 된 일부 기업이 여성 이사를 이사회에 임명하지 못하는 이유를 연구하고 있습니다.이사회 이사들은 그렇게합니다.이 연구는 기업의 사회적 책임에 대한 관리 장학금에 기여합니다.", 연구는 기업의 사회적 책임에 대한 관리 장학금에 기여합니다.,5,1
1497,호주,Griffith,"FIRST PEOPLES HEALTH CAMP Griffith First Peoples Health Unit is committed to increasing Aboriginal and Torres Strait Islander student success. In 2021 it hosted a First Peoples Health Camp for Aboriginal and Torres Strait Islander, providing participants with an experience of university study and the opportunity to learn more about potential careers in allied health. The camp was hosted in partnership with the Institute of Urban Indigenous Health.","Griffith First People Health Camp. Griffith First People Health Unit은 더 많은 사람들을 위해 노력하고 있습니다. 원주민과 토레스 해협 섬사람의 학생 성공. 2021년에는 원주민과 토레스를 위한 퍼스트 피플 건강 캠프를 개최하였다. Strait Islander, 참가자들에게 다음과 같은 경험을 제공합니다. 대학 공부와 더 많은 것을 배울 기회 연합군 의료 분야의 잠재적 경력 그 캠프는 에서 열렸다. 도시 원주민 보건 연구소와의 파트너십.",최초의 사람들 건강 캠프 그리피스 퍼스트 사람들 건강 부서는 원주민과 토레스 해협 섬 주민 학생의 성공을 늘리기 위해 노력하고 있습니다.2021 년에는 원주민과 토레스 해협 섬 주민을위한 최초의 사람들 건강 캠프를 주최하여 참가자들에게 대학 학습 경험과 연합국 건강의 잠재적 경력에 대해 더 많이 배울 수있는 기회를 제공했습니다.이 캠프는 도시 원주민 건강 연구소와 협력하여 주최되었습니다.,최초의 사람들 건강 캠프 그리피스 퍼스트 사람들 건강 부서는 원주민과 토레스 해협 섬 주민 학생의 성공을 늘리기 위해 노력하고 있습니다,3,1
2095,영국,University of East Anglia,"Wherever possible, we champion the use of local suppliers to reduce food miles, support the local economy and provide a point of difference on campus. All of our milk has been from East Anglian dairies since 2016. Our Procurement team are pro-active in the areas that they assess. They recently contacted some of our farmers to ask about the use of antibiotics in their supply chain",우리는 가능한 한 지역 공급업체의 사용을 지지하여 식품 마일리지를 줄이고 지역 경제를 지원하고 캠퍼스에서 차별점을 제공합니다. 우리의 모든 우유는 2016년부터 이스트앵글리안 유제품입니다. 우리의 조달팀은 그들이 평가하는 분야에서 적극적이다. 그들은 최근에 몇몇 농부들에게 그들의 공급망에서의 항생제 사용에 대해 물어보기 위해 연락했다.,"가능한 한, 우리는 현지 공급 업체를 사용하여 식품 마일을 줄이고 지역 경제를 지원하며 캠퍼스에서 차이를 제공합니다.우리의 모든 우유는 2016 년부터 East Anglian Dairies에서 왔습니다. 우리의 조달 팀은 그들이 평가하는 지역에서 적극적입니다.그들은 최근에 우리 농민들에게 연락하여 공급망에서 항생제 사용에 대해 묻습니다.", 최근에 우리 농민들에게 연락하여 공급망에서 항생제 사용에 대해 묻습니다.,2,1
718,이탈리아,Bologna University,"CUG participated in the work of the ""TechnicalScientific Committee for the drafting of guidelineson gender language in the University"", promotedby the Vice-Rector for Human Resources. In 2020,the Committee produced the publication entitled“Guidelines for the visibility of gender in UniBoinstitutional communication.” This documentintends to promote awareness of the universitycommunity on the daily use of language attentiveto gender differences, in institutional documents, inthe forms produced by the general administrationareas.","CUG는 ""대학 내 젠더 언어에 관한 지침의 초안을 위한 기술 과학 위원회""의 작업에 참여하였다. 2020년 위원회는 ""유니보 기관 커뮤니케이션에서 성별의 가시성을 위한 지침""이라는 제목의 출판물을 제작했다. 이 문서는 일반 행정 구역에서 생산되는 형태로 성별 차이에 주의를 기울이는 언어의 일상적인 사용에 대한 대학 공동체의 인식을 촉진하기 위한 것이다.","CUG는 인적 자원 부의장으로 승진 한 ""대학의 지침 초안 작성을위한 기술 과학위원회""의 작업에 참여했습니다.2020 년에위원회는“유니 역사 의사 소통에서 성별의 가시성에 대한 지침”이라는 제목의 출판물을 제작했습니다.이 문서는 제도적 문서, 일반 행정부에 의해 생성 된 형태로 언어 주의적 성별 차이의 매일 사용에 대한 대학교 공동체에 대한 인식을 장려합니다.", 년에위원회는“유니 역사 의사 소통에서 성별의 가시성에 대한 지침”이라는 제목의 출판물을 제작했습니다,5,1
