,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
389,영국,London School of Economics and Political Science,"LSE Sustainability Engagement Officer, Katie Rees, judged and provided feedback to 29 international projects as part of the Global Goals competition, organised by youth organisation Future Foundations. The competition asked teams of school children to complete social action projects that contributed to the Sustainable Development Goals. Projects included mental health awareness role plays for peers in schools; activities and events to integrate refugees into the local community; and reef and beach clean ups and habitat reconstruction in Bangkok.",LSE 지속 가능성 참여 책임자인 Katie Rees는 청소년 조직인 Future Foundations에서 주최한 Global Goals 대회의 일환으로 29개의 국제 프로젝트를 심사하고 피드백을 제공했습니다. 이 대회는 학교 어린이 팀에게 지속 가능한 개발 목표에 기여한 사회적 행동 프로젝트를 완료하도록 요청했습니다. 프로젝트에는 학교 동료를 위한 정신 건강 인식 역할극이 포함되었습니다. 난민을 지역 사회에 통합하기 위한 활동 및 행사 방콕의 산호초 및 해변 청소 및 서식지 재건.,LSE 지속 가능성 참여 책임자 인 Katie Rees는 청소년 조직의 Future Foundations가 주최 한 글로벌 목표 경쟁의 일환으로 29 개의 국제 프로젝트에 대한 피드백을 판단하고 제공했습니다.이 대회는 학교 어린이 팀에게 지속 가능한 개발 목표에 기여한 사회 행동 프로젝트를 완료하도록 요청했습니다.프로젝트는 학교의 동료들을위한 정신 건강 인식 역할 연극이 포함되었습니다.난민을 지역 사회에 통합하는 활동과 행사;방콕의 암초와 해변 청소 및 서식지 재건., 대회는 학교 어린이 팀에게 지속 가능한 개발 목표에 기여한 사회 행동 프로젝트를 완료하도록 요청했습니다,17,5
160,이탈리아,Bologna University,SAR is a network of institutions and individuals whoshare a mission: protecting scholars and promotingacademic freedom. SAR supports scholars facingthreats to safety by setting up temporary academicpositions at partner institutions.,SAR는 학자를 보호하고 학문의 자유를 증진하는 사명을 공유하는 기관과 개인들의 네트워크이다. SAR는 파트너 기관에 임시 학술 자리를 마련함으로써 안전에 대한 위협에 직면한 학자들을 지원합니다.,SAR은 학자 보호와 학업의 자유를 증진시키는 임무를 수행하는 기관과 개인의 네트워크입니다.SAR은 파트너 기관에서 임시 학업을 설정하여 안전을 향한 학자들을 지원합니다., 파트너 기관에서 임시 학업을 설정하여 안전을 향한 학자들을 지원합니다.,17,5
355,영국,London School of Economics and Political Science,"LSE’s approach to community engagement is embodied by SDG 17, particularly 17.16 “enhance the global partnership for sustainable development, complemented by multi-stakeholder partnerships that mobilize and share knowledge, expertise, technology and financial resources, to support the achievement of the sustainable development goals in all countries, in particular developing countries” and 17.17 “Encourage and promote effective public, public-private and civil society partnerships, building on the experience and resourcing strategies of partnerships”.","지역사회 참여에 대한 LSE의 접근 방식은 SDG 17, 특히 17.16에 의해 구체화되어 있습니다. ""지속 가능한 개발을 위한 글로벌 파트너십을 강화하고 지식, 전문 지식, 기술 및 재정 자원을 동원하고 공유하는 다자간 파트너십을 보완하여 모든 국가에서 지속 가능한 개발 목표 달성을 지원합니다.s, 특히 개발도상국"" 및 17.17 ""파트너십의 경험과 자원화 전략을 바탕으로 효과적인 공공, 민관 및 시민사회 파트너십을 장려하고 촉진합니다.""","지역 사회 참여에 대한 LSE의 접근 방식은 SDG 17에 의해 구체화됩니다. 특히 지속 가능한 개발 목표 달성을 지원하기 위해 지식, 전문 지식, 기술 및 재정 자원을 동원하고 공유하는 다중 이해 관계자 파트너십에 의해 보완 된 지속 가능한 개발을위한 글로벌 파트너십을 향상시킵니다.모든 국가, 특히 개발 도상국”및“효과적인 공공, 공공-민간 및 시민 사회 파트너십을 장려하고 홍보하여 파트너십의 경험과 자원화 전략을 구축합니다”."," 국가, 특히 개발 도상국”및“효과적인 공공, 공공-민간 및 시민 사회 파트너십을 장려하고 홍보하여 파트너십의 경험과 자원화 전략을 구축합니다”.",17,5
221,파키스탄,National University of Sciences & Technology,"National Science and Technology Park (NSTP):
NUST is committed to boosting the knowledge-based economy by linking academia with multiple members of the civic
society like public entities, local and international companies, and the social sector. Such a nexus provides a platform for
researchers, startups, and businesses to share open innovation and thus ensures a transparent flow of knowledge. NUST
prides itself in hosting Pakistan’s 1st university-hosted Science and Technology Park – national tech pad, bringing together
innovation centres of large multinationals, businesses and industrial hubs, high tech SMEs and startups. NSTP has been built
on a unique PPP model, which has been approved by the government of Pakistan and has been specially designed to host
SEZs. NSTP will contribute directly to Pakistan’s technological and socioeconomic progress, establish academia-industry
linkages and create thousands of high-tech jobs.","미국 국립 과학기술원(NSTP):_x000D_
NUST는 학계와 여러 시민을 연계하여 지식기반 경제를 활성화하기 위해 노력하고 있다._x000D_
공공 단체, 지역 및 국제 회사, 그리고 사회 부문과 같은 사회. 이러한 연결고리는 다음을 위한 플랫폼을 제공한다._x000D_
개방형 혁신을 공유하여 지식의 투명한 흐름을 보장하는 연구자, 스타트업 및 기업. NUST_x000D_
파키스탄 최초의 대학 주최 Science and Technology Park(국가 기술 패드)를 개최하여 자부심을 가지고 있습니다._x000D_
대규모 다국적 기업, 비즈니스 및 산업 허브, 첨단 기술 중소기업 및 스타트업의 혁신 센터. NSTP가 구축되었습니다._x000D_
파키스탄 정부에 의해 승인된 독특한 PPP 모델 그리고 호스트하도록 특별히 디자인되었다._x000D_
SEZ. NSTP는 파키스탄의 기술 및 사회경제적 발전에 직접 기여하고 학계-산업을 설립한다._x000D_
연결되고 수천 개의 첨단 기술 일자리를 창출할 수 있습니다.","NSTP (National Science and Technology Park) : Nust는 학계를 공공 기관, 지역 및 국제 기업 및 사회 부문과 같은 시민 사회의 여러 구성원과 연결함으로써 지식 기반 경제를 늘리기 위해 노력하고 있습니다.이러한 Nexus는 연구원, 신생 기업 및 기업이 개방형 혁신을 공유하고 투명한 지식의 흐름을 보장 할 수있는 플랫폼을 제공합니다.Nust는 파키스탄 최초의 대학 호스팅 과학 및 기술 공원을 주최하는 데 자부심을 느낍니다. 전국 기술 패드는 대규모 다국적 기업, 비즈니스 및 산업 허브, 첨단 기술 중소기업 및 신생 기업의 혁신 센터를 모았습니다.NSTP는 파키스탄 정부의 승인을 받아 SEZ를 호스팅하도록 특별히 설계된 고유 한 PPP 모델을 기반으로합니다.NSTP는 파키스탄의 기술 및 사회 경제적 진보에 직접 기여하고 학계 산업 연계를 구축하며 수천 개의 첨단 기술을 창출 할 것입니다."," 파키스탄 최초의 대학 호스팅 과학 및 기술 공원을 주최하는 데 자부심을 느낍니다. 전국 기술 패드는 대규모 다국적 기업, 비즈니스 및 산업 허브, 첨단 기술 중소기업 및 신생 기업의 혁신 센터를 모았습니다",17,5
421,바레인,Bahrain University,"COLLABORATION WITH UNEP TO SUPPORT YOUTH IN EDUCATION
The United Nations Environment Program (UNEP) and UOB signed an MOU on 20 May 2019 to provide
strategic support to youth in education. Through this agreement, the University joined the International Youth
and Education Alliance. UNEP and UOB will collaborate on areas related to the Global Universities Partnership
on Environment and Sustainability (GUPES) and the implementation of the Global Action Program on Education
for Sustainable Development. This partnership will provide periodic joint seminars and workshops addressing
different environmental issues and training workshops on key regional environmental issues such as renewable
energy, water scarcity, and food security. The two parties will conduct joint academic research projects on major
environmental challenges related to Bahrain and the region.","UNEP와 협력하여 청소년 교육 지원
유엔환경계획(UNEP)과 UOB는 2019년 5월 20일 다음을 제공하기 위한 MOU를 체결했다.
교육에서의 청소년들에 대한 전략적 지원 이 협약을 통해 대학은 국제청년단에 가입했다.
그리고 교육 동맹. UNEP와 UOB는 Global Universities Partnership과 관련된 분야에서 협력할 것입니다.
환경 및 지속가능성(GUPES)과 교육에 관한 글로벌 액션 프로그램 구현
지속 가능한 발전을 위해. 이 파트너십은 정기적인 공동 세미나 및 워크숍을 제공합니다.
다양한 환경 문제 및 재생 가능과 같은 주요 지역 환경 문제에 대한 교육 워크샵
에너지, 물 부족, 식량 안보. 양당은 전공에 대한 공동 학술 연구 프로젝트를 진행할 것이다.
바레인 및 지역과 관련된 환경 문제","UNEP를 지원하기위한 UNEP와의 협력 UNEP (United Nations Environment Program) 및 UOB는 2019 년 5 월 20 일에 교육 청소년을 전략적으로 지원하기 위해 MOU에 서명했습니다.이 계약을 통해 대학은 국제 청소년 및 교육 연합에 합류했습니다.UNEP와 UOB는 환경 및 지속 가능성에 관한 글로벌 대학 파트너십 (GUPES)과 지속 가능한 개발을위한 교육에 관한 글로벌 행동 프로그램의 구현과 관련하여 협력 할 것입니다.이 파트너십은 재생 에너지, 물 부족 및 식량 안보와 같은 주요 지역 환경 문제에 대한 다양한 환경 문제 및 교육 워크샵을 다루는 정기적 인 공동 세미나 및 워크샵을 제공합니다.두 당사자는 바레인과 지역과 관련된 주요 환경 문제에 대한 공동 학계 연구 프로젝트를 수행 할 것입니다."," 파트너십은 재생 에너지, 물 부족 및 식량 안보와 같은 주요 지역 환경 문제에 대한 다양한 환경 문제 및 교육 워크샵을 다루는 정기적 인 공동 세미나 및 워크샵을 제공합니다",17,5
118,영국,Bournemouth University,"This project, funded through the British Government’s Global ChallengesResearch Fund, brought together Bribri and Jakun leaders from Costa Rica andMalaysia for constructive dialogues about sustainable development, usingBribri concepts as a communicative framework.Despite a strong literature on decolonization of academia, few studies have previouslybeen published regarding the practical application of Indigenous methodologies inacademic research. This research contributes to that gap and shared insightful findingsto ensure such collaborations for sustainable development are effective and trulycollaborative. The team highlighting the importance of understanding Indigenousconcepts and values as well as to consider language and unpacking of meaning toexamine cross-cultural nuances, while also decolonising Western academic concepts ofreciprocity and speed.Overall, the project aims to inform other North/South, Indigenous/non-Indigenousresearch collaborations and contribute to the wider process of decolonizingacademic research. ","영국 정부의 글로벌 챌린지 리서치 펀드를 통해 자금을 지원받은 이 프로젝트는 브리브리 개념을 커뮤니케이션 프레임워크로 사용하여 지속 가능한 개발에 대한 건설적인 대화를 위해 코스타리카와 말레이시아의 브르브리와 자쿤 지도자들을 모았습니다.학계의 비식민화에 대한 강력한 문헌에도 불구하고, 학술 연구에 원주민 방법론의 실질적인 적용에 관한 연구는 이전에 거의 출판되지 않았다. 이 연구는 지속 가능한 개발을 위한 이러한 협업이 효과적이고 진정으로 협력할 수 있도록 하기 위해 그러한 격차와 공유된 통찰력 있는 발견에 기여한다. 연구팀은 원주민의 개념과 가치를 이해하는 것의 중요성은 물론, 교차 문화적인 뉘앙스를 조사하기 위해 언어와 의미 포장을 고려하는 동시에 상호성과 속도에 대한 서양의 학문적 개념을 탈식민지화하는 것을 강조했다.전반적으로, 이 프로젝트는 다른 북/남, 토착/비토종 연구 협력에 정보를 제공하고 학술 연구의 비식민화 과정에 기여하는 것을 목표로 한다.","영국 정부의 글로벌 챌린지 리 스러빙 기금을 통해 자금을 지원하는이 프로젝트는 코스타리카와 말레이시아 출신의 브라이 브리와 자쿤 지도자들을 모아서 소통의 프레임 워크로서 브리 있 개념을 사용하여 지속 가능한 개발에 대한 건설적인 대화를 위해 모였습니다. 원주민 방법론의 실질적인 적용과 관련하여 부어 학적 연구. 이 연구는 이러한 격차에 기여하고 공유 된 통찰력있는 발견은 지속 가능한 개발을위한 이러한 협업이 효과적이고 진정으로 실증 될 수 있도록 보장합니다. 팀은 원주민 공모와 가치를 이해하는 것의 중요성을 강조하고, 문화 간 뉘앙스를 검토하는 동시에 언어와 의미의 포장을 고려하고, 서구의 서구 학문 개념을 해독하는 동시에,이 프로젝트는 다른 북미/남쪽의 원주민을 알리는 것을 목표로합니다. 비 원생적 검색 협력과 더 넓은 탈식지 학술 연구에 기여합니다.","영국 정부의 글로벌 챌린지 리 스러빙 기금을 통해 자금을 지원하는이 프로젝트는 코스타리카와 말레이시아 출신의 브라이 브리와 자쿤 지도자들을 모아서 소통의 프레임 워크로서 브리 있 개념을 사용하여 지속 가능한 개발에 대한 건설적인 대화를 위해 모였습니다. 원주민 방법론의 실질적인 적용과 관련하여 부어 학적 연구. 이 연구는 이러한 격차에 기여하고 공유 된 통찰력있는 발견은 지속 가능한 개발을위한 이러한 협업이 효과적이고 진정으로 실증 될 수 있도록 보장합니다. 팀은 원주민 공모와 가치를 이해하는 것의 중요성을 강조하고, 문화 간 뉘앙스를 검토하는 동시에 언어와 의미의 포장을 고려하고, 서구의 서구 학문 개념을 해독하는 동시에,이 프로젝트는 다른 북미/남쪽의 원주민을 알리는 것을 목표로합니다. 비 원생적 검색 협력과 더 넓은 탈식지 학술 연구에 기여합니다.",17,5
275,호주,Victoria University,"Education
VU Academy for Social Change and
Leadership engages VU students
to learn leadership skills and achieve
success, while making a positive
impact on society and the
environment. The program is directed
to social impact projects that expands
students skills in: entrepreneurship,
sustainability, teamwork, innovation,
community building, design,
engineering, business and marketing
and technology.","교육
사회 변화를 위한 VU 아카데미와
리더십이 VU 학생을 참여시킵니다.
리더십 기술을 배우고 성취하다
성공, 긍정적이면서도
사회와 사회에 미치는 영향
환경. 그 프로그램은 연출되었다.
확장되는 사회적 영향 프로젝트에
학생들의 기술: 기업가정신,
지속가능성, 팀워크, 혁신,
지역 사회 건설, 디자인,
엔지니어링, 비즈니스 및 마케팅
그리고 기술입니다.","Education VU Academy for Social Change and Leadership은 VU 학생들이 사회와 환경에 긍정적 인 영향을 미치면서 리더십 기술을 배우고 성공을 달성하도록 참여합니다.이 프로그램은 기업가 정신, 지속 가능성, 팀워크, 혁신, 커뮤니티 구축, 디자인, 엔지니어링, 비즈니스 및 마케팅 및 마케팅 및 마케팅 및 기술의 학생 기술을 확장하는 사회적 영향 프로젝트로 진행됩니다."," 프로그램은 기업가 정신, 지속 가능성, 팀워크, 혁신, 커뮤니티 구축, 디자인, 엔지니어링, 비즈니스 및 마케팅 및 마케팅 및 마케팅 및 기술의 학생 기술을 확장하는 사회적 영향 프로젝트로 진행됩니다.",17,5
51,영국,University of Glasgow,"The University’s Learning and Teaching
Strategy, launched in 2021, committed us
to explicitly position our teaching in relation
to sustainability, civic engagement, global
challenges, and the SDGs, using our leading
research to inform course and programme
development. With over 420 study abroad and
exchange partners, our students also have
myriad opportunities to experience living and
learning in countries all over the world, fostering
links and gaining an appreciation of how global
challenges impact countries differently.","""대학교의 학문과 교육""
2021년에 시작된 전략은 우리를 약속했습니다.
우리의 가르침을 명확히 연관시키다
지속가능성, 시민참여, 글로벌화
NAT의 선도적인 솔루션을 사용하여 당면 과제 및 SDG를
과정과 프로그램을 알리기 위한 연구
발전. 420명이 넘는 유학과
교환 파트너, 우리 학생들 또한 가지고 있다.
산다는 것을 경험할 수 있는 무수한 기회들 그리고
전 세계 국가에서의 학습, 육성
링크 및 글로벌한 방법에 대한 이해 획득
도전은 국가마다 다른 영향을 끼친다.","2021 년에 시작된이 대학의 학습 및 교육 전략은 지속 가능성, 시민 참여, 글로벌 도전 및 SDG와 관련하여 우리의 교육을 통해 코스 및 프로그램 개발에 정보를 제공하기 위해 우리의 가르침을 명시 적으로 위치시킬 것을 약속했습니다.420 개가 넘는 해외 유학 및 교환 파트너를 통해 학생들은 전 세계 국가에서 생활과 학습을 경험할 수있는 수많은 기회를 가지고 있으며, 링크를 촉진하고 글로벌 도전이 국가에 어떻게 영향을 미치는지에 대한 인식을 얻습니다."," 개가 넘는 해외 유학 및 교환 파트너를 통해 학생들은 전 세계 국가에서 생활과 학습을 경험할 수있는 수많은 기회를 가지고 있으며, 링크를 촉진하고 글로벌 도전이 국가에 어떻게 영향을 미치는지에 대한 인식을 얻습니다.",17,5
479,홍콩,The Chinese University of Hong Kong,"A joint statement on the 2030 Agenda for Sustainable Development was signed by the presidents of 56 universities from 30 countries and regions including CUHK in March 2021.  It was the first time that leading universities across six continents jointly made a statement on the SDGs, reaffirming collective commitment of the global higher education community to solidarity, resilience and prosperity.","2021년 3월 CUHK 등 30개국 56개 대학 총장들이 참석한 가운데 '2030 지속가능발전 어젠다' 공동성명이 서명됐다.  6개 대륙에 걸친 선도적인 대학들이 SDGs에 대한 공동성명을 발표한 것은 이번이 처음으로, 연대, 회복력, 번영에 대한 세계 고등교육계의 집단적 의지를 재확인했다.","2030 년 3 월 CUHK를 포함한 30 개국과 지역의 56 개 대학 대통령이 지속 가능한 개발에 대한 2030 년의 안건에 대한 공동 진술서에 서명했습니다. 6 개 대륙의 주요 대학들이 공동으로 SDG에 대해 성명서를 발표 한 것은 이번이 처음이었습니다.연대, 탄력성 및 번영에 대한 글로벌 고등 교육 커뮤니티의 헌신.", 탄력성 및 번영에 대한 글로벌 고등 교육 커뮤니티의 헌신.,17,5
73,캐나다,Concordia University,"PARTNERSHIPS FOR SOCIAL
TRANSFORMATION
The SHIFT Centre for Social Transformation brings together
community and university partners working to respond to
community-identified challenges. The centre focuses particularly
on problems of systemic injustice, inequity and unsustainability.
SHIFT supports existing and emerging social transformation
initiatives that unite the efforts of Concordians and their
partners with the goal of creating a more just, inclusive and
broadly prosperous Montreal.","사회를 위한 파트너십_x000D_
변환_x000D_
SHIFT Center for Social Transformation은 다음과 같이 통합됩니다._x000D_
응답하기 위해 노력하는 지역사회 및 대학 파트너_x000D_
지역사회가 파악한 과제 센터는 특히 초점을 맞춘다._x000D_
체계적 부당성, 불평등, 지속 불가능성의 문제에 관하여_x000D_
SHIFT는 기존 및 신흥 사회 혁신을 지원합니다._x000D_
콩코드인과 그들의 노력을 결집시키는 계획._x000D_
보다 공정하고 포괄적인 환경을 조성하는 것을 목표로 하는 파트너_x000D_
널리 번영한 몬트리올이라고 말했다.","사회적 변화를위한 파트너십 사회 변화를위한 교대 센터는 커뮤니티와 대학 파트너가 커뮤니티 식별 도전에 대응하기 위해 노력합니다.이 센터는 특히 전신 불의, 불평등 및 지속 가능성 문제에 중점을 둡니다.Shift는 더 정당하고 포용적이고 광범위하게 번영하는 몬트리올을 창출하려는 목표와 콩코드와 파트너의 노력을 단합하는 기존의 신흥 사회 혁신 이니셔티브를 지원합니다.",사회적 변화를위한 파트너십 사회 변화를위한 교대 센터는 커뮤니티와 대학 파트너가 커뮤니티 식별 도전에 대응하기 위해 노력합니다,17,5
