,국가,대학교명,내용,요약,요약번역,분류,5분류
0,영국,Leicester,Dr Harjinder Sembhi and Dr Darren Ghent are working with EarthLinks UK (UK) and The Energy and Resources Institute (Delhi) to develop new datasets on vegetation stress that will provide the evidence base for intervention strategies for better agriculture and water management. This will feed into targeted policy briefs and recommendations required to protect critical zones across the IndoGangetic Plain.,Researchers at the University of Bristol are working with scientists in India to better understand the impact of climate change on vegetation., 브리스톨 대학교(University of Bristol)의 연구원들은 기후 변화가 식물에 미치는 영향을 더 잘 이해하기 위해 인도 과학자들과 협력하고 있습니다.,6,2
1,영국,Leicester,"The Sustainable Procurement Guidance provides a menu of sustainability risk mitigations and added value options for including in tenders/contracts, including in relation to demand management and product efficiency, as is relevant and proportionate to the contract in question.",The European Commission (EC) has published a new guidance on sustainable procurement., 유럽연합 집행위원회(EC)는 지속 가능한 조달에 대한 새로운 지침을 발표했습니다.,12,2
2,영국,Leicester,"As part of Go Green Week, the Plan-It Change Student Society ran a successful zero waste store on campus and hope it to become a regular thing.",Students at the University of Aberdeen have been doing their bit for the environment., University of Aberdeen의 학생들은 환경을 위해 최선을 다하고 있습니다.,12,2
3,영국,Leicester,"The Ethical Investment Policy commits the University to investing our endowment funds on a responsible basis, taking into account the concerns of the Social Impact Strategy. In addition, the University has allocated 11% of the endowment funds to impact investments across the themes of resource efficiency, clean energy, financial services, healthcare and education.","The University of Aberdeen is committed to investing its endowment funds on a responsible basis, taking into account the concerns of the Social Impact Strategy.", University of Aberdeen은 사회적 영향 전략의 우려를 고려하여 책임감 있는 기반으로 기부금을 투자하기 위해 최선을 다하고 있습니다.,12,2
4,영국,Leicester,"Prof Hartmut Boesch is using Earth Observation to measure greenhouse gas exchange from space. At the COP-21 in Paris in 2015, the need for a supporting tool to assess international climate commitments on CO2 emissions became evident, and we are now moving towards an operational, space-based system that will provide information on CO2 emissions on a national scale relevant for policy makers and governments.",The European Space Agency (ESA) has teamed up with the Potsdam Institute for Climate Change Research in Germany to develop a space-based system to monitor climate change., 유럽우주국(ESA)은 독일 포츠담 기후변화연구소(Potsdam Institute for Climate Change Research)와 협력하여 기후 변화를 모니터링하는 우주 기반 시스템을 개발했습니다.,13,2
5,영국,Leicester,"We have built the UK’s largest nonresidential project built to the ultraenergy efficient Passivhaus standard. The new £42m George Davies Centre includes a 1.6km-long ground-to-air heat exchanger, inter-slab cooling and a highly insulated and airtight building envelope. The building brings together the schools of medicine, health sciences and psychology under a single roof and achieved a DEC ‘A’ rating in its first recorded year, demonstrating its very low carbon emissions to help the University achieve its ambition to be recognised for ‘environmental and sustainability excellence’.",We have built the UK’s largest nonresidential project built to the ultraenergy efficient Passivhaus standard., 우리는 초 에너지 효율적인 Passivhaus 표준에 따라 지어진 영국 최대의 비주거 프로젝트를 건설했습니다.,13,2
6,영국,Leicester,"The River Monster Project is a city-wide collaboration where plastic waste from the River Soar has been collected and made into a Loch Ness style monster to illustrate the problem of plastic pollution in the city. As well as providing volunteers, academics from the University are researching the impact of plastics on water quality",Volunteers from the University of Aberdeen are helping to clean up a river in the city., University of Aberdeen의 자원 봉사자들이 도시의 강을 청소하는 일을 돕고 있습니다.,14,2
7,영국,Leicester,The Geography student society successfully bid for SEED funding to run an awareness raising campaign using metal water bottles as a reward for staff and students to pledge to behave more sustainably,"Students and staff at St Mary's College, Twickenham, have been given the chance to make a difference to the environment.",Twickenham에 있는 St Mary's College의 학생과 교직원은 환경에 변화를 줄 수 있는 기회를 얻었습니다.,14,2
8,영국,Leicester,"Raising awareness of and reducing the climate impact of land uses on peat soils. Professor Sue Page’s research includes a particular emphasis on the impacts of land-use change and fire on the carbon cycle of tropical peatlands. By developing engagement opportunities with external organisations and businesses, her expertise has been crucial to sciencebased approaches to peatland management that, when implemented, support the mitigation and management of peat carbon and greenhouse gas emissions.",Professor Sue Page’s research focuses on the impacts of land-use change and fire on the carbon cycle of tropical peatlands., Sue Page 교수의 연구는 열대 이탄 지대의 탄소 순환에 대한 토지 이용 변화와 화재의 영향에 초점을 맞추고 있습니다.,15,2
9,영국,Leicester,"With 88 acres of green space hosting a plethora of species, the University’s Biodiversity Action Plan seeks not only to ‘do no harm’ but also instigate projects and strategies that make a positive contribution for all life on our sites.","As one of the UK’s leading universities, the University of Bath has a unique opportunity to make a positive impact on the environment.", 영국 최고의 대학 중 하나인 University of Bath는 환경에 긍정적인 영향을 미칠 수 있는 특별한 기회를 가지고 있습니다.,15,2
10,영국,Leicester,"We carry out a number of tree planting sessions with local schools each year. For example, in November 2018 420 saplings, donated by the Woodland Trust, were planted by children from local schools to improve the biodiversity habitat and helped to engage young people with their environment.",The aim of our tree-planting programme is to improve the health and appearance of our woodland and to increase the number of trees in the area., 나무 심기 프로그램의 목표는 삼림의 건강과 외관을 개선하고 해당 지역의 나무 수를 늘리는 것입니다.,15,2
11,남아프리카 공화국,Pretoria,"Water stewardship. Water use accounts for approximately 15% of the UP annual utility budget.Water use includes:• energy production• laboratories and research• dining services• rest rooms• grounds maintenance (404 ha)Our contribution towards achieving the Sustainable Development Goals | 2020 Progress Report 35Our approach to water management is framed by the UP Water Management Policywith policy implementation guided by the Water Management Plan. Various waterconservation projects and activities increase awareness and commitment to protectthe resource and optimise its use across the University. The design of new buildingsand refurbishment of existing ones include systems, such as high-efficiency plumbingsystems, to reduce usage and wastage. This is supported by preventative andscheduled maintenance, coupled with early leak detection and intervention to preventwater losses. Reducing our large-scale landscape water use is addressed by introducingwater-efficient irrigation systems, the implementation of water-wise gardening andusing recovered water sources. Where possible, reclaimed water is safely used, andrainwater is harvested and stored. Storage tanks and reservoirs are also used to storeborehole water.",The University of the Philippines (UP) has a long-standing commitment to water management.,필리핀 대학교(UP)는 물 관리에 대한 오랜 약속을 가지고 있습니다.,6,2
12,남아프리카 공화국,Pretoria,"Managing wasteOur approach to managing waste is underpinned by a circular economy outlook. Thisincludes managing the threat posed by waste, as well as exploring opportunities tocreate value from waste. Various categories of waste are managed by the University,and waste management spans the spectrum of reducing generation; reuse, recyclingand repurposing; and appropriate disposal.Hazardous waste includes medical and chemical waste, animal carcasses used inresearch, and fluorescent tubes. Some laboratories require certification and permittingfor the release of effluent. Management of hazardous waste is undertaken by certifiedprofessional service providers, with strict adherence to protocols.For other forms of waste, reuse, recycling and repurposing play an important role inour waste management programmes and the entire campus community is engaged inefforts to reduce waste that goes to landfill sites. Waste for recycling includes paper,polystyrene, commingled substances (glass, plastics and cans), books, fluorescenttubes, e-waste, printer cartridges and batteries. Special arrangements with external36 Our contribution towards achieving the Sustainable Development Goals | 2020 Progress Reportpartners are in place for refilling printer cartridges, toner bottles, fluorescent tubes ande-waste.Linking waste management to our land management and biodiversity programmes,the University is certified to produce compost from green non-wet waste and mulchfrom trees and bark. This is used as part of the organic fertiliser protocol used on ourextensive network of sports fields and sports turf areas. In 2019 a parallel food-tocompost programme was initiated, using food waste from on-site restaurants. In 2020however, with COVID-19 restrictions and consequent reductions of people on campus,there were dramatic reductions in food waste generated","The University of Aberdeen's waste management programme aims to reduce, reuse and recycle as much waste as possible."," University of Aberdeen의 폐기물 관리 프로그램은 가능한 한 많은 폐기물을 줄이고, 재사용하고, 재활용하는 것을 목표로 합니다.",6,2
13,남아프리카 공화국,Pretoria,"Managing wasteOur approach to managing waste is underpinned by a circular economy outlook. Thisincludes managing the threat posed by waste, as well as exploring opportunities tocreate value from waste. Various categories of waste are managed by the University,and waste management spans the spectrum of reducing generation; reuse, recyclingand repurposing; and appropriate disposal.Hazardous waste includes medical and chemical waste, animal carcasses used inresearch, and fluorescent tubes. Some laboratories require certification and permittingfor the release of effluent. Management of hazardous waste is undertaken by certifiedprofessional service providers, with strict adherence to protocols.For other forms of waste, reuse, recycling and repurposing play an important role inour waste management programmes and the entire campus community is engaged inefforts to reduce waste that goes to landfill sites. Waste for recycling includes paper,polystyrene, commingled substances (glass, plastics and cans), books, fluorescenttubes, e-waste, printer cartridges and batteries. Special arrangements with external36 Our contribution towards achieving the Sustainable Development Goals | 2020 Progress Reportpartners are in place for refilling printer cartridges, toner bottles, fluorescent tubes ande-waste.Linking waste management to our land management and biodiversity programmes,the University is certified to produce compost from green non-wet waste and mulchfrom trees and bark. This is used as part of the organic fertiliser protocol used on ourextensive network of sports fields and sports turf areas. In 2019 a parallel food-tocompost programme was initiated, using food waste from on-site restaurants. In 2020however, with COVID-21 restrictions and consequent reductions of people on campus,there were dramatic reductions in food waste generated","The University of Aberdeen's waste management programme aims to reduce, reuse and recycle as much waste as possible."," University of Aberdeen의 폐기물 관리 프로그램은 가능한 한 많은 폐기물을 줄이고, 재사용하고, 재활용하는 것을 목표로 합니다.",12,2
