,국가,대학교명,내용,번역,영한_재번역,추출요약,분류,5분류
0,영국,Leicester,"The Leicester Hate Crime Project is Britain’s biggest ever study of hate crime victimisation – uncovering new insights into the nature and forms of these acts and their impact upon victims, families and wider communities.","Leicester Hate Crime Project는 증오 범죄 피해에 대한 영국 최대 규모의 연구로 이러한 행위의 성격과 형태, 그리고 피해자, 가족 및 더 넓은 지역 사회에 미치는 영향에 대한 새로운 통찰력을 제공합니다.","레스터 증오 범죄 프로젝트는 영국 최대의 증오 범죄 피해자 연구입니다. 이러한 행위의 본질과 형태에 대한 새로운 통찰력과 피해자, 가족 및 더 넓은 지역 사회에 미치는 영향을 발견했습니다.","레스터 증오 범죄 프로젝트는 영국 최대의 증오 범죄 피해자 연구입니다. 이러한 행위의 본질과 형태에 대한 새로운 통찰력과 피해자, 가족 및 더 넓은 지역 사회에 미치는 영향을 발견했습니다.",16,4
1,영국,Leicester,"The University is proud to be a principle partner of Leicester Citizens, a large and diverse alliance of active citizens and leaders from local institutions who are committed to working together for common good.",대학은 공동선을 위해 함께 일하기 위해 헌신하는 지역 기관의 지도자와 활동적인 시민의 크고 다양한 연합인 Leicester Citizens의 주요 파트너가 된 것을 자랑스럽게 생각합니다.,"이 대학은 레스터 시민의 주요 파트너 인 것을 자랑스럽게 생각합니다. 레스터 시민의 주요 파트너, 공동선을 위해 함께 일하기 위해 노력하는 현지 기관의 활발한 시민과 지도자들의 크고 다양한 동맹입니다.","이 대학은 레스터 시민의 주요 파트너 인 것을 자랑스럽게 생각합니다. 레스터 시민의 주요 파트너, 공동선을 위해 함께 일하기 위해 노력하는 현지 기관의 활발한 시민과 지도자들의 크고 다양한 동맹입니다.",16,4
2,이탈리아,Bologna University,"The University of Bologna widely supports the goalsand activities of the Magna Charta Observatory ofFundamental Values and Rights (MCO) signed by889 Universities from 88 countries. Since 1988, theMagna Charta Observatory is the global guardian offundamental university values set out in the MagnaCharta Universitatum and assists universities andhigher education systems to operate effectively inaccordance with the values of academic freedomand institutional autonomy as a guideline for goodgovernance and self-understanding of universities inthe future.",볼로냐 대학교는 88개국 889개 대학교가 서명한 기본적 가치와 권리(MCO)의 마그나 차르타 관측소의 목표와 활동을 폭넓게 지원합니다. Magna Charta Observatory는 1988년부터 MagnaCharta Universitatum에서 설정한 기본적 대학 가치의 세계적 수호자로서 미래 대학의 좋은 거버넌스와 자기 이해를 위한 지침으로서 학문적 자유와 제도적 자율성의 가치에 따라 대학 및 고등 교육 시스템이 효과적으로 운영되도록 지원합니다,Bologna 대학교는 88 개국의 889 개 대학에서 서명 한 Magna Charta Observatory Offundamental Values and Rights (MCO)의 목표 및 활동을 널리 지원합니다.1988 년부터 Themagna Charta Observatory는 Magnacharta Universitatum에 세워진 글로벌 가디언 오프 undamental 대학 가치이며 대학과 교육 시스템을 지원하는 교육 시스템을 지원하여 미래에 대학의 훌륭한 지배 구조 및 자기 이해를위한 지침으로서 학문적 자유 및 제도적 자율성의 가치와 효과적으로 부정확하게 운영하도록 지원합니다.., 년부터 Themagna Charta Observatory는 Magnacharta Universitatum에 세워진 글로벌 가디언 오프 undamental 대학 가치이며 대학과 교육 시스템을 지원하는 교육 시스템을 지원하여 미래에 대학의 훌륭한 지배 구조 및 자기 이해를위한 지침으로서 학문적 자유 및 제도적 자율성의 가치와 효과적으로 부정확하게 운영하도록 지원합니다,16,4
3,이탈리아,Bologna University,"During the three-days event on welfare organizedby the Municipality of Bologna, the University ofBologna presented its training, research and thirdmission activities, with a particular focus on theissues of working wellbeing, inclusion, right to study,cooperation for development and sustainability.","볼로냐 시에서 주최한 3일간의 복지 행사에서 볼로냐 대학교는 근로 복지, 포용, 학습권, 개발 및 지속 가능성을 위한 협력 문제에 특히 중점을 둔 교육, 연구 및 제3의 선교 활동을 발표했습니다.","Bologna의 지방 자치 단체에 의해 조직 된 복지에 관한 3 일간의 행사에서, Bologna 대학은 교육, 연구 및 제 3 차 활동을 발표했으며, 일하는 복지, 포함, 연구 권리, 개발 및 지속 가능성의 협력에 중점을 두었습니다.","Bologna의 지방 자치 단체에 의해 조직 된 복지에 관한 3 일간의 행사에서, Bologna 대학은 교육, 연구 및 제 3 차 활동을 발표했으며, 일하는 복지, 포함, 연구 권리, 개발 및 지속 가능성의 협력에 중점을 두었습니다.",16,4
4,이탈리아,Bologna University,"In the website of the Alma Mater all the istitutionaldocumets and regulations, including planning andreporting documents are accessible and available.Also, the Univesrity of Bologna has signed theBerlin Declaration on open access to knowledge inthe Sciences and Humanities.",모교 웹사이트에서 계획 및 보고 문서를 포함한 모든 기관 문서 및 규정에 액세스할 수 있습니다. 또한 볼로냐 대학교는 과학 및 인문학 지식에 대한 공개 액세스에 관한 베를린 선언에 서명했습니다.,"Alma Mater의 웹 사이트에서 계획 및보고 문서 계획을 포함한 모든 istititionaldocumets 및 규정에 액세스 할 수 있으며, Bologna의 단일성은 과학 및 인문학 지식에 대한 공개 액세스에 대한 Theberlin 선언에 서명했습니다.","Alma Mater의 웹 사이트에서 계획 및보고 문서 계획을 포함한 모든 istititionaldocumets 및 규정에 액세스 할 수 있으며, Bologna의 단일성은 과학 및 인문학 지식에 대한 공개 액세스에 대한 Theberlin 선언에 서명했습니다.",16,4
5,이탈리아,Bologna University,"The University of Bologna widely supports the goals and activities ofthe Magna Charta Observatory of Fundamental Values and Rights(MCO) signed by 889 Universities from 88 countries.Since 1988, the Magna Charta Observatory is the global guardianof fundamental university values set out in the Magna ChartaUniversitatum and assists universities and higher education systemsto operate effectively in accordance with the values of academicfreedom and institutional autonomy as a guideline for goodgovernance and self-understanding of universities in the future.",University of Bologna는 88개국의 889개 대학이 서명한 MCO(기본 가치 및 권리에 대한 기본적 권리 관측소)의 목표와 활동을 광범위하게 지원합니다. 1988년부터 Magna Charta 관측소는 Magna ChartaUniversitatum에 명시된 기본 대학 가치의 세계적인 수호자입니다. 그리고 대학과 고등 교육 시스템이 미래 대학의 좋은 거버넌스와 자기 이해를 위한 지침으로서 학문적 자유와 제도적 자율성의 가치에 따라 효과적으로 운영되도록 지원합니다.,볼로냐 대학교는 8888 년부터 889 개 대학이 서명 한 기본 가치와 권리의 MAGNA Charta 전망대의 목표와 활동을 널리 지원합니다. Magna Charta Observatory는 Magna Chartauniversitatum에 명시된 글로벌 Guardianof 기본 대학 가치이며 대학을 지원합니다.고등 교육 시스템은 미래에 대학의 선한 거버넌스와 자기 이해를위한 지침으로서 학계와 제도적 자율성의 가치에 따라 효과적으로 운영됩니다., 교육 시스템은 미래에 대학의 선한 거버넌스와 자기 이해를위한 지침으로서 학계와 제도적 자율성의 가치에 따라 효과적으로 운영됩니다.,16,4
6,이탈리아,Bologna University,"In University of Bologna website all the institutional documents and regulations, including planning and reporting documents are accessible and available. Also, the University of Bologna has signed the Berlin Declaration on open access to knowledge in the Sciences and Humanities.",볼로냐 대학교 웹사이트에서 계획 및 보고 문서를 포함한 모든 기관 문서 및 규정에 액세스하고 사용할 수 있습니다. 또한 볼로냐 대학은 과학 및 인문학 지식에 대한 공개 액세스에 관한 베를린,Bologna University 웹 사이트에서는 문서 계획 및보고를 포함한 모든 기관 문서 및 규정에 액세스 할 수 있고 이용 가능합니다.또한 볼로냐 대학교는 베를린 선언에 과학과 인문학 지식에 대한 공개 접근에 대한 서명에 서명했습니다., 볼로냐 대학교는 베를린 선언에 과학과 인문학 지식에 대한 공개 접근에 대한 서명에 서명했습니다.,16,4
7,캐나다,Waterloo,"PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL
AND BUILD EFFECTIVE, ACCOUNTABLE AND INCLUSIVE INSTITUTIONS AT ALL LEVELS
SDG 16 has goals of reducing violence, organized crime and corruption; ending abuse and exploitation; developing participatory practices
and strong, transparent institutions; and protecting fundamental freedoms. Work on SDG 16 can be seen in the University of Waterloo’s
work on peace promotion and effective global governance while advancing an inclusive governance structure,
robust policies, and ethical conduct guidelines on campus.","""PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND BUILD EFFECTIVE, ACCOUNTABLE AND INCLUSIVE INSTITUTIONS AT ALL LEVELS
SDG 16 has goals of reducing violence, organized crime and corruption; ending abuse and exploitation; developing participatory practices and strong, transparent institutions; and protecting fundamental freedoms. Work on SDG 16 can be seen in the University of Waterloo’s work on peace promotion and effective global governance while advancing an inclusive governance structure, robust policies, and ethical conduct guidelines on campus.""","지속 가능한 발전을위한 평화 롭고 포용적인 사회를 장려하고, 모든 사람을위한 정의에 대한 접근을 제공하고, 모든 수준에서 효과적이고 책임감 있고 포용적인 기관을 건설하는 SDG 16은 폭력, 조직 범죄 및 부패를 줄이는 목표를 가지고 있습니다.남용 및 착취 종료;참여 관행과 강력하고 투명한 기관 개발;근본적인 자유를 보호합니다.SDG 16에 대한 작업은 캠퍼스의 포괄적 인 거버넌스 구조, 강력한 정책 및 윤리적 행동 지침을 발전시키면서 평화 홍보 및 효과적인 글로벌 거버넌스 작업에서 볼 수 있습니다.","16에 대한 작업은 캠퍼스의 포괄적 인 거버넌스 구조, 강력한 정책 및 윤리적 행동 지침을 발전시키면서 평화 홍보 및 효과적인 글로벌 거버넌스 작업에서 볼 수 있습니다.",16,4
8,캐나다,Waterloo,"Grebel Peace Incubator The Grebel Peace Incubator advances expansive
and innovative understandings and practices of peace, locally and globally. They link new ventures to social innovation tools that help unpack complex human problems. Their expertise in thinking and working politically helps new ventures engage governments and transform systems. New ventures in the incubator thrive within a culture of inclusion, collaboration, and community-mindedness.","""Grebel Peace 인큐베이터 Grebel Peace 인큐베이터는 확장적으로 발전합니다.
그리고 지역적으로 그리고 세계적으로 평화의 혁신적인 이해와 실천. 그들은 복잡한 인간 문제를 해결하는 데 도움이 되는 사회 혁신 도구와 새로운 벤처들을 연결한다. 그들의 정치적 사고와 작업에 대한 전문지식은 새로운 벤처기업들이 정부를 참여시키고 시스템을 변화시키는 것을 돕는다. 인큐베이터의 새로운 모험은 포용, 협업 및 커뮤니티 마인드의 문화 안에서 번창합니다.""","Grebel Peace Incubator Grebel Peace Incubator는 지역 및 전 세계 평화의 광대하고 혁신적인 이해와 관행을 발전시킵니다.그들은 새로운 벤처를 복잡한 인간 문제를 포장하는 데 도움이되는 사회 혁신 도구에 연결합니다.정치적으로 사고와 일에 대한 그들의 전문 지식은 새로운 벤처가 정부와 시스템을 변화시키는 데 도움이됩니다.인큐베이터의 새로운 벤처는 포용, 협력 및 지역 사회의 문화 내에서 번성합니다."," 새로운 벤처는 포용, 협력 및 지역 사회의 문화 내에서 번성합니다.",16,4
9,캐나다,Waterloo,"Balsillie School of
International Affairs
The Balsillie School of International Affairs (BSIA) is an institute for advanced research, education, and outreach in the fields of global governance and international public policy. As an affiliate member of the Association of Professional Schools of International Affairs, they are a global network of scholars, practitioners, and students with a mission to develop new solutions to humanity’s critical problems, to improve global governance now and in the future, and to contribute to enhancing the quality of people’s lives around the world.","발실리 학교
국제 문제
발실리 국제문제학교(, BSIA)는 국제 거버넌스 및 국제 공공정책 분야의 고급 연구, 교육, 아웃리치를 위한 기관이다. 국제문제전문학교협회(Association of Professional Schools of International Affairs)의 제휴회원으로 인류의 중대한 문제에 대한 새로운 해결책을 개발하고, 현재와 미래의 글로벌 거버넌스를 개선하며, 주변 사람들의 삶의 질 향상에 기여한다는 사명을 가진 학자와 실무자, 학생들의 글로벌 네트워크이다.그리고 세상""이라고 말했다.","Balsillie School of International Affairs Balsillie School of International Affairs (BSIA)는 글로벌 거버넌스 및 국제 공공 정책 분야의 고급 연구, 교육 및 봉사 활동 연구소입니다.국제 문제 협회 협회의 제휴 회원으로서, 이들은 인류의 중요한 문제에 대한 새로운 해결책을 개발하고, 현재와 미래의 글로벌 거버넌스를 개선하고,전 세계 사람들의 삶의 질을 향상시키는 데 기여합니다."," 문제 협회 협회의 제휴 회원으로서, 이들은 인류의 중요한 문제에 대한 새로운 해결책을 개발하고, 현재와 미래의 글로벌 거버넌스를 개선하고,전 세계 사람들의 삶의 질을 향상시키는 데 기여합니다.",16,4
