,국가,대학교명,번역,분류,번역_전처리,5분류,요약
0,한국,Seoul,"정부에 대한 전문적인 조언
∙ 서울대학교 미래연구위원회는 세계화･인구구조 변화･
첨단기술 발달･경제환경 변화･환경위기･국가통합 등 6
개 분야에 걸쳐 총 37개의 국가 미래 정책 어젠다를
2018년에 발굴하여 ‘미래 연구방향 및 정책 어젠다’ 결
과보고서를 112개 정부 기관과 115개 입법자에게 제출
하였습니다.",16,정부에 대한 전문적인 조언 서울대학교 미래연구위원회는 세계화인구 구조 변화 첨단기술 발달 경제환경 변화 환경 위기국가통합 등 6개 분야에 걸쳐 총 37개의 국가미래정책 어젠다를 2018년에 발굴하여 미래연구방향 및 정책 어젠다 결과보고서를 112개 정부기관과 115개 입법자에게 제출하였습니다.,4,정부에 대한 전문적인 조언 서울대학교 미래연구위원회는 세계화인구 구조 변화 첨단기술 발달 경제환경 변화 환경 위기국가통합 등 6개 분야에 걸쳐 총 37개의 국가미래정책 어젠다를 2018년에 발굴하여 미래연구방향 및 정책 어젠다 결과보고서를 112개 정부기관과 115개 입법자에게 제출하였습니다.
1,한국,Seoul,"정책관계자에게 교육 및 역량 강화 기회 제공
∙ 서울대학교 경영대학원, 공과대학, 국제대학원, 법학전
문대학원, 보건대학원, 자연과학대학, 행정대학원, 환경
대학원은 공공 부문과 민간 부문 최고위 인사들을 대상
으로 매년 정기적인 교육 과정을 운영하고 있습니다.",16,"정책 관계자에게 교육 및 역량 강화 기회 제공 서울대학교 경영대학원, 공과대학, 국제대학원, 법학전문대학원, 보건대학원, 자연과학대학, 행정대학원, 환경대학원은 공공부문과 민간부문 최고위 인사들을 대상으로 매년 정기적인 교육과정을 운영하고 있습니다.",4,"정책 관계자에게 교육 및 역량 강화 기회 제공 서울대학교 경영대학원, 공과대학, 국제대학원, 법학전문대학원, 보건대학원, 자연과학대학, 행정대학원, 환경대학원은 공공부문과 민간부문 최고위 인사들을 대상으로 매년 정기적인 교육과정을 운영하고 있습니다."
2,한국,Ajou,"경인통일교육센터는 11월 우리 학교 연암관 대강당과 온라인으로 ‘경인통일교육 리더 워크숍’을 개최했다. 이 자리에는 김연철 前 통일부장관, 김서용 아주통일연구소장 대행 등 경기 남·북 및 인천지역 통일교육 위원들이 참석하였다. 박형주 총장은 개회사를 통해 “아주대는 통일교육센터를 출범시키며 메타버스, 유튜브, 팟캐스트 등 소셜 미디어 플랫폼 활용 및 다양한 기관과의 협력으로 평화 공감대 확산을 도모했다”며 “워크숍이 지역사회의 교육 현장에 새로운 변화의 물결로 이어지기를 바란다”고 전했다. 이어 김연철 前 통일부장관의 강연과 ▲기성세대와 신세대(MZ세대)가 바라보는 통일인식 ▲통일교육의 패러다임 전환 필요성 ▲통일관련 추천 도서 소개 ▲코로나19 백신 등 대북 인도적 지원 ▲스냅백이 전제된 부분적 대북제재 완화조치 시사 ▲대북 특사 파견 및 남북정상회담 등 6개 주제로 나뉘어 토론이 진행되었다. 워크숍 참여인원은 다음날 통일부 하나원을 방문해 ‘마음잇기’ 전달식을 진행하였다. 마음잇기 사업은 경인 지역의 시민·학생과 북한이탈주민들이 손 편지를 교환하며 정서적 연대감을 형성 하는 행사다. 안성에 위치한 북한이탈주민정착지원사무소인 ‘하나원에서 열린 이번 전달식에는 이주태 하나원 원장, 김서용 아주통일연구소장 대행, 한기호 경인통일교육센터 사무처장 등 관계자들이 참석했다. 2021년은 안성과 화천의 교육생 인원수에 맞춰 편지를 선발하고 전달식을 진행함으로써 우리 사회에 정착하기 위해 교육받는 이들을 응원하는 시간으로 마련되었다. 이외에도 아주대와 하나원은 매년 지역 사회에 뜻깊은 사업을 발굴하고 협력하기로 했다. 한편, 아주대학교는 지난 2020년 통일부가 지정한 경인권역 지역통일교육센터로 선정되어 아주통일 연구소를 기반으로 ▲지역주민 대상 통일 교육 ▲지자체 및 통일관련 단체와의 네트워크 구축 등의 역할을 하고 있다.",16,"경인통일교육센터는 11월 우리학교 연암관 대강당과 온라인으로 경인통일교육 리더워크숍을 개최했다.이 자리에는 김연철 통일부 장관, 김서용 아주통일연구소장 대행 등 경기 남북 및 인천지역 통일교육위원들이 참석하였다.박형주 총장은 개회사를 통해 아주대는 통일교육센터를 출범시키며 메타버스, 유튜브, 팟캐스트 등 소셜미디어 플랫폼 활용 및 다양한 기관과의 협력으로 평화공감대 확산을 도모했다며 워크숍이 지역사회의 교육 현장에 새로운 변화의 물결로 이어 지기를 바란다고 전했다.이어 김연철 통일부 장관의 강연과 기성세대와 신세대 MZ세대가 바라보는 통일인식 통일교육의 패러다임 전환 필요성 통일 관련 추천도서 소개코로나 19백신 등 대북 인도적 지원 스냅백이 전제된 부분적 대북제재 완화 조치 시사대북 특사 파견 및 남북정상회담 등 6개 주제로 나뉘어 토론이 진행되었다.워크숍 참여인원은 다음날 통일부 하나원을 방문해 마음잇기 전달식을 진행하였다. 마음잇기 사업은 경인지역의 시민학생과 북한이탈주민들이 손편 지를 교환하며 정서적 연대감을 형성하는 행사다. 안성에 위치한 북한이탈주민 정착지원사무소인 하나원에서 열린 이번 전달식에는 이주태 하나원 원장, 김서용 아주통일연구소장 대행, 한기호 경인통일교육센터 사무처장 등 관계자들이 참석했다.2021년은 안성과 화천의 교육생 인원수에 맞춰 편지를 선발하고 전달식을 진행함으로써 우리 사회에 정착하기 위해 교육받는 이들을 응원하는 시간으로 마련되었다. 이외에도 아주대와 하나원은 매년 지역사회에 뜻깊은 사업 을 발굴하고 협력하기로 했다. 한편, 아주대학교는 지난 2020년 통일부가 지정한 경인권역 지역통일교육센터로 선정되어 아주 통일연구소를 기반으로 지역주민 대상 통일교육지자체 및 통일 관련 단체와의 네트워크 구축 등의 역할을 하고 있다.",4," 자리에는 김연철 통일부 장관, 김서용 아주통일연구소장 대행 등 경기 남북 및 인천지역 통일교육위원들이 참석하였다"
3,한국,Ajou,"아주대학교 파란학기제는 본교 학생들이 도전 과제를 직접 설계하고 실천하여 학점으로 인정받는 특별한 교육과정이다. 학생이 진정으로 도전해보고 싶은 과제를 체험하면서 인생의 방향, 진로에 대한 깨달음과 자신감을 얻을 수 있는 프로그램이 될 수 있다. 파란학기제는 학생설계 프로그램, 교수제안 프로 그램, 파란학기-EXTREME으로 구분되어 진행 한다. 학생설계 프로그램은 영역의 제약 없이 도전 하고자 하는 분야를 정하여 직접 설계하는 프로그램이고, 교수제안 프로그램은 본교 교수가 설계한 프로 그램으로 학생들의 선택으로 진행된다. 파란학기-EXTREME은 파란학기 도전 주제를 사회문제를 해결 할 수 있는 수준으로 확장한 프로그램으로, UN SDGs(Sustainable Development Goals)와 관련된 주제를 기획하여 실제 사회 환경개선에 이바지하는 자율적인 도전 과제를 수행하게 된다. 코로나19 이후의 환경 문제에 대한 인식 제고를 위한 프로그램 기획 및 진행
(공유냉장고 설치, 필환경 전시회 개최)
Rebirth 쓰레기 선별장 DB구축을 통한 재활용 쓰레기 데이터 분석 및 그에 따른 작업방식 개선 시스
템 효과 분석
지역 사회 내 치료 인프라와 지역 사회 구성원들 간 유기적 상호작용 활성화를
통한 연계 도모. 코로나로 인한 기존 도시재생 사업의 부진에 대한 건축적 해결 아이디어 제안
Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구.
딸래미들 실버 크리에이터 플랫폼(실크폼) 구축과 사회적 가치 창출
하랑 먹거리 복지 사각지대 해소를 위한 공유냉장고 어플 개발
With Me 사회적 취약계층을 보호하기 위한 거주지 이탈 방지 및 실종 범위 예측 서비스
Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구",16,"아주대학교 파란학기제는 본교 학생들이 도전과제를 직접 설계하고 실천하여 학점으로 인정받는 특별한 교육과정이다. 학생이 진정으로 도전해보고 싶은 과제를 체험하면서 인생의 방향, 진로에 대한 깨달음과 자신감을 얻을 수 있는 프로그램이 될 수 있다. 파란 학기제는 학생설계 프로그램, 교수 제안 프로그램, 파란학기 EXTREME으로 구분되어 진행한다. 학생설계 프로그램은 영역의 제약 없이 도전하고자 하는 분야를 정하여 직접 설계하는 프로그램이고, 교수 제안 프로그램은 본교 교수가 설계한 프로그램으로 학생들의 선택으로 진행된다. 파란 학기 EXTREME은 파란 학기도 전주제를 사회문제를 해결할 수 있는 수준으로 확장한 프로그램으로, UNSDGsSustainableDevelopm entGoals와 관련된 주제를 기획하여 실제 사회 환경 개선에 이바지하는 자율적인 도전과제를 수행하게 된다. 코로나 19 이후의 환경문제에 대한 인식 제고를 위한 프로그램 기획 및 진행 공유 냉장고 설치, 필환경 전시회개 최Rebirth 쓰레기 선별장 DB 구축을 통한 재활용 쓰레기 데이터 분석 및 그에 따른 작업방식 개선 시스템 효과 분석 지역사회 내 치료 인프라와 지역사회 구성원들 간 유기적 상호작용 활성화를 통한 연계도모.코로나로 인한 기존 도시재생사업의 부진에 대한 건축적 해결 아이디어 제안 Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구. 딸 래미들 실버크리에이터 플랫폼 실크폼 구축과 사회적 가치 창출 하랑 먹거리 복지 사각지대 해소를 위한 공유냉장고 어플 개발W ith Me사회적 취약계층을 보호하기 위한 거주지 이탈 방지 및 실종 범위 예측 서비스 Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구",4, 인한 기존 도시재생사업의 부진에 대한 건축적 해결 아이디어 제안 Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구. 딸 래미들 실버크리에이터 플랫폼 실크폼 구축과 사회적 가치 창출 하랑 먹거리 복지 사각지대 해소를 위한 공유냉장고 어플 개발W ith Me사회적 취약계층을 보호하기 위한 거주지 이탈 방지 및 실종 범위 예측 서비스 Kudos 드론을 활용한 비행장 활주로 상태 점검 모델 연구
4,한국,Kangwon,청렴문화 확산을 위한 청렴업무 공동실천 협조 약정 체결,16,청렴문화 확산을 위한 청렴업무 공동 실천협조약정 체결,4,청렴문화 확산을 위한 청렴업무 공동 실천협조약정 체결
5,한국,Kangwon,외부 통제수단인 청렴시민감사관 운영을 통한 청렴행정 수범기관으로 도약,16,외부 통제 수단인 청렴시민감사관 운영을 통한 청렴행정수범기관으로 도약,4,외부 통제 수단인 청렴시민감사관 운영을 통한 청렴행정수범기관으로 도약
6,한국,Kangwon,반부패 역량 제고를 효과적으로 지원하기 위한 계획 수립,16,반부패 역량 제고를 효과적으로 지원하기 위한 계획 수립,4,반부패 역량 제고를 효과적으로 지원하기 위한 계획 수립
7,한국,Kangwon,공익신고 처리 및 신고자 보호 등에 관한 운영 지침. 청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화,16,공익신고처리 및 신고자보호 등에 관한 운영지침. 청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화,4,공익신고처리 및 신고자보호 등에 관한 운영지침. 청렴한 근무환경 조성을 위한 공익신고자 보호제도 활성화
8,한국,Kangwon,부패방지와 깨끗한 공직 풍토 조성을 위한 행동기준 규정,16,부패방지와 깨끗한 공직 풍토 조성을 위한 행동기준 규정,4,부패방지와 깨끗한 공직 풍토 조성을 위한 행동기준 규정
9,한국,Kangwon,대학의 운영 및 제도개선 등 주요 사항에 대해 학생대표와 학교대표간 협의,16,대학의 운영 및 제도개선 등 주요 사항에 대해 학생 대표와 학교 대표간 협의,4,대학의 운영 및 제도개선 등 주요 사항에 대해 학생 대표와 학교 대표간 협의
