,국가,대학교명,번역,분류,번역_전처리,5분류,요약
50,한국,Kyungpook,"경북대학교는 스마트 농업 연구를 육성하기 위해 경북대학교 스마트 농업 혁신 센터를 설립했습니다. 센터는 기아 제로라는 지속 가능한 개발 목표를 위해 일하기 위해 비즈니스 거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다. 이노베이션센터, 대구테크노파크 바이오헬스 MOU 체결
기업 간 협력과 협업을 촉진하는 융합센터
스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다
스마트팜 관련 핵심 원천기술 및 지원
산업화를 통한 기술의 상용화,
학술, 관련 및 정부 네트워킹. 센터도 진출
강력한 비즈니스 계약
두 개의 핵심 조직과 함께
인공지능 연구
연구소와 경상
국립대학교 스마트
농장 연구 센터,
사업을 강화하다
간의 협력
스마트 농업의 다양한 단계.
스마트 R&D 단계부터
확보 단계까지의 농장
원천기술, 이
촉진을 목적으로 하는 협정
기술의 활성화
유통 및 상업화
스마트팜 산업.또 하나의 중요한 합의
센터가 맡았던 사업
국민식품과의 협약
산업을 연결하는 클러스터 지원
식품산업을 발전시킨다. 을 통해
이번 협약으로 두 기관은
인재육성을 위해 함께 노력하겠습니다.
식품 산업의 자원과
클러스터 기술 개발
임차인의 능력을 활용하여
그리고 가능한 한 많은 인프라.",2,"경북대학교는 스마트농업연구를 육성하기 위해 경북대학교 스마트농업혁신센터를 설립했습니다. 센터는 기아제로라는 지속가능한 개발목표를 위해 일하기 위해 비즈니스거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다.이노베이션 센터, 대구테크노파크 바이오헬스 MOU 체결기업 간 협력과 협업을 촉진하는 융합센터 스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다스마트팜 관련 핵심 원천기술 및 지원산업화를 통한 기술의 상용화, 학술, 관련 및 정부 네트워킹. 센터도 진출 강력한 비즈니스 계약 두 개의 핵심 조직과 함께 인공지능 연구연구소와 경상국립대학교 스마트농장연구센터, 사업을 강화하다간의 협력 스마트 농업의 다양한 단계. 스마트 RD 단계부터 확보 단계까지의 농장 원천기술, 이 촉진을 목적으로 하는 협정 기술의 활성화 유통 및 상업화 스마트팜 산업. 또 하나의 중요한 합의센터가 맡았던 사업 국민식품과의 협약산업을 연결하는 클러스터 지원식품 산업을 발전시킨다.을 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.",1, 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.
36,한국,Kyungpook,"경북대학교는 스마트 농업 연구를 육성하기 위해 경북대학교 스마트 농업 혁신 센터를 설립했습니다. 센터는 기아 제로라는 지속 가능한 개발 목표를 위해 일하기 위해 비즈니스 거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다. 이노베이션센터, 대구테크노파크 바이오헬스 MOU 체결
기업 간 협력과 협업을 촉진하는 융합센터
스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다
스마트팜 관련 핵심 원천기술 및 지원
산업화를 통한 기술의 상용화,
학술, 관련 및 정부 네트워킹. 센터도 진출
강력한 비즈니스 계약
두 개의 핵심 조직과 함께
인공지능 연구
연구소와 경상
국립대학교 스마트
농장 연구 센터,
사업을 강화하다
간의 협력
스마트 농업의 다양한 단계.
스마트 R&D 단계부터
확보 단계까지의 농장
원천기술, 이
촉진을 목적으로 하는 협정
기술의 활성화
유통 및 상업화
스마트팜 산업.또 하나의 중요한 합의
센터가 맡았던 사업
국민식품과의 협약
산업을 연결하는 클러스터 지원
식품산업을 발전시킨다. 을 통해
이번 협약으로 두 기관은
인재육성을 위해 함께 노력하겠습니다.
식품 산업의 자원과
클러스터 기술 개발
임차인의 능력을 활용하여
그리고 가능한 한 많은 인프라.",2,"경북대학교는 스마트농업연구를 육성하기 위해 경북대학교 스마트농업혁신센터를 설립했습니다. 센터는 기아제로라는 지속가능한 개발목표를 위해 일하기 위해 비즈니스거래 및 계약을 통해 중요한 연결과 협력을 만들어 왔습니다.이노베이션 센터, 대구테크노파크 바이오헬스 MOU 체결기업 간 협력과 협업을 촉진하는 융합센터 스마트팜 관련 산업. 협력자는 약속을 적용할 것입니다스마트팜 관련 핵심 원천기술 및 지원산업화를 통한 기술의 상용화, 학술, 관련 및 정부 네트워킹. 센터도 진출 강력한 비즈니스 계약 두 개의 핵심 조직과 함께 인공지능 연구연구소와 경상국립대학교 스마트농장연구센터, 사업을 강화하다간의 협력 스마트 농업의 다양한 단계. 스마트 RD 단계부터 확보 단계까지의 농장 원천기술, 이 촉진을 목적으로 하는 협정 기술의 활성화 유통 및 상업화 스마트팜 산업. 또 하나의 중요한 합의센터가 맡았던 사업 국민식품과의 협약산업을 연결하는 클러스터 지원식품 산업을 발전시킨다.을 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.",1, 통해 이번 협약으로 두 기관은 인재육 성을 위해 함께 노력하겠습니다. 식품산업의 자원과 클러스터 기술 개발 임차인의 능력을 활용하여 그리고 가능한 한 많은 인프라.
27,한국,Ajou,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원 봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 '지성 감성 쑥쑥! 언택트 학습 정서 멘토링 프로그램'을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다",4,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 지성감성 쑥쑥 언택트 학습 정서 멘토링 프로그램을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다",1,"아주대학교 사회봉사센터는 수원시 영통구청과 함께 저소득층 언택트 멘토링 자원봉사를 진행하며, 자원봉사를 희망하는 학생들을 모집하고 경제적 어려움으로 교육기회가 부족한 저소득층 자녀에게 지성감성 쑥쑥 언택트 학습 정서 멘토링 프로그램을 진행하였다. 이번 봉사활동은 영통구 거주 저소득층 초, 중, 고등학생 27명을 대상으로 국어, 영어, 수학 등 학생 1인당 1과목 학습지도로 진행되었으며, 학습에 필요한 교재와 자원봉사 시간 실적이 제공되었다"
55,한국,Kyungpook,"경북대학교 도서관이 '대구/경북 거점도서관 비전선포식'으로 거듭났다. 기념식은 대학 교육 및 연구 지원의 핵심 기관이 되겠다는 경북대학교 도서관의 의지를 보여주었다. 현재 도서관은 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다. 장서 330만 권, 이용자 수 150만 명으로 전국에서 세 번째로 큰 대학입니다.",4,"경북대학교 도서관이 대구경북 거점도서관 비전 선포식으로 거듭났다. 기념식은 대학교육 및 연구지원의 핵심기관이 되겠다는 경북대학교 도서관의 의지를 보여주었다.현재도서관은 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다.장서 330만권, 이용자 수 150만명으로 전국에서 세 번째로 큰 대학입니다.",1, 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다
41,한국,Kyungpook,"경북대학교 도서관이 '대구/경북 거점도서관 비전선포식'으로 거듭났다. 기념식은 대학 교육 및 연구 지원의 핵심 기관이 되겠다는 경북대학교 도서관의 의지를 보여주었다. 현재 도서관은 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다. 장서 330만 권, 이용자 수 150만 명으로 전국에서 세 번째로 큰 대학입니다.",4,"경북대학교 도서관이 대구경북 거점도서관 비전 선포식으로 거듭났다. 기념식은 대학교육 및 연구지원의 핵심기관이 되겠다는 경북대학교 도서관의 의지를 보여주었다.현재도서관은 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다.장서 330만권, 이용자 수 150만명으로 전국에서 세 번째로 큰 대학입니다.",1, 지식기반사회에서 교육문화시설이자 커뮤니티 지식정보센터의 역할도 겸하고 있다. 경북대학교 도서관은 1982년에 건립되어 2000년과 2017년에 증축되었습니다
32,한국,Kyungpook,경북대학교병원은 5년 동안 독립국가연합(CIS)에 후원의 손길을 내밀었습니다. 경북대학교병원 해외의료봉사단은 카자흐스탄 산부인과 소아심장외과센터에서 선천성 심장병 환아 8명을 치료했다. 의료봉사단의 마스터클래스는 봉사기간 내내 연수에 참가한 타지키스탄 의사들에게도 큰 영향을 미쳤다.,1,경북대학교병원은 5년 동안 독립국가연합 CIS에 후원의 손길을 내밀었습니다. 경북대학교병원 해외의료봉사단은 카자흐스탄 산부인과 소아심장외과 센터에서 선천성 심장병 환아 8명을 치료했다.의료봉사단의 마스터 클래스는 봉사기간 내내 연수에 참가한 타지키스탄의사들에게도 큰 영향을 미쳤다.,1, 마스터 클래스는 봉사기간 내내 연수에 참가한 타지키스탄의사들에게도 큰 영향을 미쳤다.
46,한국,Kyungpook,경북대학교병원은 5년 동안 독립국가연합(CIS)에 후원의 손길을 내밀었습니다. 경북대학교병원 해외의료봉사단은 카자흐스탄 산부인과 소아심장외과센터에서 선천성 심장병 환아 8명을 치료했다. 의료봉사단의 마스터클래스는 봉사기간 내내 연수에 참가한 타지키스탄 의사들에게도 큰 영향을 미쳤다.,1,경북대학교병원은 5년 동안 독립국가연합 CIS에 후원의 손길을 내밀었습니다. 경북대학교병원 해외의료봉사단은 카자흐스탄 산부인과 소아심장외과 센터에서 선천성 심장병 환아 8명을 치료했다.의료봉사단의 마스터 클래스는 봉사기간 내내 연수에 참가한 타지키스탄의사들에게도 큰 영향을 미쳤다.,1, 마스터 클래스는 봉사기간 내내 연수에 참가한 타지키스탄의사들에게도 큰 영향을 미쳤다.
8,한국,Seoul,"지역사회 교육 프로그램
∙ 중앙도서관과 규장각, 평생교육원을 중심으로 대중에게 개방되는 공개 강의와 지역사회를 위한 교육 행사가 정기적으로 진행되고 있습니다. 
∙ ‘문화가 함께하는 도서관’ 프로그램을 통해 미술전시회, 북콘서트, 음악회, 명사초청 강연, 별빛 영화제 등 복합문화 공간으로서의 도서관 역할을 강화하고 있습니다. 
규장각 금요 시민강좌를 통해 일반시민들이 한국학에
관한 전문 강의를 접할 기회를 제공합니다. 지역사회
고교생 체험 캠프는 휴먼 라이브러리, 고문헌 전시자
료와 도서관 투어, 명사특강 등으로 구성한 프로그램으
로 매년 100명 정도의 고등학생들이 참여하고 있습니
다. 인권센터는 주제를 달리한 인권강좌를 주최해 학
내 외 전문가들에게 심도 있는 강의를 제공합니다.",4,"지역사회교육 프로그램 중앙도서관과 규장각, 평생교육원을 중심으로 대중에게 개방되는 공개강의와 지역사회를 위한 교육행사가 정기적으로 진행되고 있습니다.문화가 함께하는 도서관 프로그램을 통해 미술 전시회, 북콘서트, 음악회, 명사 초청 강연, 별빛영화제 등 복합문화공간으로서의 도서관 역할을 강화하고 있습니다. 규장각 금요시민 강좌를 통해 일반 시민들이 한국학에 관한 전문 강의를 접할 기회를 제공합니다.지역사회 고교생 체험캠프는 휴먼 라이브러리 , 고문헌 전시 자료와 도서관 투어, 명사특강 등으로 구성한 프로그램으로 매년 100명 정도의 고등학생들이 참여하고 있습니다. 인권센터는 주제를 달리한 인권 강좌를 주최해 학내외 전문가들에게 심도 있는 강의를 제공합니다.",1," 함께하는 도서관 프로그램을 통해 미술 전시회, 북콘서트, 음악회, 명사 초청 강연, 별빛영화제 등 복합문화공간으로서의 도서관 역할을 강화하고 있습니다. 규장각 금요시민 강좌를 통해 일반 시민들이 한국학에 관한 전문 강의를 접할 기회를 제공합니다"
5,한국,Seoul,"개발도상국 의료 지원 ∙서울대학교 의과대학은 ‘이종욱-서울 프로젝트’를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여있는 개발도상국에 의료 지원을 하고 있습니다. ∙서울대학교 치과대학은 ‘미얀마 치과대학 역량강화와 우수인재 양성을 통한 구강 보건 향상’ 사업을 진행했습니다.",3,"개발도상국 의료지원 서울대학교 의과대학은 이종욱 서울 프로젝트를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여 있는 개발도상국에 의료지원을 하고 있습니다. 서울대학교 치과대학은 미얀마 치과대학 역량 강화와 우수 인재 양성을 통한 구강보건 향상 사업을 진행했습니다.",1,"개발도상국 의료지원 서울대학교 의과대학은 이종욱 서울 프로젝트를 통해 라오스에 보건의료 개혁을 지원하는 등, 열악한 의료기술과 환경에 놓여 있는 개발도상국에 의료지원을 하고 있습니다. 서울대학교 치과대학은 미얀마 치과대학 역량 강화와 우수 인재 양성을 통한 구강보건 향상 사업을 진행했습니다."
3,한국,Seoul,"지역사회 건강과 복지 향상에 기여
∙ 지역사회 공공 보건활동, 의과대학의 지역사회학 실습,
지역사회 건강조사 사업, 정신건강 지원 사업, 지역 보
건기관 운영 및 자문 참여, 자원봉사 프로그램 등을
진행하여 지역사회의 건강과 복지 향상에 기여하고 있
습니다. ∙ 장애아동 체육교실 ‘SNU FUN & KICK’, 유아와 아동
을 위한 ‘운동발달교실’, 주민들을 위한 ‘5060 골든웰
빙 운동 프로그램’ 등 지역사회 주민들을 대상으로 한
스포츠 프로그램을 개설하고 스포츠 시설을 개방합니다.",3,"지역사회 건강과 복지 향상에 기여 지역사회 공공보건활동, 의과대학의 지역사회학 실습, 지역사회 건강조사사업, 정신건강지원사업, 지역보건기관운영 및 자문참여, 자원봉사 프로그램 등을 진행하여 지역사회의 건강과 복지 향상에 기여하고 있습니다. 장애아동체육교실 SNUFUNKICK, 유아와 아동을 위한 운동발달 교실, 주민들을 위한 5060골든 웰빙운동 프로그램 등 지역사회 주민들을 대상으로 한 스포츠 프로그램을 개설하고 스포츠시설을 개방합니 다.",1,"지역사회 건강과 복지 향상에 기여 지역사회 공공보건활동, 의과대학의 지역사회학 실습, 지역사회 건강조사사업, 정신건강지원사업, 지역보건기관운영 및 자문참여, 자원봉사 프로그램 등을 진행하여 지역사회의 건강과 복지 향상에 기여하고 있습니다. 장애아동체육교실 SNUFUNKICK, 유아와 아동을 위한 운동발달 교실, 주민들을 위한 5060골든 웰빙운동 프로그램 등 지역사회 주민들을 대상으로 한 스포츠 프로그램을 개설하고 스포츠시설을 개방합니 다."
