,국가,대학교명,번역,분류,번역_전처리,5분류,요약
7,한국,Kangwon,한국 학생과 외국인 유학생 간의 포스트 코로나시대의 변화대응 관련 의견 교류,17,한국 학생과 외국인 유학생 간의 포스트코로나 시대의 변화 대응 관련 의견 교류,5,한국 학생과 외국인 유학생 간의 포스트코로나 시대의 변화 대응 관련 의견 교류
13,한국,Kangwon,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",17,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",5,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공"
14,한국,Kangwon,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공",17,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공",5,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공"
5,한국,Ajou,"아주대학교 아주지속가능발전센터는 (사)한국로하스 협회, 행정안전부와 함께 올바른 분리배출 홍보를 진행했다. 코로나19 확산에 따라 플라스틱 폐기물의 소각, 매립 등의 한계성이 드러나면서 재활용의 필요 성이 더욱 두각을 드러내었다. 이에 국민의 폐기물 분리 배출 인식 제고가 절실함을 근거로, 아주지속가능발전 센터는 교내 구성원에게 행정안전부와 사단법인 한국 로하스협회의 분리배출 기본 규칙을 소개하고 2021년 12월부터 시행하는 투명 페트병 분리배출 제도의 시행 목적 및 분리배출 방법을 홍보하였다.",17,"아주대학교 아주 지속가능발전센터는 사한국로하스협회, 행정안전부와 함께 올바른 분리배출 홍보를 진행했다. 코로나 19 확산에 따라 플라스틱 폐기물의 소각, 매립 등의 한계성이 드러나면서 재활용의 필요성이 더욱 두각을 드러내었다.이에 국민의 폐기물 분리 배출 인식 제고가 절실함을 근거로, 아주 지속가능발전센터는 교내 구성원에게 행정안전부와 사단법인 한국로하스협회의 분리배출 기본 규칙을 소개하고 2021년 12월부터 시행하는 투명 페트병 분리배출 제도의 시행 목적 및 분리배출 방법을 홍보하였다.",5," 국민의 폐기물 분리 배출 인식 제고가 절실함을 근거로, 아주 지속가능발전센터는 교내 구성원에게 행정안전부와 사단법인 한국로하스협회의 분리배출 기본 규칙을 소개하고 2021년 12월부터 시행하는 투명 페트병 분리배출 제도의 시행 목적 및 분리배출 방법을 홍보하였다."
12,한국,Kangwon,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취,17,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취,5,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취
8,한국,Kangwon,인종‧문화‧종교 등 지구촌 문제 해결을 위한 인재 양성,17,인종문화종교 등 지구촌 문제 해결을 위한 인재양성,5,인종문화종교 등 지구촌 문제 해결을 위한 인재양성
11,한국,Kangwon,"지역주민 대상 숲 해설, 학술림 탐방, 목공체험 제공",17,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공",5,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공"
19,한국,Kyungpook,"교육부 지역혁신사업 공동추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다. 지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 '지역혁신 플랫폼' 구축을 지원하기 위해 교육부가 추진하는 사업이다. 686억원이 투입되는 대규모 국책사업이다. - 홍원화, 경북대학교 총장. PARTNERSHIPS FOR THE GALLS 지역정착유도를 위한 지역사업을 통해 핵심분야별 혁신인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",17,"교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다.지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 지역혁신 플랫폼 구축을 지원하기 위해 교육부가 추진하는 사업이다.686억원이 투입되는 대규모 국책사업이다. 홍원화, 경북대학교 총장.PARTNERSHIPSFORTHEGALLS 지역 정착 유도를 위한 지역사업을 통해 핵심 분야별 혁신 인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",5,교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다
17,한국,Kyungpook,"교육부 지역혁신사업 공동추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다. 지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 '지역혁신 플랫폼' 구축을 지원하기 위해 교육부가 추진하는 사업이다. 686억원이 투입되는 대규모 국책사업이다. - 홍원화, 경북대학교 총장. PARTNERSHIPS FOR THE GALLS 지역정착유도를 위한 지역사업을 통해 핵심분야별 혁신인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",17,"교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다.지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 지역혁신 플랫폼 구축을 지원하기 위해 교육부가 추진하는 사업이다.686억원이 투입되는 대규모 국책사업이다. 홍원화, 경북대학교 총장.PARTNERSHIPSFORTHEGALLS 지역 정착 유도를 위한 지역사업을 통해 핵심 분야별 혁신 인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",5,교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다
16,한국,Kangwon,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영",17,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영",5,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영"
