,국가,대학교명,번역,분류,번역_전처리,5분류,요약
4,한국,Kangwon,한국 학생과 외국인 유학생 간의 포스트 코로나시대의 변화대응 관련 의견 교류,17,한국 학생과 외국인 유학생 간의 포스트코로나 시대의 변화 대응 관련 의견 교류,5,한국 학생과 외국인 유학생 간의 포스트코로나 시대의 변화 대응 관련 의견 교류
10,한국,Kangwon,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",17,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공",5,"학내 구성원 및 지역주민 대상 미술, 음악, 스포츠 등 다양한 분야의 교육과정 제공"
11,한국,Kangwon,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공",17,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공",5,"학내 구성원 및 지역주민 대상 영어, 프랑스어, 중국어 등의 외국어 강좌 제공"
9,한국,Kangwon,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취,17,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취,5,특강을 통해 지역주민에게 기후변화의 위험에 대한 경각심 고취
5,한국,Kangwon,인종‧문화‧종교 등 지구촌 문제 해결을 위한 인재 양성,17,인종문화종교 등 지구촌 문제 해결을 위한 인재양성,5,인종문화종교 등 지구촌 문제 해결을 위한 인재양성
8,한국,Kangwon,"지역주민 대상 숲 해설, 학술림 탐방, 목공체험 제공",17,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공",5,"지역주민 대상 숲해설, 학술림 탐방, 목공체험 제공"
16,한국,Kyungpook,"교육부 지역혁신사업 공동추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다. 지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 '지역혁신 플랫폼' 구축을 지원하기 위해 교육부가 추진하는 사업이다. 686억원이 투입되는 대규모 국책사업이다. - 홍원화, 경북대학교 총장. PARTNERSHIPS FOR THE GALLS 지역정착유도를 위한 지역사업을 통해 핵심분야별 혁신인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",17,"교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다.지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 지역혁신 플랫폼 구축을 지원하기 위해 교육부가 추진하는 사업이다.686억원이 투입되는 대규모 국책사업이다. 홍원화, 경북대학교 총장.PARTNERSHIPSFORTHEGALLS 지역 정착 유도를 위한 지역사업을 통해 핵심 분야별 혁신 인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",5,교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다
14,한국,Kyungpook,"교육부 지역혁신사업 공동추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다. 지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 '지역혁신 플랫폼' 구축을 지원하기 위해 교육부가 추진하는 사업이다. 686억원이 투입되는 대규모 국책사업이다. - 홍원화, 경북대학교 총장. PARTNERSHIPS FOR THE GALLS 지역정착유도를 위한 지역사업을 통해 핵심분야별 혁신인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",17,"교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다.지역혁신사업은 대학, 지방자치단체 등 다양한 지역기관이 혁신계획 추진을 위한 지역혁신 플랫폼 구축을 지원하기 위해 교육부가 추진하는 사업이다.686억원이 투입되는 대규모 국책사업이다. 홍원화, 경북대학교 총장.PARTNERSHIPSFORTHEGALLS 지역 정착 유도를 위한 지역사업을 통해 핵심 분야별 혁신 인재를 양성하고, 지자체와 대학의 협력과 상생을 통해 지역경제 및 산업경쟁력을 강화하겠습니다.",5,교육부 지역혁신사업 공동 추진을 위한 지역협력위원회 구성을 기념하는 협약식을 개최했다
13,한국,Kangwon,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영",17,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영",5,"사회복지시설, 시민단체, 의료기관 등과 연계하여 사회봉사 과목 운영"
7,한국,Kangwon,강원 ODA 동향 홍보 및 도 내 국제개발협력 리서치 활동 진행,17,강원ODA 동향 홍보 및 도내 국제개발협력리서치 활동 진행,5,강원ODA 동향 홍보 및 도내 국제개발협력리서치 활동 진행
