,국가,대학교명,번역,분류,번역_전처리,5분류,요약
17,한국,Seoul,"저렴한 주거시설과 친환경 신축 건물
∙ 교직원주택, 교수아파트, 학생생활관을 저렴한 비용으로
제공하고 있습니다. 관악학생생활관은 기존 무작위 추
첨 대신 2019년부터 소득이 낮고 거리가 멀수록, 그리
고 성적이 높을수록 우선선발 대상이 되도록 공정한
기준을 수립하였습니다.",11,"저렴한 주거시설과 친환경 신축 건물 교직원 주택, 교수 아파트, 학생생활관을 저렴한 비용으로 제공하고 있습니다. 관악학생 생활관은 기존 무작위 추첨 대신 2019년부터 소득이 낮고 거리가 멀수록, 그리고 성적이 높을수록 우선 선발 대상이 되도록 공정한 기준을 수립하였습니다.",3,"저렴한 주거시설과 친환경 신축 건물 교직원 주택, 교수 아파트, 학생생활관을 저렴한 비용으로 제공하고 있습니다. 관악학생 생활관은 기존 무작위 추첨 대신 2019년부터 소득이 낮고 거리가 멀수록, 그리고 성적이 높을수록 우선 선발 대상이 되도록 공정한 기준을 수립하였습니다."
40,한국,Kangwon,강원 미래 과학 포럼 개최. 미래에너지에 대한 논의 진행,7,강원미래과학포럼 개최. 미래 에너지에 대한 논의 진행,3,강원미래과학포럼 개최. 미래 에너지에 대한 논의 진행
57,한국,Kangwon,조교의 권익 보호를 위한 협의회 운영,8,조교의 권익보호를 위한 협의회 운영,3,조교의 권익보호를 위한 협의회 운영
47,한국,Kangwon,공정한 직무수행을 저해하는 지시 등에 대한 교직원의 권익 보호,8,공정한 직무수행을 저해하는 지시 등에 대한 교직원의 권익보호,3,공정한 직무수행을 저해하는 지시 등에 대한 교직원의 권익보호
81,한국,Kangwon,도서 대출기간을 확대하여 자료 이용 도움 제공,10,도서대출 기간을 확대하여 자료 이용 도움 제공,3,도서대출 기간을 확대하여 자료 이용 도움 제공
35,한국,Kangwon,대학 구성원과의 공유를 통한 연구 분위기 조성 및 향후 미래 대비 집중 육성 연구 과제 도출,7,대학 구성원과의 공유를 통한 연구 분위기 조성 및 향후 미래 대비 집중 육성연구과제 도출,3,대학 구성원과의 공유를 통한 연구 분위기 조성 및 향후 미래 대비 집중 육성연구과제 도출
50,한국,Kangwon,"근로자의 근무조건, 인사관리 등에 대한 고충을 해결하기 위한 위원회 운영",8,"근로자의 근무조건, 인사관리 등에 대한 고충을 해결하기 위한 위원회 운영",3,"근로자의 근무조건, 인사관리 등에 대한 고충을 해결하기 위한 위원회 운영"
33,한국,Kangwon,친환경 대체에너지원인 목재 펠렛의 연소효과 극대화,7,친환경 대체에너지원인 목재펠렛의 연소 효과 극대화,3,친환경 대체에너지원인 목재펠렛의 연소 효과 극대화
27,한국,Ajou,"아주대학교가 단독 기술지주회사인 ‘아주대학교 기술지주 주식회사’를 설립하여 대학 내 유망 기술 사업화에 더욱 적극적으로 나선다. 아주대학교 단독 기술지주회사는 교육부 인가를 받아 2021년 7월 설립 등기와 사업자 등록을 완료했다. 교육부의 ‘산업교육진흥 및 산학협력촉진에 관한 법률’에 근거한 대학 기술기반 회사로, 아주대는 76번째 기술지주회사로 이름을 올렸다. 우리 대학 단독 기술지주회사의 대표이사는 권용진 산학협력단장이며, 박장호 산학사업부단장과 김철호 아주대학교의료원 첨단의학연구원장이 이사를, 심규철 기획처장이 감사를 맡는다. 단독 기술지주회사 설립을 통해 본교는 그동안 추진해온 대학 내 연구진의 ▲우수 기술 발굴 ▲기술기반 자회사 설립 지원 ▲유망 벤처기업 투자 등에 더욱 적극적인 활동을 추진한다. 이를 통해 기술사업화 수익을 창출하고, 해당 수익을 연구·개발(R&D)에 재투자하는 기술사업화 선순환 구조를 구축하겠다는 목표다. 특히 대학 내의 우수한 연구·개발 성과가 연구실에만 머무르지 않고, 신속한 사업화를 통해 우리 사회와 기업들의 기술 혁신을 선도할 수 있도록 지원할 계획이다. 대학 기술사업화란 대학 내 연구진의 연구 활동을 통해 얻은 성과를 기술이전, 기술기반 창업 등을 통해 사업화하는 것을 말한다. 대학에서 개발한 기술을 기업이나 기관에 이전하거나, 기술지주회사가 직접 혹은 자회사를 통해 해당 기술을 사업화할 수 있다. 성공적 기술사업화를 통해 대학에서는 연구 성과의 활용을 극대화하고, 이를 통해 기업과 국가 경쟁력의 증대와 고용 창출에도 기여할 수 있다. 대학의 수익 원을 다각화할 수도 있다. 아주대학교는 기술사업화 전담 조직과 전문 인력, 연합 기술지주회사와 단독 기술지주회사를 통해 연구 기획에서 지식재산 창출, 기술이전 및 창업에 이르기까지 특허 기반 우수 기술의 기술사업화 전 과정을 체계적으로 지원하고 있다. 이러한 노력의 결과로 우리 대학은 최근 5년간 기술 사업화 실적에서 가파른 상승세를 보이며 지난해 연간 기술이전 수익 33억 5,000만 원을 기록, 전국 대학 7위에 해당하는 성적을 냈다.",9,"아주대학교가 단독 기술지주회사인 아주대학교 기술지주 주식회사를 설립하여 대학 내 유망기술사업화에 더욱 적극적으로 나선다.아주대학교 단독 기술지주회사는 교육부인가를 받아 2021년 7월 설립등기와 사업자등록을 완료했다.교육부의 산업교육진흥 및 산학협력 촉진에 관한 법률에 근거한 대학기술 기반 회사로, 아주대는 76번째 기술지주회사로 이름을 올렸다. 우리 대학 단독 기술지주회사의 대표이사는 권용진 산학협력단장이며, 박장호 산학사업부 단장 과 김철호 아주대학교 의료원 첨단의학연구원장이 이사를, 심규철 기획처장이 감사를 맡는다. 단독 기술지주회사 설립을 통해 본교는 그동안 추진해온 대학 내 연구진의 우수기술 발굴 기술 기반 자회사 설립 지원 유망 벤처기업 투자 등에 더욱 적극적인 활동을 추진한다.이를 통해 기술사업화 수익을 창출하고, 해당 수익을 연구개발 RD에 재투자하는 기술사업화 선순환 구조를 구축하겠다는 목표다.특히 대학 내의 우수한 연구개발 성과가 연구실에만 머무르지 않고, 신속한사 업화를 통해 우리 사회와 기업들의 기술혁신을 선도할 수 있도록 지원할 계획이다. 대학 기술사업화란 대학 내 연구진의 연구활동을 통해 얻은 성과를 기술이전, 기술기반 창업 등을 통해 사업화하는 것을 말한다. 대학에서 개발한 기술을 기업이나 기관에 이전하거나, 기술지주회사가 직접 혹은 자회사를 통해 해당 기술을 사업화할 수 있다. 성공적 기술사업화를 통해 대학에서는 연구성과의 활용을 극대화하고, 이를 통해 기업과 국가경쟁력의 증대와 고용창출에도 기여할 수 있다 .대학의 수익원을 다각화할 수도 있다.아주대학교는 기술사업화 전담조직과 전문인력, 연합기술지주회사와 단독기술지주회사를 통해 연구기획에서 지식재산 창출, 기술이전 및 창업에 이르기까지 특허기반 우수기술의 기술사업화 전 과정을 체계적으로 지원하고 있다. 이러한 노력의 결과로 우리 대학은 최근 5년간 기술사업화 실적에서 가파른 상승세를 보이며 지난해 연간 기술이전 수익 33억5,000만원을 기록, 전국 대학 7위에 해당하는 성적을 냈다.",3," 대학 내의 우수한 연구개발 성과가 연구실에만 머무르지 않고, 신속한사 업화를 통해 우리 사회와 기업들의 기술혁신을 선도할 수 있도록 지원할 계획이다. 대학 기술사업화란 대학 내 연구진의 연구활동을 통해 얻은 성과를 기술이전, 기술기반 창업 등을 통해 사업화하는 것을 말한다. 대학에서 개발한 기술을 기업이나 기관에 이전하거나, 기술지주회사가 직접 혹은 자회사를 통해 해당 기술을 사업화할 수 있다. 성공적 기술사업화를 통해 대학에서는 연구성과의 활용을 극대화하고, 이를 통해 기업과 국가경쟁력의 증대와 고용창출에도 기여할 수 있다 "
100,한국,Kangwon,캠퍼스 간 물리적인 거리 극복을 위한 화상회의 진행,11,캠퍼스 간 물리적인 거리 극복을 위한 화상회의 진행,3,캠퍼스 간 물리적인 거리 극복을 위한 화상회의 진행
138,한국,Kyungpook,"경북대학교는 캠퍼스 내 체험캠프를 이틀간 개최하여 전국 고등학생들이 대학생활의 한 장면을 직접 체험할 수 있도록 했습니다. 캠프는 학생들에게 체험 활동을 통해 경북대학교의 우수한 교육 환경과 특화 커리큘럼을 소개했습니다. 경북대학교 도서관과 국내 유일의 미술도서관인 미술도서관의 협약으로 '도서관도서' 전시를 개최했습니다. 미술도서관에서 편찬한 책들로 피에트 몬드리안, 레오나르도 다빈치, 안토니 가우디, 프랭크 게리 등 유명 예술가와 건축가의 40여 권의 책과 제목의 작품을 소장하고 있다. 경북대학교 도서관은 지역사회의 교육과 문화 발전을 주도하는 복합문화공간입니다. 이는 지식기반사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 ​​것입니다.",11,"경북대학교는 캠퍼스 내 체험캠프를 이틀간 개최하여 전국 고등학생들이 대학생활의 한 장면을 직접 체험할 수 있도록 했습니다. 캠프는 학생들에게 체험활동을 통해 경북대학교의 우수한 교육환경과 특화 커리큘럼을 소개했습니다. 경북대학교 도서관과 국내 유일의 미술도서관인 미술도서관의 협약으로 도서관도서 전시를 개최했습니다. 미술도서관에서 편찬한 책들로 피에트몬드리안, 레오나르도 다빈치, 안토니가 우디, 프랭크게리 등 유명 예술가와 건축가의 40여권 의책과 제목의 작품을 소장하고 있다. 경북대학교 도서관은 지역사회의 교육과 문화발전을 주도하는 복합문화공간입니다.이는 지식기반 사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 것입니다.",3, 지식기반 사회에서 교육 및 문화시설로서의 역할을 다하고자 하는 경북대학교 도서관의 의지를 반영한 것입니다.
