,제목,내용
0,박도회 조연이비인후과 병원장·최현정 교수 발전기금 1천만 원 기부,"박도회 조연이비인후과 병원장·최현정 교수 대학발전기금 1천만 원 기부 박도회 조연이비인후과 병원장과 최현정 전남대 교수(의과대학) 부부가 8월 11일 모교인 전남대학교에 발전기금 1천만 원을 기부했다.박도회 원장·최현정 교수 부부는 이날 기부금을 전달하며 “개교 70주년을 맞아 행복했던 우리의 학창시절을 떠올려 보며, 후배들도 즐거운 대학생활을 보내기를 바라는 마음에서 기부하게 됐다”며 “비록 작은 금액이지만 대학 발전에 보탬이 되었으면 한다.”고 말했다.이에 정성택 전남대 총장은 “두 분의 모교사랑에 감사드리며, 우리 대학의 인재로서 앞으로도 지역사회에 의학적 지식의 재능기부를 부탁드린다.”며 “오늘 주신 발전기금은 두 분의 뜻에 따라 소중히 사용하겠다.”고 감사했다. 박도회 원장과 최현정 교수는 전남대 의대 출신의 동문으로, 박도회 원장은 국군대전병원 이비인후과 과장, 화순전남대학교병원 이비인후과 전임의, 성가롤로병원 이비인후과 과장 등을 역임했고, 최현정 교수는 전남대병원 진단검사의학과 전임의, 임상조교수직 등을 거쳐 현재 의과대학 교수로 재직 중이다."
1,우쓰미 아이코 교수 日 패전 후 전범 몰린 조선인 역사 안타까워,"우쓰미 아이코 교수 '日 패전 후 전범 몰린 조선인 역사' 안타까워광주가 문제제기 인정해 줘 큰 영광 전남대학교가 광복절을 앞둔 8월 11일 올해 후광학술상 수상자인 우쓰미 아이코 게이센여학원대학 명예교수를 초청해, 조선인이면서도 일본 전범으로 몰려 사형까지 당해야 했던 우리의 아픈 역사에 대해 듣는 자리를 가졌다.우쓰미 아이코(內海愛子) 명예교수는 일본의 아시아태평양 침략전쟁과정에서 강제 동원돼 희생당한 조선인 피해 실태를 연구하고, 보상운동을 이끈 대표적 지식인으로 알려져 있다. 지난 6월 8일 전남대학교가 주관하는 후광학술상 민주인권평화분야 수상자로 선정됐으나, 당일 시상식에 참석하지 못했다.그는 이날 강연에서 제2차 세계대전 후 인도네시아 독립전쟁의 희생자 가운데 B, C급 조선인 전범 129명이 포함된데 대해 집중 연구한 결과, 이들은 전범이 아니라 일제에 의해 강제 동원된 이중피해자들이었음을 밝혀낸 사실을 다시 한 번 소개했다.특히, 인도네시아 자와지역 수용소를 관리했던 조선인 군속들의 경우, 일본 패전 직후 ‘조선인 민회’를 만들어 서로 결속하고, 한글과 조선역사를 공부할 정도로 완전한 조선사람들이었음에도 미국, 영국, 네덜란드 등은 제국주의적 발상으로 이들을 일본인 전범들과 똑같이 대우하며 재판했다고 지적했다.또 연합국의 재판 결과를 승계 받은 일본은 자국의 전범들은 석방하면서도, 이들 조선인들에 대해서는 일본 국적을 일방적으로 소멸시킨 뒤 전범으로 몰아 형을 집행했으며, 이후 이들에 대한 전범문제를 은폐하고 보상도 하지 않는 등 전후 처리의 이중적인 행태를 보였다고 강조했다.더구나 이 문제에 대해 연합군 정부나, 일본 정부는 물론, 한국 정부조차도 일체 관심을 갖지 않아, 일본에서 자살하거나 한국에 돌아오지 못한 사람들도 있었다고 안타까워했다.한편, 이같은 문제제기는 그의 저서 ‘조선인 B, C급 전범의 기록’(1982)에 의해 이뤄졌으며, 2006년에서야 한국정부에 의해 ‘이들은 전범이 아닌 강제 동원된 피해자’라는 사실을 인정받았다. 우쓰이 교수는 “묻힌 역사를 연구하면서 연합군의 제국주의 역사, 일본 정부의 전쟁 체계, 그리고 한일관계에 대해 새로운 사실들을 알게 됐다.”며 “이 문제를 한국 민주화운동의 산실인 광주가 인정해 준 것(후광학술상 수여)은 너무나 큰 영광”이라고 말했다. ※ 사진설명: (위 사진 ) 오른쪽부터 정성택 총장, 우쓰미 교수, 통역 최정기 5.18연구소장 (아래 사진) 후광 김대중 대통령 방문기념 식수목 앞 기념사진. [오른쪽부터 최정기 5.18연구소 소장(전남대 사회학과 교수), 우쓰미 교수, 정경운 교수(후광학술상 선정위원. 전남대 문화전문대학원)] "
2,개교 70주년 기념 다큐멘터리 ‘우리는 섬으로 간다’ 방영,"전남대 개교 70주년 기념 다큐멘터리 ‘우리는 섬으로 간다’ 방영해양영토 특집, KBS 공동제작 8월 12일 밤 ‘다큐 On’ 통해 전남대학교가 개교 70주년을 기념해 KBS와 공동 제작한 특집 다큐멘터리 ‘우리는 섬으로 간다’가 8월 12일 밤 10시 50분 KBS1 ‘다큐 On’ 프로그램을 통해 방영된다.제3회 섬의 날을 맞아 제작된 이 다큐멘터리는 우리나라 섬과 바다 등 해양영토에 대한 특집으로 ‘활도(活島) 프로젝트’란 부제를 달고 방영된다. 앞서 이 채널에서는 지난 5월 27일 ‘보물섬 무인도’를 방영한 바 있다. 두 작품 모두 전남대와 해양수산부가 공동 협찬했다.이번 다큐멘터리에서는 해양영토 수호의 전진기지이자 어업전진 기지인 섬에 대한 이야기, 일거리를 찾아 타지로 떠났던 청년들이 희망을 찾아 아버지의 바다로 돌아오고, 어렵고 힘들어 피하고 싶었던 전통어업기술이 어업유산으로 자리잡아가는 내용, 그리고 국토의 가장 끝 섬들이 일일 생활권으로 이어지면서 공생의 방법을 찾아 점차 활력을 되찾고 있는 상황 등을 점검하고, 섬을 살리기 위한 프로젝트도 소개될 예정이다.전남대는 이 다큐멘터리가 대한민국의 당당한 영토로서 해양영토 수호의 거점인 섬에 활력을 불어넣고 해양영토의 중요성에 대한 인식을 확산시키는데 기여할 것으로 전망했다.정성택 총장은 “인류는 지금 인간과 자연의 조화, 환경과 생태계 보전, 일과 삶의 균형을 찾아가는 것에 높은 가치를 부여하고 있다.”며 “전남대는 거점국립대학으로서 섬, 갯벌, 무인도서 등에 대한 국책과제 수행과 해양환경에 대한 지속적인 연구, 해양영토 보전을 통해 이같은 인류의 가치를 실현하는데 앞장 서 나가겠다.”고 밝혔다. "
3,이시은 교수(치의학전문대학원) 약학대학 발전기금 2천만 원 기부,"전남대 이시은 교수 약학대학 발전기금 2천만 원 기부전남대학교 이시은 교수(치의학전문대학원)가 지난 7월 28일 약학대학에 발전기금 2천만 원을 기부했다.이시은 교수는 “대학시절 전남대에서 꿈을 키웠고, 지금은 교수로 몸담고 있는 모교에 발전기금을 기부해야겠다는 생각을 오래전부터 해왔다.”며 “더구나 약학대학 40주년을 맞는 시점에 기부하게 돼 기쁘고, 약학대학의 발전에 작게나마 보탬이 됐으면 좋겠다.”고 말했다.전창주 학장은 “출연해주신 기부금은 약학대학의 교육과 연구를 수행하는데 소중하게 활용하겠다.”며 감사의 뜻을 전했다.이시은 교수는 1990년 전남대 약학과를 졸업하고, 현재 전남대 치의학전문대학원 교수로 재직 중이다. 지난 5월에는 다년간의 연구를 통해 확보한 플라젤린 면역증강제 글로벌 원친기술을 활용해 정밀한 면역반응을 유도하는 일체형 백신 플랫폼 기술을 개발하는 등 면역학 분야에서 연구를 활발하게 진행하고 있다."
4,전남대-포스코케미칼 이차전지 소재 인재양성 협력키로,"전남대-포스코케미칼 이차전지 소재 인재양성 협력키로‘e-Battery Track’ 운영 장학금, 연구비 지원도 전남대학교(총장 정성택)가 포스코케미칼(대표 민경준)과 이차전지 소재 전문인재 양성을 위한 협약을 8월 10일 체결했다.이번 협약으로 두 기관은 이차전지 소재 전문인력 양성을 위한 전남대-포스코케미칼 ‘e-Battery Track’ 운영 △장학생 선발 시 학생 등록금, 장학금 및 교수 연구과제비 지원 △장학생 연구과제 수행 및 대학원생 교육프로그램 지원 등 다양한 협력체계를 구축하기로 했다.협약에 따라 선발된 대학원생은 장학금과 함께 포스코케미칼 견학 및 인턴십 프로그램 참여 등을 통해 이차전지 분야 현장 맞춤형 연구를 수행하게 된다. 정성택 총장은 “이차전지와 같은 배터리 산업은 탄소중립과 함께 급속도로 성장하고 있는 분야로 포스코케미칼과의 이번 협력은 매우 중요하다.”며, “광주·전남 또한 배터리 산업을 미래 먹거리로 보고 적극적으로 육성하고 있으므로 우수한 인재를 양성해 지역 발전에 기여할 수 있도록 최선을 다하겠다.”고 말했다."
5,조종태 광주고검장 전남대 총동창회 제1호 명예회원 됐다,"조종태 광주고검장 전남대 총동창회 제1호 명예회원 됐다 조종태 광주고검장이 전남대학교 총동창회 제1호 명예회원이 됐다.전남대 총동창회(회장 조성희)는 8월 8일 오전 11시 전남대 대학본부 1층 세미나실에서 조종태 광주고등검찰청 검사장에게 전남대 총동창회에 명예회원 증서를 수여하고, 동창회원이 된 것을 축하했다.이날 명예회원 증서 전달식에는 정성택 전남대 총장과 김선남 전남매일 대표이사, 조성희 전남대 총동창회장과 최희동 상임부회장, 박승현. 정인채 전 총동창회장 등이 참석했다. 조성희 총동창회장은 “조종태 광주고검장이 전남대 총동창회 제1호 명예회원이 되신 것을 40만 동문과 더불어 축하한다.”며 “신임 조종태 회원도 전남대 동문들을 가족처럼 대해주시고, 앞으로 큰 업적을 남겨 전남대 동문으로서 대학과 총동창회의 발전에 기여해 주시리라 믿는다.”고 말했다.조종태 고검장은 “오랜 공직생활 가운데 호남에서 많은 시간을 보내면서 호남만의 매력, 특히 존중과 배려의 정신에 늘 경의를 느껴왔다.”며 “전남대 명예동창회원으로 받아주신데 대해 진심으로 감사하며, 이 영광을 기리기 위해 더욱 명예롭고 자랑스러운 회원이 되도록 노력하겠다.”고 화답했다.정성택 전남대 총장은 “전남대는 나라가 위기와 혼란에 처할 때마다 분연히 떨쳐 일어나 시대의 울림을 온 몸으로 외쳐 왔다.”며 “비록 출신 대학은 다르지만 조종태 고검장도 30여 년 동안 국가에 봉사하며 안전한 대학민국 공동체를 위해 정의와 인권의 파수꾼 역할을 다해 온 만큼, 전남대 동문으로서의 자격이 충분하다.”며 축하했다.이 자리에 함께 한 김선남 전남매일 대표이사는 “전남대학교 없는 대한민국은 생각할 수 없을 만큼, 전남대는 개교 70주년을 맞은 지금까지 국가가 필요로 하는 수많은 인재를 배출해 왔다.”며 “오늘 그 많은 인재 중에 조종태 고검장이 동창회원으로 합류하게 된 것을 더없이 기쁘게 생각하며, 진심으로 축하한다.”고 말했다.조종태 광주고검장은 경남 함안 출신으로, 제35회 사법시험에 합격한 뒤, 수원지검, 서울 동부지검, 전주지검 정읍지청장, 광주고검 차장검사 등을 거친 뒤 지난해 6월 광주고검장으로 부임했다."
6,"전남대, 영진산업(주) 김영 회장 명예공학박사 학위 수여","전남대, 영진산업(주) 김영 회장 명예공학박사 학위 수여 전남대학교는 7월 29일 오전 10시 30분 공대 4호관 코스코스홀에서 영진산업(주) 김영 회장에게 명예 공학박사 학위를 수여했다.이날 수여식에는 김 회장의 부군인 박승현 회장을 비롯한 가족과 지인, 정병석 전 총장과 안영근 전남대병원장, 박치영 모아건설 회장, 대한적십자사와 여성경제인협회, 전남여고 총동창회 관계자, 진원박씨 대종회 등 많은 하객들과 대학 보직교수, 전남대 총동창회 조성히 회장을 비롯한 전 동창회장과 관계자들이 참석해 성황을 이뤘다.정성택 전남대총장은 “김영 회장은 지난 27년 동안 섬세하면서도 강인한 자세로 품질경영, 상생경영, 신뢰경영을 바탕으로 영진종합건설을 탄탄한 반석 위에 올려놓은 우리 지역의 성공한 기업가이자 대표적인 여성 경영인”이라며 “전남대는 김영 회장의 왕성한 경영활동과 폭넓은 봉사, 두터운 나눔의 경영철학을 계승, 발전시킬 수 있는 가슴 따뜻한 인재를 키워내는데 최선을 다하겠다.”고 말했다.김영 회장은 “모교로부터 명예박사학위를 받게 돼 더없이 기쁘고 영광스럽다.”며 “오랜 세월 동안 고단한 경영과 수많은 삶의 역경을 이겨낼 수 있도록 도와주신 모든 분, 특히 남편에게 오늘의 영광을 돌리고 싶다.”고 말해 박수갈채를 받았다.김영 회장은 1975년 전남대 화학공학과를 졸업한 동문으로, 전남사회복지공동모금회에 1억 원 이상 고액을 기부한 사람들의 모임인 ‘아너소사이어티 부부회원’으로 가입하는 등 나눔의 철학을 실천해 왔다. 전남대 총동창회 부회장, 전남여고 총동창회장 등을 역임했으며, 한국여성경제인협회 전남지회장, 대한적십자사 여성봉사특별자문위원 등을 맡고 있다.모범여성기업인 대통령표창, 광주광역시장 표창, 전라남도지사 표창, 자랑스러운 전남대인 상 등을 수상했다. "
7,이달의 전남대인 치전원 동문 장지현 경희대 교수,"이달의 전남대인 장지현 경희대 교수 장지현 경희대 교수가 ‘이달의 전남대인’으로 선정됐다.전남대 정성택 총장은 7월 29일 대학본부 접견실에서 전남대 치과대학 및 동 대학원 출신의 장지현 경희대 교수(39)를 이달의 전남대인으로 선정하고 표창했다.장지현 교수는 치과보존학 분야의 국제학술지(SCI급)에 40여 편의 논문을 싣는 등 수준 높은 연구력를 인정받아 경희의료원 개원 40주년(2019년) 기념 연구부문 경희의학상을 수상하는 등 모교의 명예를 빛내는데 크게 기여했다.또 지난 2018년 전남대 치과대학에서 연구분야인 치수재생과 관련한 강연을 가진 이래 지금까지 치과보존학교실과 지속적인 학문과 연구 활동의 연대와 협력에 나서고 있다. 장지현 교수는 “모교의 오원만 교수님이 ‘스승을 뛰어넘는 제자가 돼 달라’고 당부하셨으나, 이를 지키는 게 쉽지는 않겠지만, 교수이자 연구자로서 모교와 연구활동을 함께 하고 아이디어는 나눌 수 있는 것만으로도 행복하다.”며 “이달의 전남대인 표창을 계기로 모교에 대한 더 큰 긍지와 자부심으로 성장해 나가겠다.”고 수상 소감을 밝혔다.정성택 총장은 “갈수록 학문후속세대의 양성이 어려워지는 시대 상황 속에서도 장지현 교수는 치열한 경쟁을 뚫고 학술과 연구 활동을 모범적으로 전개하며 모교의 명예를 빛내줘 감사하다.”며 “전남대는 학생 한 명, 한 명이 지닌 잠재력을 끌어내고 극대화하는데 더 힘쓸 것”이라고 말했다.이날 표창패 수여식에는 지도교수였던 오원만 교수와 김원재 치의학전문대학원장, 장 교수의 남편이자 전대 동문인 최근호 원흥본치과의원(경기 고양) 대표원장 등이 함께 했다.장지현 교수는 전남대 치의학과를 졸업하고, 동 대학원에서 치과보존학 석사, 박사 학위를 받은 뒤, 전남대 치과대학병원에서 레지던트 및 전문의 과정을 수료했다. 학부과정 중 전국 치과대학 학생연구대회에서 3위에 입상하고, 수련과정 중에는 보존학회 연구우수상, 인턴 공로상, 모범직원 표창을 받았다. 졸업 후, 연세대 치과병원, 강동경희대병원을 거쳐 현재 경희대 치과대학 교수로 재직하며 학생 교육과 후학양성, 연구 활동에 매진하고 있다."
8,전남대 등 광주전남 13개 대학 학점교류 시작,"전남대 등 13개 대학 학점교류 시작올 2학기부터 7과목 개설 운영 타 대학 학생간 학습경험 공유전남대학교는 2022학년도 2학기부터 학점교류 협약을 맺은 대학들과 7개 교과목을 개설해 운영에 들어간다. 전남대 등 13개 대학은 학점교류 운영위원회를 통해 오는 2학기부터 토론과 민주지성을 포함한 7개 교과목을 개설·운영하기로 했다.수업은 광주전남 대학원격교육지원센터 학습관리시스템(LMS)을 통해 진행된다.학생들은 양질의 콘텐츠와 실시간 수업을 들으며, 타 대학 학생들과 다양한 학습 경험을 공유하며, 수강한 교과목은 학점으로 인정받는다.광주전남지역 대학 간 학점교류를 주관하는 전남대는 지난 5월, 23개 대학과 ▲광주전남권역 대학 간 학점교류 ▲공동 교과목 개발 및 운영 ▲지역상생발전을 위한 교육협력 사업 ▲기타 교류 협력 등을 주요 내용으로 하는 협약을 체결한 바 있다."
9,에너지자원공학과 ‘온실가스감축 혁신인재양성사업’ 선정,"전남대 에너지자원공학과 ‘온실가스감축 혁신인재양성사업’ 선정전북대와 컨소시엄 구성해 최종 선정 탄소포집활용저장기술 전문인력 양성 전남대학교가 교육부와 산업통상자원부의 부처협업형 인재양성 사업인 ‘온실가스감축 혁신인재양성사업’에 최종 선정됐다.전남대 에너지자원공학과(사업책임자 이정환 교수)는 교육부와 산업통상자원부가 공모한 이 사업에 전북대 자원에너지공학과와 컨소시움을 구성해 응모한 결과, 호남권 온실가스감축 혁신인재양성사업에 선정됐다.2022년 부처협업형 인재양성 사업은 신산업 분야 등 산업·경제 구조 변화에 대응한 혁신인재 양성을 위해 해당 분야의 대학 체질 개선과 특성화를 지원하는 사업으로, 이중 ‘온실가스감축 혁신인재양성사업’은 학사 및 석·박사 재학생을 대상으로 온실가스감축 혁신기술, 혁신정책, 국제협력 교육 프로그램 운영 등을 통해 탄소 포집, 활용, 저장 기술에 이르는 온실가스감축관련 전주기적 기술과 탄소중립 정책개발, 온실가스 감축 크레딧 등 국제관계학에 이르는 고급 인력을 양성하게 된다.호남권 컨소시움은 올해 3억 원을 시작으로 매년 약 5억 원씩 1단계 사업 2년 반 동안 13억원을 지원받는다.이에 따라 전남대는 글로벌 역량을 갖춘 탄소포집활용저장기술(CCUS) 전문인력 양성을 목표로 이산화탄소 지중저장공학 등 심화전공과 온실가스 감축산업에 특화된 교육과정을 전북대와 공동으로 개설해, 교차강의 교육프로그램 개발, 실습·연구실 구축 등 인력양성 기반 준비를 수행한다. 또 2023년부터 에너지자원공학과 2, 3, 4학년 학생 및 대학원 학생들을 대상으로 온실가스 감축 혁신교육 및 혁신연구 수행을 위한 교육 및 산학, 해외대학 협력체계 구축에 들어갈 예정이다.이를 위해 전남대는 이정환 교수를 중심으로 학부생을 위한 CCUS 기초트랙과 대학원 학생을 위한 고급트랙을 설계한 ‘인재양성 사업단’을 구성하고, 온실가스 감축 융합 교육을 통해 국가 탄소중립산업 선도 및 글로벌 창의 인재를 양성해 나갈 방침이다."
