,제목,내용
0,"충남대-충북대 박물관, 유물교환 및 업무협약 체결","양 대학 소장 중인 상대 학교 유물 맞교환상호 협력체계 구축 및 학예 인력양성 위한 공동 노력 충남대 박물관과 충북대 박물관이 각 대학이 소장한 상대 대학의 유물을 교환하고 박물관 간 상호 협력체계 구축과 학예 인력양성을 위해 함께 노력할 것을 약속했다.충남대 박물관 허현 관장과 충북대 박물관 김영관 관장 등 양 기관 관계자들은 8월 12일 오전 11시, 충남대 박물관에서 유물교환 및 업무협약을 체결했다.충남대가 소장하던 ‘대통령기 쟁탈 제16회 국립대학교 체육대회 깃발(1988년)’ 유물 1점이 충북대에, 충북대가 소장하던 ‘1952년 충남대학교 요람(1952년)’, ‘보운 창간호(1963년)’, ‘교양지 창간호(1971년)’, ‘상원 제4집(1971년)’ 등 유물 4점이 충남대에 전달됐다.두 대학은 또 업무 협약을 통해 ▲학교역사 및 지역사회 자료의 조사 연구 및 수집관리 ▲두 기관의 조사연구, 전시기획, 사회교육을 위한 협력 ▲학예인력 양성을 위한 실무연수 및 정보 공유 등에서 공동의 보조를 맞추기로 약속했다.이번 유물교환과 업무협약은 각각 대전·충남지역과 충북지역의 거점국립대학교인 충남대와 충북대의 박물관이 상호 이해와 신뢰를 바탕으로 협력체계를 구축하고 활발한 교류를 통한 지역사회 발전을 위해 마련됐다."
1,"DSC지역혁신플랫폼-충남신용보증재단, 업무협약 체결","대학생 창업지원 위해 상호협력  DSC지역혁신플랫폼(센터장 김학민)은 충남신용보증재단(이사장 유성준)과 8월 11일(목) 창업 생태계 구축을 위한 창업 학생 및 기업에 대한 One-Stop 종합지원을 위한 업무협약을 DSC 지역혁신플랫폼 총괄운영센터 대회의실에서 체결했다.이번 업무협약에 따라 DSC 지역혁신플랫폼 참여대학(충남대, 공주대 및 순천향대 등 대전, 세종, 충남 소재 24개 대학) 재학생이 창업할 경우 충남신용보증재단으로부터 창업자금, 경영관리 교육프로그램 및 창업 컨설팅 등을 지원받을 수 있다. 특히, 충남신용보증재단은 DSC 지역혁신플랫폼만을 위한 특화보증으로 지원한도 상향(최대 5천만원), 심사기준 완화 및 대출금리 우대(2.58%이내) 등 지역 대학생의 창업을 적극 지원한다. 협약의 주요 내용은 △ one-stop 종합지원 패키지 프로그램(창업·경영 교육, 신용보증 지원 및 종합 컨설팅) 지원 △ DSC 지역혁신플랫폼 추천기업에 대한 신용보증 및 컨설팅 지원 △ 그 밖에 DSC 지역혁신플랫폼과 충남신용보증재단 간 상생발전을 위한 과제 발굴 등이다.김학민 DSC 지역혁신플랫폼 총괄운영센터장(순천향대 교수)은 “충남신용보증재단과의 업무협약이 지역 대학생의 창업 활성화에 기여해 지역경제에 큰 도움이 될 것으로 기대한다.”며 “플랫폼 참여대학 학생을 위한 창업지원 사업을 지속적으로 추진하는 등 우리 지역 청년의 지역 정착률 제고를 위해 최선을 다하겠다”고 밝혔다. 충남신용보증재단 유성준 이사장은 “지역 혁신을 위한 선순환체계 구축을 목표로 하는 DSC 지역혁신플랫폼과 업무협약 체결을 기쁘게 생각한다”며, “DSC 지역혁신플랫폼 참여 대학을 통한 창업이 활성화될 수 있도록 적극 지원하겠다”고 밝혔다. 한편, 대전·세종·충남 지역혁신플랫폼은 교육부에서 추진하는‘지자체-대학 협력기반 지역혁신 사업’으로 지자체와 지역대학이 협업체계를 구축하고 지역인재 양성-취·창업-정주를 아우르는 선순환체계 구축을 지원하기 위해 5년간 국비와 지방비를 포함하여 3,411억원이 투입되는 대형 국책사업이다."
2,"LINC 3.0사업단, 산학공동 기술개발 선정과제 성과관리 간담회 개최","22개 업체 및 협력기관에 기술개발 연계.지원 및 기술 마케팅 지원  LINC 3.0 사업단(단장 이상도)이 지역 기업 및 협력기관에 기술개발을 연계하고 기술 마케팅을 지원하는 ‘2022년 산학공동 기술개발과제’의 성과관리를 위한 간담회를 개최했다.LINC 3.0 사업단은 8월 9일 오후 4시, 공과대학에서 참여 업체 및 협력기관 연구진 50여 명이 참석한 가운데 ‘산학공동 기술개발 선정과제 성과관리 간담회’를 개최했다.이날 간담회에서는 22개 업체와 협력기관 연구진을 대상으로 우수 성과 사례소개와 이전 기술활용 사업화 지원, 학생 연구자 양성, 산학연계형 캡스톤 디자인 연계 등 과제추진과 성과관리를 위한 기준과 절차를 안내했다.이에 앞서 LINC 3.0 사업단은 지난 4월, 가족회사를 대상으로 교육부 공시 신기술분야 주제나 신기술화 가능한 주제를 바탕으로 산업체 기술수요 조사를 수행한 바 있으며, 수집한 기술개발과제를 바탕으로 과제를 공모한 결과, 22건의 산학공동 기술개발과제의 연구책임자를 최종 선정했다.LINC 3.0 사업단 남정수 기업협업지원센터장은 “중요한 화두인 대학의 기술개발과 사업화 성과 창출에는 고부가가치 원천기술의 확보와 신산업, 첨단산업의 사업화가 핵심과제가 됐다”며 “1차 년도 산학공동 기술개발과제를 통해 LINC 3.0 사업에서의 원천기술 고도화 기저를 마련해 우수성과를 지속적으로 지원하고 발굴해 나가겠다”고 말했다.한편, LINC 3.0 사업단이 운영하는 ‘산학공동 기술개발과제’는 참여 기업이 이전된 기술을 활용해 사업화 성과를 창출할 수 있도록 추가 기술개발을 연계.지원하고, 기술 마케팅 활동을 지원하는 사업이다. 충남대의 대표성과로는 LINC 사업(2012년~2016년)에서 99개의 과제를 지원해 93건의 지식재산권을 확보, 약 19억원의 기술이전 성과를 달성했으며, LINC+ 사업(2017년~2022년)에서 121건의 과제 지원한 결과로 92건의 지식재산권 확보해 6억원의 기술이전 성과를 달성한 바 있다. 특히, LINC+ 사업에서는 사회문제 해결형 신상품 개발 등 인문.사회.예체능 분야와 대전시 커뮤니티케어 분야 구축 등 그 범위를 확장해 대학의 사회적 공헌 활동에 힘썼다.<충남대 산학공동기술개발 과제 선정 업체 및 협력기관>㈜레이다앤스페이스(대표이사 박재우), ㈜엘투케이플러스(대표이사 전재필), ㈜에르코스(대표이사 김슬기), ㈜세종강우(대표이사 신대윤), 럼버원랩스(주)(대표이사 박 순), ㈜에스엠텍(대표이사 장인구), ㈜카이다스(대표이사 이유칠), 필랩(대표이사 안종석), ㈜네이처텍(대표이사 심호영), 청미바이오(주)(대표이사 조성희), 그라운드비전(대표이사 안병선), 샤인엑스 주식회사(대표이사 양철수), 미성산업(주)(대표이사 김덕영), ㈜제페토(대표이사 김현화), E. J테크(대표이사 김성민), ㈜제이앤씨에스티(대표이사 박지만), ㈜엠지에스(대표이사 이호원), ㈜에스이랩(대표이사 오승준), ㈜굿메이커(대표이사 윤병선), 자도커피(대표이사 서윤경), ㈜홍스팜(대표이사 홍인기), 리버앤트리컴퍼니(대표이사 정문화, 김태순) 등 22개"
3,"생활과학대학-육군본부, 육군 전군 영양사 워크숍 개최","‘2022년 급식 정책 구현과 영양사 직무능력 향상’ 주제  생활과학대학과 육군본부는 군급식의 질적 향상을 위해 ‘육군 전군 영양사 워크숍’을 개최했다. 생활과학대학과 육군본부는 8월 9일, 육군 본부 및 전군 영양사 50여 명이 참석한 가운데 유성 계룡스파텔에서 ‘2022년 급식 정책 구현과 영양사 직무능력 향상’을 주제로 워크숍을 개최했다.양 기관은 이날 워크숍에서는 ▲‘22년 급식 정책 추진성과 및 ‘23년 추진 방향 제안 ▲사단 중심 식단편성 성과 및 보완 사항 ▲영양사 권한과 책임 및 직무능력 향상방안 ▲식단편성 및 결산을 위한 정보체계 개선방안 등을 논의했다.국립대학육성사업의 일환으로 진행된 이번 워크숍은 군이 가지는 특성에 대한 이해와 ‘생활과학’이라는 학문적 접근을 통해 군과 함께 급식 정책의 추진 방향과 영양사 직무능력을 높이는 방안을 논의하며, 군급식의 질적 향상을 함께 도모했다.한편, 생활과학대학은 장병 급식・피복발전 등의 군생활문화 개선과 만족도 향상을 위해 군-학 실무업무 및 연구협력 체계를 구축하고, 정기적인 학술 세미나 개최와 자문은 물론, 장병 대상 교육에도 참여하고 있다."
4,"환경IT융합공학과-수박딸기연구소-㈜지엔에스엔지니어링, 업무협약 체결","ICT 기반 스마트 빗물 활용시스템 사업화 추진  공과대학 대학원 환경IT융합공학과(학과장 양재환)가 충북농업기술원 수박딸기연구소, ㈜지엔에스엔지니어링과 ICT 기반 스마트 빗물 활용시스템 사업화를 위한 업무협약을 체결했다.환경IT융합공학과 등 3개 기관은 지난 8월 5일, 관계자들이 참석한 가운데 충북농업기술원 수박딸기연구소에서 업무협약을 체결했다.빗물을 스마트팜에 재활용해 물 부족에 대비하기 위해 마련된 이번 업무협약에 따라 각 기관은 빗물 활용시스템 에너지 효율화와 환경영향 평가를 실시하고, 살균 가능 ICT 기반 산업화 연구 등 빗물 자원화 기술정보를 협력한다.환경IT융합공학과 양재환 학과장은 “빗물의 대체 수자원화와 정밀농업을 위한 ICT 기술 개발의 필요성이 강조되는 현시점에 스마트 빗물 활용시스템 사업화를 위한 충북농업기술원과 ㈜지엔에스와의 업무협약은 지금 시기에 의미가 크다”며, “이번 업무협약을 통해 충북농업기술원 수박딸기연구소에 구축하는 테스트베드는 디지털 물 산업 기반조성 및 농업환경 분야의 지역인재 양성에 큰 도움이 될 것이다”라고 말했다.㈜지엔에스엔지니어링 박성민 대표는 “ICT 기반 스마트 빗물 활용시스템으로 ISO9001, k-마크 등을 인증받아 우수 조달 제품으로 등록하여 물 부족 문제 해결과 동시에 기업 성장을 기대한다”라고 말했다.충북농업기술원 수박딸기연구소 윤철구 소장은 “스마트농업으로의 전환이 시급한 시점에 환경을 고려한 스마트 빗물 재활용 연구사업은 지속가능한 농업 발전에 장착해야 할 중요한 기술이다”라며, “이번 협약이 농림축산식품부와 공동 연구 중인 「스마트팜 다부처 패키지 혁신기술 사업」의 내실화에 많은 도움이 될 것으로 기대한다”라고 말했다."
5,"교육연수원, 2022년 대전고교학점제 교원 다과목 지도역량 강화 직무연수 개최","사범대학 부설 교육연수원(원장 현광석)은 지난 7월 18일~8월 5일, 대전 중등교원을 대상으로 지도역량 강화를 위한 직무연수를 진행했다. 물리학과, 국어교육과와 함께 고전읽기(국어교육과), 고급물리학(물리학과) 등의 교육이 진행된 이번 연수는 대전 고교학점제 실현을 위한 지역사회 협력체제 구축사업의 일환으로 대전교육청의 위탁을 받아 실시됐다.연수에 참여한 교원들은 이번 연수를 통해 각 과목의 교수·학습 방법에 대한 최신 동향을 알고 관련 지식 이해 및 전문성을 습득해 고교학점제 과목 운영을 위한 지도역량을 키울 수 있을 것으로 기대되고 있다."
6,故 정심화 이복순 선생 30주기 추모식 거행,"이복순 선생, 김밥 팔아 평생 모은 전 재산 충남대에 기부“김밥할머니의 정신 영원히 기억될 것입니다”  충남대학교가 故정심화(正心華-법명) 이복순 선생의 30주기 추모식을 거행했다.충남대는 8월 5일(금) 오전 9시 30분, 충남대학교 대덕캠퍼스 정심화국제문화회관에서 충남대 이진숙 총장과 유가족, 발전기금재단 관계자, 정심화 장학생 등이 참석한 가운데 ‘故 정심화 이복순 선생 30주기 추모식’을 거행했다. ‘김밥 할머니’로 세상에 잘 알려져 있는 이복순 선생은 김밥 판매와 여관을 경영하며 평생 근검절약해 모은 현금 1억원과 부동산 등 50억원 상당을 지난 1990년 충남대에 기부했다. 이 기부금을 토대로 충남대에는 1991년 1월 정심화장학회가 만들어졌으며, 이복순 선생은 이듬해인 92년 8월 7일, 향년 79세의 일기로 별세했다. 이복순 선생의 기부는 당시 전국적으로 커다란 반향을 일으키며 국내 기부문화의 효시가 됐으며, 이복순 선생은 국민훈장동백장, 청룡봉사상, 대전개발 대상, 대전시문화상 등을 수훈했다. 지난 2010년에는 이복순 선생의 기부 이야기가 초등학교 4학년 1학기 국어 교과서((주)미래엔컬처그룹)에 실리기도 했다. 충남대는 이복순 선생의 높은 뜻을 기리기 위해 5억 원의 장학기금을 마련해 지난 1992년부터 ‘재단법인 충남대학교정심화장학회’를 운영하며, 1992년부터 2022년 1학기까지 455명의 학생에게 7억 2천여만 원의 장학금을 지급해 오고 있다. 또한, 2000년 7월, 이복순 선생의 기부 정신을 기리기 위해 대덕캠퍼스 내에 정심화국제문화회관을 건립했으며, 정심화홀 로비에는 선생의 흉상과 기록물 등을 전시한 기념관을 조성했다. 충남대는 지난 30년 동안 매년 추모 행사를 거행하며 이복순 선생을 기억하고 숭고한 기부 정신을 널리 알리는 일을 이어오고 있다. 지난 2018년에는 이복순 선생과 각별한 인연이 있는 성옥심 선생과의 기부 이야기를 담은 웹툰 ‘하늘로 부친 편지’를 제작했으며, 이복순 선생, 성옥심 선생, 이영숙 선생, 함정옥 선생 등 4대 독지가의 기부 정신을 담은 동영상을 제작하는 등 이복순 선생으로부터 이어지는 충남대만의 기부 정신을 널리 알리고 계승하기 위해 노력하고 있다. 또한, 대전시 동구 추동에는 약 1,320㎡ 규모의 ‘충남대학교 추모공원’을 조성해 기부자 예우에 힘쓰고 있다. 충남대 이진숙 총장은 “정심화 이복순 선생님은 당신의 것을 하나도 남김없이 얼굴 한번 본 적 없는 충남대 학생들에게 모두 주고 떠나셨고, 정심화장학금을 지원받은 학생들은 사회에 나아가 봉사와 헌신이라는 가르침을 실천하면서 더욱 아름다운 세상을 만들어가고 있다”며 “김밥할머니의 숭고한 정신은 영겁의 세월 속에서도 우리들의 마음 속에 길이 기억될 것”이라고 추모했다. "
7,"김민규 교수, 세계 최초 유전병 교정 강아지 복제 성공","순종견 돌연변이 유전자 ‘고관절 이형성증’ 교정 성공  동물자원과학부 김민규 교수가 ㈜엠케이바이오텍, ㈜툴젠과 함께 세계 최초로 고관절 탈구를 일으키는 돌연변이를 교정한 래브라도 리트리버 강아지 2마리를 복제하는 데 성공했다.동물자원과학부 김민규 교수와 반려동물치료기술개발 전문기업인 ㈜엠케이바이오텍, 유전자 교정 전문기업 ㈜툴젠의 구옥재 박사 연구진은 7월 28일, 네이처 자매지인 온라인 국제 학술지 ‘Scientific Reports’에 고관절 탈구를 유발하는 유전자 돌연변이를 교정한 래브라도 복제개 진(Gene)과 제니(Geny)가 태어났다고 밝혔다.전 세계적으로 순종견의 품종 유지를 위한 근친교배로 인해 유전 질환을 유발하는 돌연변이는 계속 증가하고 있다. 고관절 탈구, 즉 고관절 이형성증도 그런 돌연변이 중 하나이다. 특히, 중대형견에서 매우 빈번하게 발생하는 대표적인 유전질환으로서 이 병을 앓는 강아지는 고관절이 제대로 발달하지 않고, 훨씬 빨리 닳아 통증은 물론 움직이기도 힘들게 된다.이에 김민규 교수 공동 연구진은 이번 연구에서 고관절 이형성증이 있는 래브라도 반려견에서 피부세포를 채취한 후 프라임 교정이란 차세대 유전자 교정 기술을 통해 해당 돌연변이를 교정했다.이번에 적용한 유전자 교정기술은 크리스퍼(CRISPR) 유전자가위 기술을 이용해 반려견의 유전적 돌연변이를 정상상태로 교정하는 방법이다. 크리스퍼 유전자가위 기술은 이미 전 세계적으로 다양한 분야에 적용되고 있는 기술로, 해당 기술을 개발한 과학자들이 지난 2020년 노벨상을 받은 바 있다.㈜엠케이바이오텍은 2019년 공동연구팀인 (주)툴젠으로부터 CRISPR 유전자가위 기술을 기술이전 받았으며, 이번 연구 결과를 토대로 반려동물의 유전질환 극복을 위한 기술을 실용화해 나가는데 박차를 가할 계획이다.김민규 교수는 “반려견에서 발생하는 대표적인 유전질환인 고관절 탈구 뿐만 아니라 순종 반려견에서 나타나는 다양한 유전적 결함을 교정할 수 있는 실마리를 찾았다”며, “아직 실용화 단계까지는 극복해야 할 기술적 한계들이 존재하지만, 현대인에게 있어서 가족과 같은 존재인 반려동물을 유전질환의 위험에서 해방시키고 더욱 건강하고 행복하게 살아가도록 돕기 위해 기술개발과 실용화에 모든 노력을 기울이겠다”고 계획을 전했다."
8,"전공노 충남대지부 조합원, 발전기금 기부","개교 70주년 맞아 학생들 지원해 달라며 발전기금 기부“조합원들 학생지도의 일환에 공감하고 모금에 적극 참여” 전국공무원노동조합(이하 전공노) 충남대지부 조합원들이 충남대학교 개교 70주년을 맞아 재학생들을 위해 써 달라며 자발적으로 모금한 발전기금을 기부했다. 전공노 충남대지부 김태섭 지부장과 조합원은 8월 2일 오후 3시, 이진숙 총장을 방문해 재학생 지원사업 추진을 위해 써 달라며 860만 원의 발전기금을 전달했다.  전공노 충남대지부는 개교 70주년을 맞아 지난 7월 5일~16일, 학생 지도의 일환으로 재학생들에게 도움을 주자며 조합원을 대상으로 발전기금 모금 운동을 전개한 결과, 목표했던 700만 원 보다 많은 860만 원을 모았다.  전공노 충남대지부 김태섭 지부장은 “개교 70주년을 맞이해 재학생들을 지원하자는 취지에서 발전기금 모금 운동을 전개했는데, 조합원들이 학생 지도의 일환에 공감하고 적극적으로 참여해 계획보다 많은 금액을 모금할 수 있었다”며, “많지 않은 금액이지만 이번 발전기금이 학생 대다수가 참여하는 행사나 시험기간 학생 간식 지원 등에 쓰이면 좋겠다”고 말했다. "
9,2022년 대한민국학술원 우수학술도서 3권 선정,"유용욱 교수, 진윤수 명예교수, 사재동 명예교수 저서  유용욱 교수와 진윤수 명예교수, 사재동 명예교수의 저서가 ‘2022년 대한민국학술원 우수학술도서’에 선정됐다.교육부와 대한민국학술원이 지난 7월 19일, ‘2022년 대한민국학술원 우수학술도서’를 선정 발표한 가운데, 충남대는 고고학과 유용욱 교수, 스포츠과학과 진윤수 명예교수, 국어국문학과 사재동 명예교수의 저서가 선정됐다. 대한민국학술원 우수학술도서는 인문학(67종), 사회과학(110종), 한국학(40종), 자연과학(83종) 등 총 300종을 선정 발표했다.에이드리언 프랫첼리스가 쓰고 고고학과 유용욱 교수가 번역한 『고고학이론 껍질 깨기(사회평론아카데미)』는 ‘막힘없이 단숨에 읽는 이론서’를 지향하는 고고학 입문서로 마르크스주의, 구조주의, 신진화론, 탈식민주의, 현상학에서부터 최근 뜨겁게 논의 중인 페미니즘, 퀴어이론까지 고고학에 필요한 이론 열두 가지를 쉽고 재미나게 소개한다. 현학적이고 난해한 문장으로 이루어진 기존의 이론서들과 달리, 어렵고 딱딱하게 여겨져 온 이론의 겉껍질을 깨고 그 안의 내용물을 말랑말랑하면서도 위트 있게 들려준다. 특히 각각의 이론을 고고학 현장에 적용한 최근의 연구 사례를 상세히 들려줌으로써, 고고학 현장에서 이론을 ‘잘 써먹는 방법’을 친절하게 안내한다. 고고학을 처음 접하거나 공부하고 싶은 사람들에게 매우 유용한 책이다. 고고학을 전공하지 않더라도 “사람들이 ‘무슨 일’을 ‘왜’ 했는지, 그리고 인류의 역사는 왜 이렇게 흘러왔는지”를 알고 싶은 일반 독자에게 앎의 기쁨과 재미를 선사한다.스포츠과학과 진윤수 명예교수의 저서 『율곡이 체육을 말하다(충남대학교출판문화원)』은 최근 스포츠현장에서 발생하고 있는 스포츠 4대악(승부조작, 폭(성)력, 입시비리, 조직사유화) 비리의 척결을 위해 스포츠윤리 의식 전환이 필요함을 강조하고 있다. 이를 위해 저자는 율곡에 관한 사상을 체육에 접목하여 연구해 왔다. 윤리의식을 위한 방안으로 ‘율곡 사상’을 익혀 스포츠계에 접목해야 한다고 주장한다. 이 책은 제1장 ‘체육ㆍ스포츠란 무엇인가’에서는 독자의 이해를 돕기 위해 체육ㆍ스포츠의 개념과 혼용하고 있는 내용을 정리했다. 제2장 ‘율곡은 누구인가’에서는 율곡의 생애, 사상, 〈율곡전서〉 분석, 율곡의 리더십을 정리했다. 제3장 ‘율곡이 체육을 말하다’에서는 율곡이 신체, 신체운동, 양생, 휴양, 체육교육 등을 정리했다. 제4장 ‘율곡이 체육을 만나다’에서는 지금까지 율곡을 대상으로 체육학에서 연구된 논문들을 간략하게 정리했다.국어국문학과 사재동 명예교수의 『삼국유사의 문예 현상과 문학의 갈래, 그 연행 양상(민속원)』은 삼국유사 전체의 각 분야, 각 편을 모두 문학작품이라 보고, 문학론과 예술론으로 분석·고찰해 갈래별로 재구하고 그 연행 양상까지 탐색·활성화했다. 그 총론으로 이 각 편의 문학적 실상과 갈래양식을 검토하고, 그 연행 양상을 갈래별로 탐구했으며, 각론에서는 시가와 수필, 소설과 희곡, 평론 등 5개 갈래에 걸쳐, 각기 해당되는 작품, 각 편을 골라 그 문학적 실상과 갈래양식 내지 연행 양상을 논구·실증했다. 이를 통해 그 시대적 관점에서 삼국시대로부터 신라통일기, 고려말기에 걸치는 문학사와 연행예술사를 계통적으로 파악하게 한 것이 특징이다."
