대학교명,내용
한국외국어대학교,"우리대학 대학일자리플러스본부(본부장 오세홍)는 8월 12일(금), 국제사회교육원 우덕홀에서 한국외대, 강남대, 성결대, 수원대, 안양대, 오산대, 평택대, 한경대, 한세대, 한신대, 협성대 등 경기 남부 지역 연합 U11 대학(이하 U11 대학) 진로취업협의회 주관 취업 지원 컨설턴트, 직원 대상 교육 및 워크숍을 한국과학기술대학교 능력개발교육원 고용서비스팀과 ㈜엘리트코리아의 후원으로 개최하였다.고용노동부 대학일자리플러스센터 사업 대학 연합 거버넌스 사업의 일환의 본 행사는 대학생 및 지역 청년의 취업을 지원하는 대학 컨설턴트, 직원 약 80여 명이 참석하였으며, 변화하는 ‘산업, 기업 분석 기반 직무 이해 및 직무 Mapping 전략‘, 취업 스트레스에 시달리는 컨설턴트와 취업준비생을 위한 ’취업상담 컨설턴트의 감정소진 예방 및 스트레스 관리’에 대한 교육을 진행하였다.오세홍 대학일자리플러스본부장은 “청년층의 구직난이 심화하는 현실에서 청년층들의 취업 지원 최일선에서 최신 정보 습득을 통해 최선을 다해 노력하고 있는 U11 대학 취업지원 컨설턴트와 직원 여러분들의 노고에 깊이 감사드리며, 앞으로도 대학 간 연합을 통한 대학일자리플러스센터 활성화를 지원하겠다”고 하였다.고용노동부 대학일자리플러스센터는 사업을 수행하는 대학의 학생 및 지역 청년층을 대상으로 1:1 취업 상담 등 다양한 취업 지원 프로그램을 수행하고 있다."
한국외국어대학교,"우리대학 특수외국어교육진흥원(원장 이은구, 이하 특교원)은 오는 8월 14일(일), 일본군 '위안부'의 피해 사실과 관련된 문제들을 국내외에 알리고, 피해자의 존엄과 명예를 회복하고 기리기 위해 제정된 국가기념일인 <기림의 날>을 맞이하여 한국여성인권진흥원 일본군 ‘위안부’ 문제연구소와 협의 하에 국내외 외국인들에게 일본군 ‘위안부’ 문제에 대한 인식 제고를 위해 <2021년 여성인권과 평화 국제컨퍼런스> 오프닝 영상 자막의 특수외국어 번역 서비스를 지원하였다.본 재능기부는 우리대학 포르투갈어과, 태국어과, 인도어과, 페르시아어·이란학과, 몽골어과, 폴란드어과, 헝가리어과 학생 33명이 직접 번역에 참여하고, 원어민 교원 등 학과 교수진의 감수를 통하여 진행되었다. 총 7개 언어의 특수외국어 번역물은 현재 아카이브814 홈페이지에 게시되어 있다. (※ 아카이브814 홈페이지 링크 : https://www.archive814.or.kr)특교원 이은구 원장은 “2022년에는 특수외국어 대국민 서비스가 더욱 확대되어 부처 협업을 통한 교육 및 번역 지원이 다양하게 이루어지고 있다”며, “번역 재능기부 프로그램을 통한 관련 전공 학생들의 어학 역량의 전문성 확대와 함께 여성 인권과 평화를 위한 글로벌 인재 의식 함양에 도움이 될 것”이라 기대하였다."
한국외국어대학교,"여름의 한복판, 시골 초등학교 학생들과 한국외대 대학생들의 방학 이야기- 한국외대 국제학부 학생들의 거제와 임실 지역 초등학교 영어캠프우리대학 국제학부(학부장 이승래) 학생들이 7월 마지막 주부터 8월 첫 주에 걸쳐 경남 거제시 외간초등학교(교장 하정훈)와 전북 임실군 지사초등학교(교장 김혜숙)를 방문하여 초등학교 학생들을 대상으로 영어캠프를 진행하였다. 그간 10년여 가까이 진행되어온 국제학부의 여름방학 봉사 프로그램으로 진행된 영어캠프는 올해 경남 거제와 전북 임실의 초등학교 학생들을 대상으로 약 20여 명의 다국적 국제학부 학생들이 그 어느 때보다 뜨거운 여름을 보냈다.특히 올해는 최근 2년 동안 코로나19 여파로 문을 닫았던 국제학부 영어캠프 프로그램이 다시 시작되는 의미 깊은 시간이었다. 경남 거제의 외관 초등학교 하정훈 교장 선생님은 코로나19 이전 해당 프로그램 진행 당시 교감으로 국제학부와 연을 맺은 바 있다. 당시 국제학부 학부장으로 외간초등학교를 방문하였던 김봉철 교수는 이번 프로젝트의 재기를 위해서 교장으로 부임한 하정훈 선생님과 의기투합 하여 영어캠프 프로그램이 진행되는 동안 현지를 방문하여 국제학부 학생들을 격려하고, 향후 업무협조 방안 또한 논의하였다.전북 임실의 지사초등학교는 전교생이 스무 명을 조금 넘는 작은 규모의 시골학교로, 이번 영어캠프를 기획하는 과정에서 새로운 지역의 초등학교를 발굴하여 영어캠프 봉사 프로그램의 확산을 추진하는 과정에서 연결된 곳이다. 지사초등학교 김혜숙 교장 선생님은 “작은 시골 학교까지 멀리 서울에서 대학생들이 찾아주어 즐겁고 고마운 일”이라고 반가움을 전했다. 지사초등학교 캠프에 참가한 국제학부 권다희 학생은 “작고 아담한 예쁜 교정이 너무 사랑스럽고 선생님들과 학교 측에서 많이 도와주셔서 감사하다”고 화답하였다.우리대학 국제학부는 한국 국적의 학생을 포함하여 약 30개국 정도의 학생들로 구성되어 있으며, 모든 수업을 영어로 진행한다. 이와 같은 학부의 특성을 살려 지난 1학기 개강 시점부터 재능기부 봉사를 희망하는 재학생을 모집하였고, 이렇게 선발된 학생들은 학기 중 정기 모임을 통하여 자체적으로 교재를 제작하고 준비하였다. 전바다 국제학부 학생회장은 ‘이번 프로젝트는 국제학부 학생들이 가진 재능을 사회와 나누며 함께하는 마음을 느끼는 소중한 기회’라며, ‘2년 만에 다시 진행되는 행사인 만큼, 뜨거운 여름 치열하게 보낸 시간이 참가한 학생 모두에게 오래 기억될 것’이라고 덧붙였다."
한국외국어대학교,"우리대학 특수외국어교육진흥원(원장 이은구, 이하 특교원)은 8월 3일(수), 대학본부 203호 회의실에서 합동군사대학교 국방어학원(원장 류인석)과 특수외국어 교육 및 보급 확산을 위한 업무협약을 체결하였다.본 업무협약을 통하여 특교원은 사업 대상 16개 언어(네덜란드어, 라오스어, 말레이·인도네시아어, 몽골어, 스와힐리어, 스웨덴어, 우즈베크어, 이란(페르시아)어, 이탈리아어, 카자흐어, 태국어, 터키어, 포르투갈어, 폴란드어, 헝가리어, 힌디어) 및 인접어 등 필요 언어 관련 합동군사대학교 국방어학원에 특수외국어 교육을 지원할 예정이다.특교원 이은구 원장은 ""이번 협약 체결을 통하여 특수외국어교육진흥사업의 제반 활동과 글로벌 인재 양성을 위한 학술‧교육 교류 등 양 기관의 상호발전을 도모해 나갈 예정""이라고 말했다."
한국외국어대학교,"회계사 후배 양성을 위한 동문 선배들의 기부금 모금이 소중한 첫걸음을 내디뎠다. 지난 7월 5일(화), 삼일회계법인 외대 동문 파트너 일동(원치형, 이종석, 박호준, 김동환, 심양규)이 “공인회계사를 준비하는 후배들에게 조금이나마 도움이 되었으면 한다”며 우리대학 공공인재개발원(원장 김민정) 산하 공인회계사시험연구실 한림정 지정기부금으로 2백만 원을 기부하고, 이번 기부를 시작으로 1년에 2회 이상 정기 기부 계획을 전달해 왔다.삼일회계법인 외대 동문 파트너 일동은 “향후 활발하게 활동 중인 외대 출신 회계사 동문이 함께 뜻을 모아 후배 양성을 위한 기부금 모금 등 각종 지원에 적극 나서겠다”며 후배 사랑에 대한 의지를 전했다. 이에 한림정 지도교수인 손동현 교수(경영학부)는 “회계사 선배들이 먼저 팔을 걷어붙이고 나서준 만큼 학교에서도 공인회계사시험 합격생 배출을 위해 더욱 힘쓰겠다. 모교 후배들을 위해 보내주는 애정 어린 관심과 지원에 감사한다”고 화답했다.우리대학은 지난 2020년 11월 공공인재개발원을 설립하고, 공인회계사시험뿐만 아니라 법조인을 희망하는 학생들의 로스쿨 진학을 돕는 의향제와 행정고시연구실, 국립외교원시험연구실 등 6개 국가고시를 준비하는 학생들을 전문적으로 지원하고 있다."
한국외국어대학교,"우리대학 아랍어과(학과장 김동환)는 지난 6월 17일(금)부터 22일(수)까지 터키 이스탄불에서 열린 ‘2022 세계 대학생 아랍어 토론대회’에 한국 대표로 참가하였다. 아랍어과 김정훈, 남기현, 박세민, 박소정(이상 성명 가나다 순) 학생으로 구성된 한국 대표 팀(지도교수 윤은경)은 전 세계 45개국 약 100여 개 팀이 참가한 본 대회에서 우수한 아랍어 실력과 논리력을 바탕으로 3승을 달성하였다.본 대회 진행 방식은 경기 시작 20분 전 토론 주제와 찬성, 반대 팀을 발표하여, 20분간 아랍어로 토론 주제에 대한 찬-반 의견과 논리적 근거를 준비하여 3명의 참가자가 상대 팀과 1대1로 토론을 벌이는 방식이다.대표 팀의 지도를 맡은 윤은경 교수는 “본 대회의 대다수 참가자가 아랍 학생이며, 비원어민팀도 대부분 미국이나 유럽으로 이주한 아랍인 2, 3세들로 구성되어 있어 실질적으로 아랍 학생들을 상대로 토론을 해야 하는 상황임에도 불구하고, 우리대학 학생들이 유창한 아랍어 구사 능력과 우수한 논리력으로 좋은 성적을 거두었다는데 큰 의의가 있다”며, 코로나19 상황으로 인해 어려운 시기였음에도 불구하고 대회 준비를 위해 수개월 동안 아랍어 토론 연습에 최선을 다해준 학생들을 격려하였다."
한국외국어대학교,"우리대학 한국어문화교육원(원장 홍종명, 이하 한문원)은 7월 20일(수), 오전/오후 2회에 걸쳐 동대문경찰서(서장 나영민) 외사계와 공동으로 외국인 연수생(학부 및 대학원 재학생, 해외대학 교환학생 포함) 대상 성폭력 예방 교육을 진행하였다.한문원 홍종명 원장은 “사회적 거리두기 해제 이후 캠퍼스 내 학생 유입이 늘어나고, 최근 캠퍼스 성범죄가 발생한 데 따른 조치의 일환으로, 상대적으로 한국 대학 생활이 낯선 한국어 연수생들을 각종 성범죄로부터 보호하고 피해 발생 시 이를 최소화하기 위해 동대문경찰서 외사계와 함께 이번 교육을 기획하였다”고 전했다. 이번 교육은 스토킹 / 데이트 폭력 / 디지털 성범죄 등 누구에게라도 실제 발생할 수 있는 내용을 중심으로 진행되었으며, 교육 종료 후 질의응답 시간을 가졌다.교육을 진행한 동대문경찰서 정보안보외사과 외사계 소속 방시현 경장은 “최근 발생하고 있는 캠퍼스 성범죄 관련 내용이 언론을 통해 연일 보도되고 있고, 이로 인해 한국인 학생뿐 아니라 외국인 학생들도 상당히 불안해하는 것으로 알고 있다”고 언급하며, “성폭력 관련 피해는 사전 예방하고 미리 감지하여 발생하지 않도록 하는 것이 무엇보다 중요하지만, 피해 발생 시 즉각 경찰에 신고하는 것 또한 중요하기에 이번 교육을 통해 신속 정확하게 행동할 수 있기를 바란다”고 교육 시행 소감을 밝혔다.우리대학 한문원에서는 앞으로도 동대문경찰서와 지속적으로 업무 협력을 통해 연계 프로그램을 진행할 계획이다."
한국외국어대학교,"우리대학 학생 대표단이 지난 7월 12일(화)부터 15일(금)까지 유엔한국협회가 주최하고 외교부가 후원하는 제27회 전국대학생 모의유엔회의에서 참가 학생 전원이 입상하는 쾌거를 올렸다. 1995년 유엔 창설 50주년을 기념해 시작된 전국대학생 모의유엔회의는 매년 여름, 전국 각지의 대학교에서 번갈아가며 3박 4일 동안 개최되며, 실제 유엔 총회의 의사진행 규칙에 따라 회의를 진행한다. 우리대학 모의국제연합(HIMUN, HUFS International Model United Nations General Assembly)과 더불어 국내 최대 규모의 모의 국제회의이다.‘국제분쟁사태와 유엔의 기여강화’라는 주제를 다룬 1위원회에 도미니카공화국 대표단으로 참가한 윤석진(영어교육 17), 박형빈(국제학 18) 학생은 외교부장관상인 대상을 수상하였다. 대상 수상자에게는 뉴욕의 유엔본부와 제나바 유엔사무소에서 열리는 각종 회의에 참관할 기회가 주어진다. 또한, 같은 위원회에서 중국 대표단으로 참가한 안현(LD 17), 김태선(LD 19) 학생은 우수상을 수상하였다.대상을 수상한 윤석진 학생은 ""평상시 접하기 힘든 도미니카공화국의 이익을 대변하는 역할을 준비하면서, 국제 갈등 양상의 이면에 대한 이해도가 깊어졌다""며, ""합의를 기반으로 결의문을 작성해나가야 했기에 자국뿐만 아니라 다른 국가들의 역사와 입장을 숙지한 것이 도움이 됐다“고 밝혔다. 박형빈 학생은 “이번 대회에 함께 참가한 LD학부 학생들과 고민하고 협력해나가며 입장을 가다듬는 과정에서 많이 배울 수 있었고, 지도교수인 김진아 교수님의 조언이 큰 도움이 되어 대상 수상의 영예를 안을 수 있었다”고 소감을 밝혔다.안현, 김태선 학생은 “첫 모의 국제회의 참가에 좋은 성과를 거두어 기쁘다. 경성권력에 주로 의존하여야 하는 국가의 특성에도 모의 상황에서 이를 사용할 수 없는 점, 특정 의제에 있어 정해진 입장을 고수해야 한다는 제약조건이 있어 상대편에게 유인을 주기 어려웠다”는 점을 밝혔다. “그러나 이러한 조건을 극복하는 과정에서 협상에 필요한 것이 무엇인가를 깨닫는 기회가 되었고, 우리대학 대표단이 좋은 성과를 거두어 뿌듯하다”며 소감을 전했다."
한국외국어대학교,"‘싱가포르 국제식품 박람회(Yummy Food Expo Singapore 2022)’, ‘말레이시아 국제식품 박람회(MIFB, Malaysian International Food & Beverage Trade Fair 2022)’ 참가 주 말레이시아 대한민국 대사관, MIFB 한국외대 GTEP사업단 부스 격려 방문... 한국 기업 세계에 알리며 맹활약우리대학 지역특화 청년무역전문가 양성사업단(단장 백재승, 이하 GTEP사업단)이 7월 6일(수)부터 7월 8일(금)까지 말레이시아 쿠알라룸푸르 컨벤션 센터(Kuala Lumpur Convention Centre)에서 열린 ‘말레이시아 국제식품 박람회(Malaysian International Food & Beverage Trade Fair 2022, 이하 MIFB)’에 참가하여 K-Food의 우수성을 홍보하는 등 국제 박람회 현장에서 무역 인재로서 맹활약하였다.코로나19 이후 2년 만에 열린 MIFB는 올해 22회째를 맞은 말레이시아 최대 규모의 식품 및 음료 전시회로, 말레이시아는 물론 할랄식품 시장 공략을 위해 12개국 170여 식품 기업 등 생산업체, 수출입업체, 바이어, 언론, 정부 기관, 대사관 등이 한자리에 모이는 B2B 플랫폼이다. 우리대학 GTEP사업단은 2팀과 3팀, 총 2개 팀을 파견하고, ‘신성실리콘’, ‘나무인터내셔널’, ‘아르토스’, ‘연담’ 등 협력 업체의 제품 시연을 통해 전시 마케팅 홍보 전략을 수립하고 바이어 별 제품 추천, 수출계획 설명 및 영어, 말레이시아어, 중국어 등 다양한 언어로 수출 상담 등을 진행하였다.박람회에 참가한 GTEP사업단 2팀 팀장 이지예(국제금융 20) 학생은 ‘할랄 인증의 중요성과 B2B 전시회의 전반적인 흐름, 분위기를 알 수 있었다. 앞으로 전시회와 전자상거래 활동에 많은 도움이 될 것”이라고 말했다. 김동욱(페르시아어·이란 16) 학생은 “제품에 대한 현장의 반응이 예상과 다른 경우를 고려하여 상황에 맞춰 유동적으로 대응해야 하는 걸 배웠다”고 전했다. 김민규(말레이·인도네시아어통번역 17) 학생은 “세계 여러 나라의 바이어에게 제품을 설명하고 시연하면서 바이어 응대 방법, 매너, 현지 문화 등을 비즈니스 현장에서 배울 수 있는 좋은 경험”이었다고 말했다. 박시나(아랍어 20) 학생은 “국제 전시회 인만큼 문화·종교의 차이로 인하여 바이어 별 제품에 대한 선호에 차이 등 세분화 된 시장조사의 필요성을 체감했다""고 전했다. 백세정(태국어통번역 19) 학생은 “업체 선정부터 샘플 운송, 부스 세팅까지 진행하는 가운데 팀워크가 단단해질 수 있었다”고 말했다. 이승연(GBT 19) 학생은 “바이어와 실질적인 수출 상담을 진행하며 B2C 전시회와의 차이를 느낄 수 있었다”고 소감을 전했고, 조혜린(말레이·인도네시아어통번역 19) 학생은 “실제로 바이어와 상담하고 사업 방식에 대하여 대화를 나누면서 무역 실무에 대한 이해는 물론 세상을 바라보는 시각을 넓힐 수 있던 좋은 기회”였다며 소감을 밝혔다.함께 참가한 GTEP사업단 3팀 팀장 조현희(세르비아·크로아티아어 17) 학생은 “업체 발굴 및 미팅, 전시회 매뉴얼 등록, 부스 데코 준비, 사전 마케팅 등 전시회 전 과정을 배웠고, 바이어의 니즈를 파악하여 바이어가 원하는 정보를 전달하는 응대 방법 또한 배울 수 있었다”며 참가 소감을 밝혔다. 권서영(융합인재 19) 학생은 “바이어에게 활기찬 인사로 다가가 스몰토크부터 전시품 설명까지 단순히 판매 혹은 비즈니스가 아닌 소통하고자 하는 마음으로 바이어들을 대하려고 노력한 결과 현장에서의 호응이 남달랐다”고 전했다. 김수인(TESOL영어학 20) 학생은 “팀원들과 함께 업체 발굴부터 전시 마케팅까지 모든 과정을 주도적으로 진행하며 값진 경험을 할 수 있었다”고 하였고, 노유성(국제금융 20) 학생은 “바이어들을 직접 만나며 실무에서 필요한 것들이 무엇인지 파악할 수 있었으며 실전 업무의 강도를 피부로 느꼈다”고 소감을 전했다. 양성은(국제통상 18) 학생은 “전시회를 꼼꼼하게 준비하며 회사를 대표한다는 생각으로 임한 결과, 모든 전시품 소진, 수많은 바이어 명함 교환, 말레이시아 대사님의 격려 방문, 타 업체의 협업 제안, MIFB 공식 계정에 대표 사진 게시, MIFB 공식 인터뷰 영상 요청 등 기대 이상의 성과를 거둘 수 있었다”고 전했다. 유돈형(통계 19) 학생은 “전시회 준비 및 진행 과정에서 팀원 모두의 역량이 어우러져 성공적으로 전시회를 운영할 수 있었다”고 말했고, 이수현(아랍어통번역 19) 학생은 “전시회 현장에서 여러 국적의 바이어와 맞닥뜨리며 그들에게 매력적인 제품 정보를 적극 어필하였다. 또한 전시회 현장 마케팅 방식의 일환으로 고안한 한국의 전통 게임인 ‘뽑기’ 이벤트를 통해 바이어들이 지인들을 데리고 부스에 재방문하는 등 큰 홍보 효과 또한 거둘 수 있었다”고 전했다.GTEP사업단은 지난 6월에도 ‘Yummy Food Expo Singapore 2022’에 참가한 바 있다. 6월 23일(목)부터 26일(일)까지 열린 ‘Yummy Food Expo’는 싱가포르에서 코로나19 이후 처음 열린 식품 전시회로, GTEP사업단은 그린텍코리아와 협약을 맺고 전시회에 참가하였다. 해당 전시회는 GTEP사업단 소속 백세정, 이승연, 이지예 학생(이상 성명 가나다 순)이 파견되었다. 이들은 해당 기업의 친환경 종이호일을 활용한 제품 시연을 통해 해당 기업을 소개 및 홍보하고 바이어와의 질의응답 시간을 가졌다. 싱가포르의 1인 가구 수 증가와 간편 요리 기구의 수요 증가로 인하여 협력 기업의 종이호일 제품 역시 현장에서 뜨거운 호응을 얻었다.특히 이번 MIFB의 경우, 이치범 주말레이시아 대한민국 대사가 박람회 현장의 GTEP사업단 부스를 격려 방문하고, 할랄식품 최대 소비국으로서의 말레이시아에 현지 마케팅 확대 등 K-Food의 할랄시장 개척에 앞장서 줄 것을 당부하였다.산업통상자원부가 주관하고 한국무역협회가 위탁 운영하는 GTEP(Glocal Trade Expert incubating Program)사업은 대학생들의 무역실무, 산학협력 현장실습, 전자상거래, 국내외 전시회 참가, 온라인 해외 마케팅 실습 등의 교육을 통해 전문지식을 갖춘 무역 인재 양성을 추진하는 사업으로, 활동 기간 동안 480시간 이상의 교육과정을 이수하는 등 일정 조건을 만족하여 수료할 수 있다. 우리대학 GTEP사업단은 올해 하반기부터 다음 기수를 모집할 예정이다."
한국외국어대학교,"우리대학 글로벌캠퍼스 대학일자리플러스본부(본부장 오세홍) 진로취업지원센터는 지난 6월 29일(수), 미네르바 콤플렉스 국제회의실에서 교육부 국고 지원 사업의 일환으로 진행된 2022학년도 1학기 ‘HUFS H-UP 진로탐색학점제 성과 발표회 및 시상식’을 개최하였다.코로나19 이후 2년여 만에 대면 오프라인 형식으로 진행된 본 행사에서는 진로탐색학점제 HUFS H-UP 3기 학생 전원이 참석한 가운데, 우수한 성과를 거둔 6명(팀)이 각자의 프로젝트 수행 과정, 성과 및 향후 계획 등에 대해 발표하고, 이에 대하여 시상하는 시간을 가졌다.오세홍 학생·인재개발처장(글로벌)은 개회사를 통해 한 학기 동안 학업과 병행하며 바쁘고 힘든 상황 속에서도 각자 계획한 진로 설계 및 탐색을 열정적으로 그리고 성공적으로 완수한 3기 학생들을 격려하고, ""비록 오늘 수상하지 못한 학생들도 아주 근소한 차이였을 뿐 모두 고생 많았고, 참여 학생 모두 그동안 쏟은 정성과 시간, 노력이 고스란히 느껴지고, 전달되었다""고 전했다. HUFS H-UP 지도교수로 참여한 박치완(철학과) 교수는 “전공 학업에 집중하면서도, 끊임없이 자신의 미래와 진로에 대해 고민하고 탐구하는 것이 대학 생활에 반드시 수반되어야 한다”며, 진로탐색학점제에 참가한 학생들이 일궈낸 성과에 대해 호평하고 앞으로의 발전 가능성을 축하하였다.행사에 참석한 학생들은 우수 성과 팀들의 결과 발표를 경청하고, Q&A를 통해 피드백을 주고받는 등 지난 학기 동안 서로의 성장과 발전 과정에 대해 의견을 나누었다. 시상식이 종료된 후에도 관심사와 프로젝트 지속 가능성에 따라 학생들끼리 모여 H-UP 종료 이후의 계획과 협업 등에 대해 논의하는 등 열띤 반응 속에 ‘성과 발표회 및 시상식’은 마무리되었다.2022학년도 1학기 교육부 진로탐색학점제 HUFS H-UP 3기 성과 발표회 및 수상자는 다음과 같다.HUFS H-UP 진로탐색학점제는 교육부의 국고 지원 사업으로 지난 2021년 처음으로 선정되어 3개 학기 동안 운영되어왔으며, 올 2학기 4기 학생의 모집을 앞두고 있다. 학생이 스스로 계획을 세우고 자기 주도적으로 진로 탐색 활동을 수행하고, 이에 대한 평가를 통해 학점으로 인정하는 프로그램이다. 우리대학은 참여 학생에게 교육활동장학금을 지원하고 과정 수료자에게 학점을 부여하고 있으며, 캠퍼스 구분 없이 참여할 수 있다.2022학년도 2학기 HUFS H-UP 4기 모집은 8월 초 우리대학 홈페이지 및 HUFSAbility를 통해 진행될 예정이며, 활동은 9월~12월까지 진행된다. (문의 : 진로취업지원센터(글로벌) 031-330-4041)"
