,제목,내용
0,"대학일자리플러스센터, 청년 일자리 유관기관 협의회 개최","   제주대학교 대학일자리플러스센터(센터장 여인규)는 지난 12일 제주지역 청년 고용 지원 활성화를 위한 ‘제주지역 청년 일자리 유관기관 협의회’를 개최했다. 이번 협의회는 제주지역 청년 고용 거버넌스를 구축해 특성화고 및 일반계고 취업준비 학생, 제주지역 미취업 청년들을 대상으로 실효성 있는 진로·취업 지원과 하반기 공동프로그램 운영 방안을 모색하기 위해 마련됐다. 협의회에는 제주대 대학일자리플러스센터, 제주특별자치도 고용복지플러스센터, 제주더큰내일센터, 제주특별자치도교육청, 제주지역 인적자원개발위원회, 제주청년센터, 제주특별자치도 비정규직근로자지원센터 등 제주도내 청년취업과 관련된 유관기관 실무자들이 참석했다. 제주대 대학일자리플러스센터는 제주대 학생을 포함해 제주지역 청년들과 취업 준비 중인 특성화고ㆍ일반계고 학생들을 대상으로 진로·취업 상담과 다양한 진로·취업 프로그램을 운영하고 있다. 센터는 하반기에도 유관기관들과 협업해 지속적인 고용 지원 서비스를 제공할 예정이다."
1,2022가족회사 출범식 및 LINC 3.0 사업 설명회," ""기업이 성공할때 까지 대학 가족회사 전폭 지원"" 제주대학교 산학연협력 선도대학(LINC3.0) 육성사업단(단장 강태영)은 지난 11일 메종글래드 제주호텔에서 가족회사 50여개사, 100여명이 참석한 가운데 ‘2022 제주대 가족회사 출범식 및 LINC 3.0 사업설명회’를 개최했다. LINC 3.0 사업은 1~2단계 LINC 사업의 성과를 지속적으로 고도화하고 대학과 산업계가 상생 발전하는 산학연협력 생태계를 조성하기 위해 추진하는 대학 산학연협력 종합 지원 사업이다. LINC3.0사업은 2022년부터 향후 6년 간 추진된다. 이날 출범식에선 LINC3.0 사업의 기업지원 프로그램과 2022년부터 변경된 유료 가족회사 멤버십제도에 대해 설명하고, 산학연 공생을 위한 기업의 다채로운 의견을 수렴했다.. 오창윤 LINC3.0 사업 부단장은 ""제주대 LINC3.0사업은 BEST Launching Track으로 기업에서 산학협력이 필요한 시점에 맞춰 기업이 성공할때까지 다각도 복합지원을 하겠다“고 밝혔다.  이번 행사에 참석한 제주대 이영돈 산학협력단장은 “대학과 기업의 지속적인 협업을 통하여 기업은 이윤을 창출하고, 그 바탕으로 대학의 인재를 고용하는 순환 생태 구조를 만들어가야한다”고 강조했다. 이날 제주대 가족회사들을 대변하고 이끌어 갈 가족회사협의회장으로 (주)재밋섬파크 이재성 대표가 위촉됐다.제주대 가족회사는 초밀접적으로 대학과 상호 발전을 위해 공유 협력하는 기업을 말한다. 이재성 가족회사 협의회장은 “기업이 대학의 지원을 많이 받아왔는데 이젠 기업이 대학에 기여할 방안을 가족회사 협의회 중심으로 찾겠다” 고 포부를 밝혔다. ？이번 출범식으로 제주대는 가족회사와 함께 산학협력을 다시 한 번 더 도약하기 위한 여정을 시작했다. "
2,‘GREAT X JDC 프론티어 발대식’ 개최,"제주대학교(총장 김일환)는 지난 11일 제주대 체육관에서 제주대ㆍ제주관광대 학생 등 40여명이 참석한 가운데 ‘GREAT × JDC 프론티어 발대식’을 개최했다. ‘GREAT × JDC 프론티어’ 프로그램은 제주와 유사한 환경인 싱가포르를 대상 국가로 지정해 지역개발ㆍ국제업무 및 다양한 주제를 선장해 팀별로 구체적ㆍ체계적으로 탐방하는 것을 목적으로 한다. 또한 탐방 후 팀은 제주에 적용할 수 있는 국제자유도시 맞춤형 방안을 제시해 지역사회 발전을 위한 기반을 조성하고자 기획됐다. 제주대 지역선도대학육성사업단(단장 김재훈)과 제주국제자유도시개발센터(이사장 양영철))가 공동으로 주최했으며 총 11팀이 선발돼 탐방을 하게 된다. 선발된 학생들은 이주민과 다문화 가정 인식 및 제도개선, 제주 전통시장 활성화 방안, 제주 의료관광 활성화 방안, 제주 교통정책 및 버스시스템 발전방안, 제주 복합리조트 발전방안, 제주 생활 쓰레기 해결방안 등 다양한 주제로 8월말 출국해 약 일주일간 탐방을 할 계획이다. 제주대 관계자는 “자발적으로 프로그램에 참여해 연수계획서를 작성하면서 치열한 사전조사 및 국내ㆍ외 기관 컨택, 해외탐방의 경험이 대학생활의 큰 밑천이 될 것으로 기대하고 있다”고 말했다."
3,학부모 초청 학생부종합전형 특강 개최," “전형 상세설명, 1대1 맞춤형 상담 등 통해 실질적 도움 줘” 제주대학교(총장 김일환)는 지난 3일 제주시와 10일 서귀포시에서 제주도내 중·고교생 학부모를 대상으로 하는 ‘학부모 초청 학생부종합전형 특강’을 개최했다고 11일 밝혔다. 학부모와 수험생 등 약 100여명 가량이 참석한 이번 행사는 ‘코로나19’ 확산으로 정보습득이 어려웠던 학부모들에게 제주대 입학정보를 제공해 변화하는 입시환경에 대응하고 자녀 진로설계역량을 높여주기 위해 마련됐다. 오후 7시부터 약 90분 동안 진행된 특강은 2023학년도 제주대 대입전형 및 학생부종합전형에 대한 상세 설명과 함께 입학사정관과 궁금증을 해결하는 1:1 맞춤형 상담도 진행돼 참석자들에게 실질적인 도움을 줬고 반응도 좋았다고 제주대는 설명했다. 이은주 입학본부장은 “정보가 부족한 제주도내 학부모들에게 대입에 대한 부담을 덜고 학생부종합전형에 대한 이해도를 높이기 위해 이번 특강을 준비했다”며 “도내 우수 인재를 자녀로 둔 학부모들에게 유익한 시간 되도록 노력했고 이런 행사를 지속적으로 운영해 학부모와 수험생의 입시 부담 완화와 궁금증 해소를 적극 지원하겠다”고 밝혔다."
4,"대학일자리플러스센터, 전·현직 채용면접관과 함께하는 면접 오디션 운영","   제주대학교 대학일자리플러스센터(센터장 여인규)는 오는 22일부터 재학생·졸업생 및 취업준비 지역 청년들을 대상으로 ‘전ㆍ현직 채용면접관과 함께하는 면접 오디션’을 운영한다고 9일 밝혔다. 이번 면접 오디션은 22일 면접특강(ZOOM), 23, 24일 모의면접 진행 및 피드백(대면)으로 진행되며 전ㆍ현직 채용면접관이 강사로 참여한다. 대학일자리플러스센터는 “강사진을 어렵게 꾸려낸 만큼 이번 프로그램을 통해 갈수록 늘어나는 면접에 대한 어려움을 한층 덜어낼 수 있기를 바란다”고 밝혔다. 신청문의 ☎ 064-754-2304."
5,"지능소프트웨어교육연구소, SWㆍAI교육 공동연구 추진"," 소프트웨어정책연구소-한국정보과학회 전산교육연구회와 업무협약 제주대학교 지능소프트웨어교육연구소(소장 조정원)와 소프트웨어정책연구소(소장 박현제) 및 한국정보과학회 전산교육시스템연구회(부위원장 이영석)는 지난 8일 경기도 성남시에 위치한 소프트웨어정책연구소에서 SW(소프트웨어)ㆍAI(인공지능) 교육 공동연구 및 협업을 위한 업무협약을 체결했다. 이들 3개기관은 협약을 통해 △SWㆍAI 교육 상호 협력을 위한 컨소시엄 구성 △SWㆍAI 교육 정책 개발 및 확산 △SWㆍAI 교육 교육과정 컨설팅 및 성과 공유 △SWㆍAI 교육 교육과정, 교수·학습 및 평가 방안 연구 등을 협력해 추진키로 했다. 업무 협약식에는 조정원 소장, 박현제 소장, 이영석 부위원장을 비롯한 3개 기관 관계자들이 참석했다. 소프트웨어정책연구소는 지난 2014년 3월 국가 차원의 소프트웨어정책과 전략을 수립하기 위해 출범한 국내 유일 소프트웨어 정책의 씽크탱크(Think Tank)로서의 역할을 수행하고 있다. 한국정보과학회 전산교육시스템연구회는 전국 컴퓨터 전공 교수들로 구성된 컴퓨터 교육 및 연구를 목적으로 하는 연구단체다. 1978년에 창설된 이래 디지털 대전환의 선도자로서의 역할을 하고 있다. 제주대 지능소프트웨어교육연구소는 2021년 한국연구재단의 인문사회연구소지원사업에 선정돼 우리나라를 대표하는 초ㆍ중등 인공지능 교육의 거점 연구기관이며 컴퓨팅사고력 함양과 디지털 격차 해소 등에 연구 역량을 집중하고 있다. 조정원 소장은 “3개 기관 간 SWㆍAI 교육의 주된 목표라 할 수 있는 컴퓨팅사고력을 주제로 하는 공동연구 과제 도출을 위한 협의를 시작으로 SWㆍAI 교육을 위한 실질적인 정책 마련 및 교육 환경의 개선을 위해 함께 노력해 나가겠다”고 밝혔다."
6,"송우람 교수, 제15회 여천생태학상 수상자 선정","제주대학교 생물학과 송우람 교수가 제15회 여천생태학상 수상자로 선정됐다. ‘여천생태학상’은 기초생태학 분야에서 연구 업적이 탁월한 차세대 생태학자를 표창하기 위해 고(故) 여천 김준호 서울대 명예교수가 사단법인 여천생태연구회(이사장 정연숙 강원대 교수)에 기증한 기금을 바탕으로 2005년 제정됐다. 송 교수는 2019년 3월 소나무림에서 참나무림으로의 천이에 미치는 하층식생과 낙엽층의 영향을 규명한 논문을 <Scientific Reports>에 발표했다. 송 교수는 이 논문에서 소나무림 밑의 하층 식생과 신갈나무림 밑의 낙엽층이 산림 천이 과정에 중요한 제한요인으로 작용함을 밝혀낸 업적을 인정받았다. 송 교수는 이 외에도 식물생태학 분야에서 외래식물의 침입기작의 규명, 환경생태독성 평가기법 개발, 수심에 따른 수생식물의 적응도 차이 규명 등 다양한 분야에서 연구 성과를 내기도 했다. 현재 송 교수는 나노물질과 미세플라스틱의 생태독성, 곶자왈 내 희귀 식물의 보전방안에 대한 연구, 기후변화에 대응하는 옥상녹화 도입, 침입 외래종의 분포와 관리방안에 대한 연구를 진행하고 있다. 시상식은 여천생태연구회와 한국생태학회(회장 이훈복 서울여대 교수) 공동 주관으로 오는 11일 경북대에서 열린다. 수상자에게 상패와 함께 상금 1500만원이 수여된다."
7,"대학일자리플러스센터, 2주완성 전산세무2급 자격취득 대비반 운영",   제주대학교 대학일자리플러스센터(센터장 여인규)는 오는 16일부터 재학생·졸업생 및 취업준비 지역청년들을 대상으로 ‘2주완성 전산세무2급 자격취득 대비반’을 운영한다고 4일 밝혔다. 특강은 에듀윌 소속 전문 강사가 ZOOM을 통해 진행하게 되며 교재(필기+실기)가 제공된다고 한다. 교재는 모집 마감 후 개별 배송 예정이다. 대학일자리플러스센터는 “전산세무관련 역량준비를 하는데 실질적인 도움이 될 수 있길 바란다”고 밝혔다. 신청문의 ☎064-754-2304.
8,"원자력과학기술연구소, KOLAS 국제공인시험기관 인정"," 제주대학교 원자력과학기술연구소(소장 최수석 교수)는 한국인정기구에서 운영하는 ‘KOLAS(Korea Laboratory Accreditation Scheme) 국제공인시험기관’에 인정됐다고 3일 밝혔다. KOLAS 국제공인시험기관 인정은 한국인정기구가 국제 표준에 따라 시험기관의 품질시스템과 기술능력을 평가해 측정분야에 시험능력이 있다는 것을 공식적으로 인정하는 제도다. 이번 인정받은 것은 식품의약품안전처 고시 ‘식품의 기준 및 규격’의 ‘식품 중 위해물질 시험방법’ 중 방사능분야며 국내 대학 중 ‘방사선, 방사능, 중성자’ 중분류로 인정받은 공인시험기관은 제주대가 유일하다. 제주대 원자력과학기술연구소는 이번 국제공인시험기관 인정을 통해 방사능시험에 대한 전문성과 기술력을 공식적으로 인정받게 됐다.   최수석 제주대 원자력과학기술연구소장은 “연구소가 지난 40년 동안 원자력 및 방사선 분야에서 지역사회 기여를 위해 활동하고 있으며, 그 성과들을 바탕으로 방사선 측정의 기술력을 객관적으로 인정받았다”며 “앞으로 제주지역 농수산물, 지하수 및 수돗물 등의 방사능 측정을 더욱 체계적으로 할 수 있게 됐다. 일본 후쿠시마 원전 사고 등에 따른 방사능 이슈에 대한 제주도민의 걱정을 덜 수 있도록 지속적으로 노력하겠다”고 밝혔다. 제주대 원자력과학기술연구소는 이번 인정받은 방사성 세슘(Cs-134, Cs-137)과 방사성 요오드(I-131) 이외에도 해수에 존재하고 있는 삼중수소(H-3)와 방사성 스트론튬(Sr-90) 시험에 대해 국제공인시험기관 인정을 확대해 추진할 계획이다."
9,"기초과학연구소 스타브릿지센터, ‘사이언스 진로탐험대’ 행사 개최"," 제주대학교 기초과학연구소(소장 김명숙) 스타브릿지센터는 지난 2일 넥슨컴퓨터박물관에서 ‘사이언스 진로탐험대’ 프로그램 행사를 개최했다. 이번 프로그램은 초ㆍ중학생을 대상으로 과학기술분야 진로탐험 활동 기회를 제공해 컴퓨터 분야 진로탐색에 대한 관심과 연관된 직업의 다양성 이해 등 과학기술 변화에 대응할 수 있는 자기 주도적 진로 역량 및 사고력 향상을 유도하기 위해 마련됐다. 넥슨컴퓨터박물관은 이날 프로그램에 참여한 학생들에게 IT 분야의 진로탐색을 위해 ‘꿈이 IT니?’라는 주제의 강연과 도슨트 투어 등의 참여형 관람을 제공했다. 진로체험 활동에 참여한 학생들은 IT분야와 연관된 △그래픽 디자이너 △사운드 디자이너 △기획자 △프로그래머 등 다양한 직업군에 대해 이해할 수 있었고, 다음에도 이와 같은 진로탐험 프로그램에 참여를 희망한다고 의견을 밝혔다. 스타브릿지센터는 과학기술 전문기관과 학생들을 연계해 급속한 과학기술 발전에 따른 교육 소외 학생들의 과학교육 격차를 줄이고 과학기술분야 진로에 대한 관심을 유도하기 위해 오는 9월과 11월에도 진로탐험대 프로그램을 진행할 예정이다."
