,제목,내용
0,"삼척 재경강원대총동문회, 핸드볼팀 후원품 전달","재경강원대총동문회(회장 김영도)가 지난 8월 8일 삼척캠퍼스를 찾아 7월 유럽 코소보에서 열린 「FISU 세계대학 핸드볼 월드컵」 남자부 준우승 차지한 핸드볼팀에게 후원품(쌀 20포대)을 전달하였다.이호 재경강원대총동문회 사무총장은 “힘든 훈련을 참고 우수한 성적으로 학교 위상을 높여 감사드리며, 동문회원들의 따뜻한 마음을 담아 희망을 전달해 나가겠다”고 말했다.박현종 핸드볼팀 감독은 “동문들의 관심에 감사드리며, 더 노력하는 자세로 경기력 향상을 통해 더욱 좋은 성과를 얻을 수 있도록 노력하겠다”고 밝혔다."
1,춘천 하이트진로㈜와 「주류용 우수 효모 자원 확보 연구협력 협약」 체결 및 「Yeast Foundry Center」 현판 제막식 개최,"우리대학과 하이트진로㈜(대표이사 김인규)가 8월 11일(목) 누룩연구소에서 「주류용 우수 효모 자원 확보 연구협력 협약」을 체결하고, 「강원대학교 – 하이트진로㈜ Yeast Foundry Center」 현판 제막식을 개최했다.이번 협약식에는 김헌영 총장과 김인규 하이트진로㈜ 대표이사를 비롯해 양 기관 관계자 10여명이 참석하였으며, 앞으로 양 기관은 고품질 주류 생산을 위한 우수 종균 개발을 위해 다양한 협력사업을 추진할 계획이다.구체적인 협약 내용은 고품질 주류 제조 목적 우수 균주 자원 개발 우수 효모 자원의 상용화를 위한 종균 배양 및 발효 기술 협력 국내 자생 우수 국균 발굴 효모 유래 건강 기능성 물질 탐색 및 효능성 평가 연구 협력 양 기관 간 보유 장비에 대한 공동 활용 및 지원 기타 주류 산업 육성 및 양 기관 간 상호 협력을 위해 필요한 사항 등이다.김인규 하이트진로㈜ 대표이사는 “하이트진로는 제품 포트폴리오 다각화와 글로벌시장 진출을 위해 기초연구 분야에 많은 노력을 기울이고 있다”며 “강원대학교와의 이번 협력을 통해 양 기관이 한층 더 발전하고 성장하는 계기가 되기를 바란다”고 밝혔다.김헌영 총장은 “이번 협약을 통해 양 기관이 각자의 역량과 자원을 활용해 세계인의 입맛을 잡을 토종 효모종균과 술이 탄생하는 계기가 되기를 기대한다”며 “앞으로도 양 기관의 긴밀한 협력관계를 통해 산학협력 네트워크를 강화하는데 총력을 기울이겠다”고 말했다."
2,춘천 「강원도 주재 중앙부처 협력관 초청 간담회」 개최,"우리대학은 8월 10일(수) KNU미래도서관 5층 대회의실에서 「강원도 주재 중앙부처 협력관 초청 간담회」를 개최했다.이날 간담회에는 김대중 교학부총장과 서영호 기획처장 등 우리대학 보직자와 강원도 주재 국회 협력관인 김두성 부이사관을 비롯해 서동진 기획재정부 협력관 석진만 통일부 협력관 장영재 국방부 협력관 염규봉 환경부 협력관 유태동 법제처 협력관 송갑수 산림청 협력관 등 20여명이 참석했으며, ‘지자체-대학 협력기반 지역혁신사업(RIS 사업)’의 성공적인 추진 등 지역-대학 간 상생발전 방안을 모색하기 위한 논의가 펼쳐졌다.이번 간담회에서는 장철성 산학협력단장이 「지자체-대학 협력기반 지역혁신사업(RIS사업)」에 대해 소개했으며, 이어 참석자들은 ‘강원지역혁신플랫폼’ 추진 및 ‘강원특별자치도’ 출범 등과 관련한 다양한 정책 아이디어에 대해 의견을 나누는 시간을 가졌다.특히, 우리대학과 강원도 주재 중앙부처 협력관들은 민선 8기 강원도정의 출범을 계기로 대학과 지역이 더욱 긴밀히 협력해야 한다는 점에 공감했으며, 앞으로 정기적인 소통 및 정보 공유를 통해 지역사회 현안과 주민들의 의견을 중앙부처에 전달하는 가교역할을 충실히 해나가기로 했다.송갑수 강원도 주재 산림청 협력관은 “RIS사업과 강원특별자치도 출범을 통해 달라질 강원도의 모습을 기대하며, 이러한 성과들이 강원도 주민들에게 체감될 수 있도록 실질적인 정책을 마련돼야 할 것”이라며 “앞으로도 대학의 전문가와 지자체 정책을 실행하는 공무원들이 직접 만나 소통하는 계기가 더욱 늘어나길 기대한다”고 말했다.서동진 강원도 주재 기획재정부 협력관은 “지역 발전을 위해서는 지역의 인재들이 지역에 남아 지역경제와 발전에 기여할 수 있도록 하는 선순환 생태계 구축이 중요하다”며 “중앙부처에서도 지역과 대학의 발전을 위해 지원할 수 있는 부분을 적극적으로 발굴해 협력할 수 있도록 노력하겠다”고 밝혔다.김대중 교학부총장은 “강원대학교는 2016년 ‘Vision 2030’을 수립하고 ‘오픈 캠퍼스’ 사업을 시행하며, 캠퍼스 혁신파크, RIS사업 등 대규모 국책사업들을 지속적으로 유치하는 성과를 거두었다”며 “향후 5년간 2,140억원이 투입되는 RIS사업을 비롯해 강원특별자치도 출범을 앞두고 중앙부처의 지원과 역할이 중요한 만큼, 앞으로도 많은 관심과 협력을 바란다”고 강조했다."
3,"도계 도계캠퍼스, 지역 초등학생 대상 생존 수영 및 해양 레저 스포츠 프로그램 운영","- 강원대학교 Open Campus 프로그램 -우리대학 도계총괄본부는 도계캠퍼스 Open Campus 사업의 일환으로 지난 8. 8.(월) ~ 8. 9.(화) 양일간, 강원대 해양관광레저 스포츠센터에서「지역 초등학생 생존 수영 및 해양레저」프로그램을 운영했다.이번 행사는 Open Campus 프로그램으로 삼척·도계 지역 초등학생들 40명을 대상으로 △ 생존 수영 기초 △ 구조법 △ 저체온증 극복 훈련 △ 해양 레저 체험 등 수영 및 해양 레저 관련 이론 및 실습 교육을 진행했다.도계캠퍼스에서는 지역 초등학생 대상 코딩 교육, 청소년 대상 드론 캠프, 어르신 대상 손뜨개 물품 전달식 등 지역주민을 위한 다양한 과정을 지속적으로 운영해왔으며, 이번 동계방학 기간 중에도 해양관광레저스포츠센터와 연계하여 스키캠프 등 동계 스포츠 관련 프로그램도 운영할 계획이다.전병진 도계총괄본부장은 “삼척의 지역 강점을 활용한 이번 프로그램을 통해 생존의 기본을 익히고 사고에 대처할 수 있는 위기 대처 능력을 키울 수 있는 기회가 되었으면 좋겠다.”라고 밝혔다.프로그램에 참가한 도계초등학교 6학년 재학생은“바다에서 수영을 해보니 생존 수영이 얼마나 중요한지 알게 되었고, 위기 상황을 대처하는데 도움이 많이 될 것 같다. 다음에는 서핑 등 다양한 체험활동을 친구들과 참여해 보고 싶다.”라며 소감을 밝혔다."
4,삼척 방재전문대학원 「재난관리분야 전문인력 양성사업」교육기관 4회 연속 선정,"우리대학 방재전문대학원(원장 윤정의)이 행정안전부 주관 ‘재난관리 분야 전문인력 양성사업’ 교육기관으로 4회 연속 선정되어 지난 4일 행정안전부와 협약을 맺었다.이번 사업 선정에 따라 강원대학교는 향후 2년간 총 3억 원의 정부 예산을 지원받아 재난관리 분야 전문인력을 양성하게 된다.강원대 방재전문대학원은 국가적 수요를 반영한 재난관리 분야 맞춤형 교육과정 운영, 재난 저감을 위한 실무기술 고도화 및 연구를 통해 재난관리 분야 교육·연구역량을 극대화할 예정이다.사업단장을 맡게 된 방재전문대학원 전계원 교수는 현재 한국방재안전학회 회장직을 수행하고 있으며, 이번 사업을 통해 “재난관리에 대한 새로운 변화와 시대적 흐름에 부합하도록 AI 기술을 접목한 교육과정 개편과 이론과 실무를 겸비한 전문화된 Global 석·박사 양성을 추진하겠다”고 밝혔다.한편, 방재전문대학원은 국내 최초로 재난분야 석·박사 과정이 개설된 전문대학원으로 2016년을 시작으로 4회 연속 행정안전부 ‘재난관리분야 전문인력 양성 교육기관’으로 선정되었으며, 체계적인 교육과 과학적인 연구 인프라를 바탕으로 재난관리 분야의 실천적 이론 및 실무중심의 교육과정 편성을 통해 국가·사회적으로 필요한 ‘현장맞춤형 재난관리 인력양성’을 수행하고 있다. 또한, 2023년부터 AI소프트웨어학과와 5년제 학·석사 통합과정을 연계·운영할 예정이다."
5,춘천 「외국인 유학생 해양스포츠 체험교실」 개최,"국제교류처(처장 김경태)는 8월 5일(금) 삼척캠퍼스 해양관광레저스포츠센터(센터장 박훈)에서 「2022년 외국인 유학생 해양스포츠 체험교실」을 개최했다.이번 행사는 한국에 머물고 있는 외국인 유학생에게 강원도 동해안의 여름 정취를 경험할 수 있는 기회를 제공하고, 단체 스포츠 활동을 통한 유학생 간 교류 증진과 협동심 고양을 위한 행사로 마련됐다.이번 행사에는 우리대학 학부·대학원 학위과정에 재학 중인 외국인 유학생 30명을 대상으로, 생존수영 수상구조 스노쿨링 카약 바나나보트 등의 수상활동을 순환체험하는 교육을 진행했다.김경태 국제교류처장은 “유학생들이 평소 쉽게 체험할 수 없었던 해양스포츠를 유학생 친구들과 함께 참여함으로써, 한국에서의 유학생활에 특별한 추억을 만들 수 있는 기회가 됐을 것으로 기대한다”며 “앞으로도 유학생들이 강원도의 아름다운 자연경관을 체험하고 한국에서 색다른 경험을 할 수 있는 다양한 프로그램을 마련하겠다”고 밝혔다.한편, 국제교류처는 ‘2022 파란사다리’, ‘2022 KNU 온라인 써머 프로그램’ 등 내·외국인 학생들의 교류 증진과 글로벌 경쟁력 향상을 위한 프로그램을 운영하고 있으며, 올해 하반기에는 ‘춘천 시티투어’, ‘유학생 연탄봉사’등 유학생들의 한국문화 체험을 위한 다양한 사업을 추진할 계획이다."
6,"춘천 소프트웨어중심대학사업단-주식회사 비플렉스, 「IT/SW분야 전문인력 양성을 위한 업무협약」 체결","소프트웨어중심대학사업단(단장 임현승)은 주식회사 비플렉스(대표이사 정창근, 정주호)와 8월 4일(목) 강원대학교 공과대학 6호관 AI/빅데이터 오픈협업라운지에서 「IT/SW분야 전문인력 양성을 위한 업무협약」을 체결했다.‘주식회사 비플렉스’는 카이스트 출신 생체역학 연구자들이 2016년 창업한 벤처기업으로, 움직이는 사람의 자세를 실시간으로 모니터링 할 수 있는 알고리즘 기술을 보유하고 있다.또한, ‘주식회사 비플렉스’는 경기도 용인에 소재한 전자기기 부품업체 ‘솔루엠’과의 기술 협업을 통해 디지털 헬스케어 분야에서 차별화된 애플리케이션 개발에 박차를 가하고 있으며, 최근 벤처캐피탈 업계에서 36억원 규모의 신규자금 투자 집행, 누적 투자금 55억원 이상을 기록했다.이번 협약식에는 임현승 소프트웨어중심대학사업단장과 박대인 비플렉스 이사를 비롯한 관계자 10여명이 참석했으며, 앞으로 양 기관은 IT/SW 전문인력 양성 및 채용, 정보 및 기술 교류, 공동연구 개발 등에 협력하여 상호 발전을 도모해 나가기로 뜻을 모았다.구체적인 협약 내용은 현장실습 교육을 통한 전문 인력의 채용기회 확대 산학 연계 교육프로그램의 개발 및 운영 세미나/워크숍 등을 통한 기술정보 교류 및 공동과제 연구 활성화 산업현장 견학 및 전문인력 양성에 필요한 공동지원 등이다.소프트웨어중심대학사업단은 IT/SW분야의 실무형 인재 양성과 취업 연계를 위해 매년 다양한 현장실습 프로그램을 운영하고 있으며, 현재 총 41개 기업이 참여하고 있는‘학점연계형 현장실습학기제’의 참여기업·학생 규모를 더욱 확대해나갈 예정이다.임현승 소프트웨어중심대학사업단장은 “이번 협약을 통해 강원대학교 학생들의 SW분야 취업 활성화를 도모할 수 있을 것으로 기대한다”며 “앞으로도 인력 양성이 필요한 기업과 대학의 상호 협력 생태계가 조성될 수 있도록 최선을 다하겠다”고 밝혔다."
7,"춘천 강원권역 대학원격교육지원센터, 2차년도 사업운영 성과평가 「우수사업단」 선정","교육혁신본부(본부장 안세현)가 운영하는 ‘강원권역 대학원격교육지원센터’가 2차년도 사업운영 성과평가에서 ‘우수’ 등급을 받아 「우수사업단」으로 선정됐다.교육부와 한국교육학술정보원이 주관하는 「대학원격교육지원센터」는 전국에 10개의 권역센터가 운영되고 있으며, 코로나19 사태를 계기로 대학의 원격교육 활성화 및 미래교육 체제로의 전환을 통해 대학교육의 경쟁력을 강화하기 위한 목적으로 2025년까지 추진되는 사업이다.「강원권역 대학원격교육지원센터」는 ‘강원권역 원격교육 공동 플랫폼 구축 및 고도화’를 목표로, 컨소시엄 대학인 강원대학교, 한림성심대학교와 강원도내 14개 대학이 참여하고 있으며, LMS(온라인 학습관리시스템) 구축 및 운영 원격강의 제작 스튜디오(소형·중대형) 구축 및 운영 공동활용 콘텐츠 제작 대학원격교육 혁신지원 등의 프로그램을 운영하고 있다.이번 평가는 총 사업기간(5년) 중 2차년도(2021.3.~2022.2.)의 사업 운영 성과를 평가했으며, 특히, 「강원권역 대학원격교육지원센터」는 2차년도 사업에서 지역대학의 성공적인 온라인 교육체계 마련에 기여하고, 3차년도에 추진 예정인 ‘공동활용 스튜디오 운영 및 활성화 방안’의 계획 실적에서 좋은 평가를 받아 우수사업단 선정의 영예를 안았다.「강원권역 대학원격교육지원센터」는 강원도내 8개 대학에 학습관리시스템(LMS, Learning Management System)을 구축·지원해 현재까지 총 85,564명의 이용자가 13,862개의 강좌를 수강했으며, 총 12개 대학에 20개의 공동활용 스튜디오를 설치하고 492개의 교육콘텐츠를 제작하는 성과를 거두었다.안세현 강원권역센터장은 “1차년도에 이어 2차년도에도 좋은 평가를 받아 기쁘게 생각한다”며 “이번 성과 결과를 토대로 강원권역내 원격교육 플랫폼 구축 고도화 추진 및 양질의 원격수업 콘텐츠 개발에 박차를 가하여 수준 높은 원격교육이 제공될 수 있도록 최선을 다하겠다”고 밝혔다."
8,"춘천 대학일자리플러스센터, 강원도 취업지원기관 3곳과 「지역청년 역량강화를 위한 업무협약」 체결","대학일자리플러스센터(센터장 하석진)는 8월 4일(목) 강원도일자리재단, 강원도인적자원개발위원회, 강원테크노파크 등 강원도 청년취업 지원 공공기관 3곳과 「지역청년 역량강화를 위한 업무협약」을 각각 체결했다.대학일자리플러스센터는 이날 오전 11시 강원도일자리재단 회의실에서 ‘강원도일자리재단’ 및 ‘강원도인적자원개발위원회’와 업무협약식을 개최했으며, 이날 행사에는 하석진 대학일자리플러스센터장, 박광용 강원도일자리재단 대표이사 및 박동언 강원도인적자원개발위원회 위원장 등 협약 참여기관 관계자 20여명이 참석했다.이어, ‘강원테크노파크’와 이날 오후 4시 30분 강원테크노파크 회의실에서 하석진 대학일자리플러스센터장과 성조환 강원테크노파크 기업지원단장을 포함해 양 기관 관계자 10여명이 참석한 가운데 협약을 체결했다.이번 협약에 따라, 대학일자리플러스센터와 각 협력기관은 지역 청년들의 진로 지도와 취업역량 강화 지원 일자리 상담 및 취업기회 제공 청년 정책 전달 및 공유 지역 산업 맞춤형 훈련 프로그램 공동운영 청년공동체 형성을 위한 네트워크 구축 등 다양한 협력사업을 추진할 계획이다.하석진 대학일자리플러스센터장은 “이번 협약을 통해 강원대학교 대학일자리플러스센터와 지역사회 및 기관과의 협력을 더욱 강화하고 지역 발전에 기여할 것으로 기대된다” 며 “앞으로도 지역 내 청년들을 위한 진로 지도와 취업역량 강화를 위해 노력하겠다”고 밝혔다."
9,"춘천 재경총동문회, 「강원쌀 소비촉진 운동」 동참","우리대학 재경총동문회(회장 김영도)는 8월 3일(수) 농협 강원지역본부(본부장 김용욱)를 방문해 「강원쌀 소비촉진 운동」에 동참하기로 약속했다.재경총동문회는 올해 쌀 소비 부진 등으로 인한 산지 재고 증가와 쌀값 하락에 따른 고향 농업인의 어려움을 조금이나마 덜어주기 위해 이번 운동에 동참했다.이날 재경총동문회는 강원쌀 400㎏을 우선 구매했으며, 재경총동문회 회원들을 대상으로 강원도 고향쌀 구매를 독려하는 등 쌀 소비촉진 운동을 확대해 나갈 계획이다.이호 재경총동문회 사무총장은 “농업인들의 어려움을 함께 공감하고 위기를 극복해 나가자는 의미에서 동참을 결정했다”며 “앞으로도 재경총동문회는 강원 고향 농산물 판매·소비 확대를 위해 최선을 다하겠다”고 말했다."
