대학교명,내용
건국대학교,"지난 10일 2022학년도 2학기 수강바구니 기간이 모두 마무리된 가운데 12일부터 본격적으로 수강신청 기간이 시작된다. 학교 홈페이지에 따르면 12일 장애학생 대상 수강신청을 시작으로 16일부터 19일까지 △4학년(16일) △3학년(17일) △2학년(18일) △1학년(19일) 수강신청이 진행된다.한편 수강신청의 편리성을 높이기 위해 지난 학기 이뤄진 수강신청 시스템 개편 이후, 시스템에 대한 새로운 문제점이 제기되기도 했다. 개편된 수강신청 시스템에선 공석이 없는 강좌를 오후 5시 이후 삭제할 경우 다음 날 오전 9시 30분에 신청할 수 있다. 이때 설정 시각인 오후 5시가 너무 이르다는 민원이 학사팀을 통해 접수됐다. 학사팀은 ""학교 행정부 업무 종료 이후까지 시간을 연장하면 수강신청 관련 문제가 발생했을 때 원활한 대응이 어려울 수 있다""고 전했다. ""시간에 제한을 두지 않으면 접속량이 적은 새벽 시간대에 수강매매가 이루어질 수 있다""고 덧붙였다.일부 학과의 다전공생은 전체 수강신청 기간에만 신청을 할 수 있어 불공평하다는 의견도 제기됐다. 학사팀은 ""원전공생들은 다·부전공 학생들보다 이수해야 하는 전공과목이 많기 때문에 학년별 수강신청 기간에 다·부전공 학생들이 신청할 수 있도록 하면 원전공 학생들의 불이익이 커질 수 있다고 판단했다""고 설명했다. 총학생회 역시 ""학과 특성을 존중해 자율에 맡길 것""이라며 ""단과대 교학소통위원회를 통해 다전공생의 수강신청 기회를 확대할 방안 논의를 부탁드렸다""고 전했다.총학은 ""수강신청 시스템이 새로 바뀐 지 얼마 되지 않아 서버 안정화 문제를 비롯해 여러 방면의 문제점을 완화하고자 지속적으로 모니터링 중""이라며 ""알파테스트를 통해 본 수강신청 시에는 큰 문제가 발생하지 않도록 노력하고 있다""고 설명했다. 이어 ""단과대별로 수강신청 TF팀을 구성해 수강신청 당일 발생하는 문제들에 즉각 대처할 수 있도록 할 것""이라 전했다."
건국대학교,"2022학년도 2학기 수업 운영 및 성적평가방법이 지난 22일 학교 홈페이지를 통해 발표됐다.발표된 운영안에 따르면 수업은 강의유형과 상관없이 대면을 원칙으로 하되 교수학습센터의 사전 승인을 받은 이론 수업과 e-러닝 개설 가능 과목 등에 한해서만 비대면 수업이 가능하다.성적평가방법 및 고사 운영은 학사 규정에 따라 진행된다. ‘완화된 상대평가’를 통해 수강인원의 50% 이하에게 A등급(A+, A)을 부여했던 1학기와 달리, 2학기 상대평가는 수강인원의 35% 이하에게 A등급을 부여한다. 단, △교직 △실험 △실습 △실기 등의 교과목은 수강인원의 40% 이하까지 A등급을 부여한다. 지난 학기 절대평가로 운영됐던 △기교 △심교 △일선 교과목도 평점표상 수강인원이 10명 이상일 경우 상대평가가 적용된다.코로나19 재확산 등으로 인한 수업 운영 및 성적평가방법 변동 가능성과 관련해 학사팀은 “코로나19와 관련한 상황은 예측이 어렵다 보니 현시점에서 학사 운영 변동에 대해 자세히 논하기는 어려울 것 같다”고 답했다. 이어 “정부의 지침이나 교육부 안내 사항 등에 변화가 있다면 학사 운영에도 변동의 소지가 있겠으나 우선은 안내한 대로 진행할 것”이라 밝혔다.2022학년도 2학기 수업 운영 및 성적평가방법의 세부 내용은 ‘학교 홈페이지-공지사항-학사’에서 확인할 수 있다."
건국대학교,"신분증 출입권한 재등록이 진행 중인 후문 KT텔레캅 상황실. /사진·김창우 수습기자지난달 15일부터 우리 대학 전체 구성원(△교수 △학생 △직원)과 의학전문대학원 구성원 대상으로 신분증 출입권한 재등록이 진행 중이다. 학생회관 1층 로비에서 실시된 카드 재등록은 6월 30일로 마감됐으며 아직 카드 재등록을 하지 못한 경우에는 후문 KT텔레캅 상황실을 직접 방문해야 한다. 단, 카드 집중등록기간(6/15~6/30) 이후에도 교내 유동 인구가 많을 경우 학생회관에서 추가로 카드 재등록할 수 있는 자리가 마련될 수 있다.이번 카드 재등록은 스마트 캠퍼스 실현을 위해 시행되는 것으로 △방범장치 카드접촉 반응속도 향상 △전등제어 시스템 이용 △스마트 시스템 연동 모바일 신분증 이용 등의 개선이 이뤄질 예정이다.총무·구매팀 문상규 차장은 “모바일 시스템과 CCTV를 신규로 구축하면서 △보안 강화 △안정성 △편리성 등 개선하기 위해 신분증 재등록을 실시하고 있다”며 “다음 학기에는 모바일 앱이 출시돼 휴대폰으로 신분증 역할이 가능해질 것”이라고 전했다. 이어 문 차장은 “카드 재등록을 하지 않으면 모바일 시스템을 사용할 수 없다“며 “방학이라 등록하는 분들이 적은 것 같아 다가오는 개강 전후로 신분증 수거 및 교부를 계획하고 있다”고 말했다.한편 카드 재등록에 대해 배고은 학우(상생대·동자21)는 “카드를 잘 쓰지 않아 재등록해야 하는지 필요성을 못 느꼈다”며 “카드 재등록 관련 공지를 찾아봤는데 보이지 않았다”고 전했다. 최은영 학우(사과대·행정21)도 “방학이라 학생회관에 방문할 일이 없어 재등록하는지 몰랐다”며 “적극적인 홍보가 필요할 것 같다”고 말했다."
건국대학교,"2022학년도 2학기 인권서포터즈 8기 모집(~6/30)오는 30일까지 우리 대학 인권센터에서 디자인 서포터즈를 포함한 인권서포터즈 8기를 모집한다. 수요일 12~15시에 활동 가능한 재학생이라면 누구나 신청 가능하다. 우리 대학 인권센터 홈페이지를 통해 △신청서 △자기소개서 △개인정보수집동의서를 작성한 후 이메일(gender@konkuk.ac.kr)로 제출하면 된다.2022 SW중심대학 공동 AI 경진대회(6/13~7/22)오는 13일부터 내달 22일까지 ‘SW중심대학’ 소속 학생을 대상으로 공동 AI 경진대회 참가 접수가 진행된다. 예선은 ‘심리 성향 예측 AI 모델 개발’을 주제로 8월 1일부터 26일까지, 본선은 ‘한글 이미지 OCR솔루션 모델 개발’을 주제로 9월 8일부터 10월 7일까지 진행된다. 대회 관련 문의는 dacon@dancon.io를 통해 가능하다.건국 100년을 향한 ‘월 1만원 감동기부 릴레이’ 운동이달부터 우리 대학 대외협력처에서 학원창립 91주년을 맞이해 건국 100년을 준비하는 기부운동을 진행한다. 한 계좌당 월 1만원 씩 10년간(1계좌) 기부하는 기부 릴레이 운동이다. 기부금 입금계좌는 △신한 0009-1004-1004 △국민 042-01-0567-487 (예금주: 건국대학교)이다. 문의는 기금총괄 02) 450-3963을 통해 할 수 있다."
건국대학교,"거리두기 해제에 따라 캠퍼스 곳곳에서 대면 행사가 진행되는 가운데, 지난달 15일에 열린 KU융합과학기술원의 ‘융동회(융합과학기술원 운동회)’를 시작으로 지난 1일 진행된 문과대학의 ‘문동회’까지 단과대별 1학기 체육대회 일정이 마무리됐다.체육대회 단골 종목인 △축구 △풋살 △농구 △피구 △계주뿐만 아니라 융동회에선 이색 종목인 △전략 줄다리기 △학회장 의자 뺏기 등을 진행하기도 했으며, 운동 종목 외에도 이벤트 부스를 통해 게임 역시 즐길 수 있었다. 지난달 20일 공과대학 체육대회에선 △물총게임 △타투스티커 △페이스페인팅 부스 등을 선보였다. 이외에도 문과대학에서는 체육대회 테마와 맞는 인스타그램 필터를 제작해 학우들이 ‘문동회’ 동안의 추억을 기록할 수 있도록 했다.문동회(문과대학 체육대회)에서 농구 경기가 진행되고 있다. / 사진제공·문과대학 학생회문과대학 학생회 김상윤 기획국장은 3년 만에 열린 문동회 소감에 대해 “‘끝내 제자리로 돌아간다’고 요약할 수 있을 것 같다”며 “무더운 날씨에도 불구하고 적극적으로 참여해준 문과대학 8개 학과 학우님들께 감사를 표한다”고 답했다.한편 △예술디자인대학·이과대학(5/18) △사범대학·사회과학대학(5/23) △건축대학·경영대학(5/30)은 연합으로 체육대회를 열었다. 경영대 이강인 학생회장은 “연합으로 진행되는 체육대회다보니 기획단 및 팀 구성에 신경을 많이 썼고 기획 과정에서 마찰이 생기지 않도록 각별히 주의했다”고 전했다. 이어 “행사 당일에는 안전사고가 발생하지 않도록 준비운동 및 스태프 관리에 주의를 기울였다”고 덧붙였다.이밖에도 상허생명과학대학 체육대회는 2학기에 진행될 예정이며, 부동산과학원과 수의과대학은 체육대회를 개최하지 않는다."
건국대학교,"지난달 26일 새천년관 황소상 앞에서 진행된 ‘일상회복 맞이주간’ 동아리 공연 전경. /사진·조성재 기자지난달 25일부터 27일, 3일에 걸쳐 축소된 축제인 ‘일상회복 맞이주간’(이하 일맞주)이 우리 대학 캠퍼스 일대에서 진행됐다. 이번 행사는 △학내 동아리 공연 △부스 △푸드 트럭 등 다양한 즐길 거리로 구성됐으며 △외국인 학생들의 K팝 콘테스트 △KU챔피언스리그(축구대회) 또한 개최됐다. 특히 41년의 역사를 자랑하는 일감호 뱃놀이 행사는 승선 대기 시간이 2시간에 달하기도 했다.푸드 트럭 앞에서 식사 중이던 김미정 학우(공과대·사환공20)는 “20학번이라 2년간 축제를 즐기지 못했는데 처음으로 축제에 참여하게 돼 즐거웠다”며 “연예인은 오지 않았지만, 우리 대학 사람들끼리 공연하는 것도 좋았다”고 말했다. 핀란드 출신 교환학생 안나마리야르비넨 학우(경영학과)는 “향수 만들기 코너와 같이 전공과 연계된 체험 부스가 있는 등 체험할 것이 많아 좋았다”면서도 “타 대학처럼 연예인을 초빙한 큰 공연이 있었으면 더 좋았겠다”고 말했다.총학생회 재정사무국 이지원 차장은 “기획할 때 상상했던 그림과 비슷하게 나온 것 같아 뿌듯했다”며 “학우들이 자발적으로 참여하고 즐기는 모습을 보니 성취감이 들었다”고 소감을 밝혔다. 덧붙여 “손바닥으로 찍은 여러 가지 색깔들이 어우러지는 모습을 보며 일상으로 돌아갈 수 있겠다는 희망이 들었다”고 전했다.총학생회에서 주최한 이번 행사는 대형 축제가 기획되지 못한 1학기 상황을 고려해 코로나19 이후 활기를 되찾고 구성원 간 교류의 장을 마련하고자 기획된 것으로 과거 진행됐던 대동제와는 다른 행사다. 앞서 총학생회〈REBOOT〉는 2학기 중 성신의 예술제와 대동제(일감호 축전)를 통합한 새로운 형태의 축제를 기획하겠다는 공약을 내걸었다. 한편 총학생회 정소영 홍보소통국장은 2학기 대동제 개최 시기와 예상 규모 등에 대해 묻자 “아직 논의된 바 없다”고 밝혔다."
건국대학교,일감호에서 왜가리가 물고기를 잡아먹고 있다. 입에 물고 있는 물고기는 우리나라 전역에 서식 중인 대표 생태 교란어종인 큰입배스로 추정된다 
건국대학교,"지난 18일 우리 대학 인권서포터즈가 주최한 인권캠페인 ‘함께 하자KU’가 산학협동관 1층에서 열렸다. 해당 행사는 인권서포터즈가 직접 설명해주는 ‘인권을 알아봐요’, 이를 바탕으로 간단한 퀴즈를 풀어보는 ‘함께 풀어보는 인권퀴즈’, 간단한 게임 후 마스크 케이스와 스티커를 증정하는 ‘인권게임’으로 구성됐다.인권서포터즈는 교내 인권센터에서 운영하는 단체로 인권에 관심 있는 학우들이 모여 △인권존중·성평등 캠페인 활동 △인권센터 홍보활동 △인권센터 행사 지원 등의 활동을 한다. 서포터즈 내에서 디자인을 담당하고 있는 권순후 학우(사과대·정외 21)는 이번 행사를 기획한 계기에 대해 “참정권, 안전권 등 기본권에 대해 실생활에서 체감하기 힘든 경우가 많다”며 “퀴즈, 게임 등의 방법을 이용해 학우들에게 쉽고 재밌게 전달하고자 노력했다”고 밝혔다. 또한 권 학우는 “이번 행사가 5월 18일에 진행된 만큼 5·18 민주화 운동과 현재 진행되고 있는 우크라이나-러시아 전쟁의 의미를 기본권 중 하나인 저항권과 연결시켜 굿즈에 담았다”며 굿즈에 담긴 의미를 설명했다.캠페인에 참여한 송지윤 학우(사과대·정외 21)는 “인권서포터즈가 캠퍼스 내 학생들의 인권 향상을 위해 노력해준 덕에 학우들에게도 기본권에 대해 상기해보는 의미 있는 행사가 된 것 같다”는 소감을 전했다.함께 풀어보는 인권퀴즈 활동을 진행하고 있는 학우/사진·이승현 기자"
건국대학교,"지난 27일 우리 대학 의상디자인학과 졸업패션쇼가 온라인으로 개최됐다. 더불어 같은 기간 예술디자인대학 1층 A&D홀에서는 플리마켓을 열어 학우들이 디자인한 제품들을 판매했으며 2일과 3일 양일간 패션 필름이 KU시네마테크에서 상영됐다.이번 패션쇼의 주제인 ‘Borderline’은 경계선이라는 뜻을 담고 있다. 패션쇼를 계획한 이소영 의상디자인학과 교수는 “우리를 규정하는 기준, 그리고 이에 대한 범위를 어느 정도로 정해야 하는지를 찾는 과정을 5개 팀이 △내·외면의 경계 △꿈과 현실의 경계 △무와 극단적 지점의 경계 △농도가 다른 물질간의 경계 △문명과 야만의 경계라는 세부 주제를 설정해 담았다”고 말했다. 이어 “패션쇼의 컨셉 및 각 팀의 주제의식을 알고 의상 작품을 감상한다면 패션쇼 이해에 도움이 될 것”이라고 조언했다.이번 행사에 참여한 임민아 학우(예디대·의디18)는 “패션쇼 준비 초기에는 코로나19로 인해 온라인 전시 위주로 준비했으나 상황이 나아져 플리마켓과 필름 상영까지 준비할 수 있었다”며 “작년 9월부터 오랫동안 준비하며 힘들었지만 팀원들과 함께 결과물을 만들어낼 수 있어 기쁘다”는 소감을 밝혔다.예디대 1층 A&D홀에 열린 플리마켓에 전시된 작품들./사진·이승현 기자"
건국대학교,"경영대학 학생회가 중간고사 기간 벌어진 부정행위에 대한 입장문을 발표했다. 부정행위에 연루된 것이 확인된 학우들은 교수 회의를 통해 ‘4주 정학 및 해당 과목 F 처리’ 징계를 받게 됐다.경영대학 학생회에서 발표한 입장문에 따르면 ‘회계원리’ 과목의 중간고사는 4월 26일 줌을 이용한 비대면 시험으로 이뤄졌다. 시험 응시를 위해 K-HUB와 학생회실 쪽방에 있던 경영학과 집행부 내 일부 인원들이 시험 시간 중 서로의 답안을 비교, 검토하기 위해 움직인 사실이 확인됐다. 경위 파악 후 4월 29일 진행된 경영대학 국·차장 회의에서 관련 학우들에게 ‘집행부 무기한 자격정지’ 처분이 의결됐으며, 지난달 10일 관련 인원들의 징계가 교수 회의에서 최종 확정됐다.경영대학 행정실 측은 “이달 12일까지 정학 처리가 진행될 예정”이라며 “정학 기간 동안에는 학적이 변경돼 타 과목의 출석 또한 미인정된다”고 밝혔다.한편 경영대학 학생회 측은 입장문을 통해 “물의를 일으켜 죄송하다”는 뜻을 밝혔다. 이후 해당 사안에 대해 경영대학 학생회 및 과목 담당 교수는 추가 입장을 표하지 않았다.경영대학 학생회의 입장이 담긴 사과문/사진·학내 커뮤니티 ‘에브리타임’ 제공"
