,제목,내용
0,부산대-부산문화회관 협약 체결 지역 문화예술 역량 강화 협력,"부산대는 지역 문화예술 대중화 및 대학의 공연·전시 역량 강화를 위해 (재)부산문화회관과 「지역 문화예술 역량 강화 협력」 업무 협약식을 8월 10일 대학본부 4층에서 개최했다. 이번 협약은 미술·음악·무용 등 예술 전 분야에 걸친 인재 육성 기반 및 특화된 지역 문화예술 선도 역량을 보유하고 있는 부산대가 국가 거점 국립대로서의 역할과 역량을 펼치는 한편, 수도권에 비해 부족한 예술공연 인프라로 지역 예술문화를 시연하고 향유할 기회가 부족한 현실을 타개하기 위해 부산문화회관이 막중한 역할을 하고자 상호 협력함으로써 이뤄지게 됐다.양 기관은 이번 협약을 계기로 지역 문화예술계 발전과 대학의 공연·전시 역량을 강화하기 위해 상호 협력함으로써 다양하고 다채로운 공연과 교육 프로그램을 공동 개발해 나갈 계획이다. 부산대 학생·교직원 대상 부산문화회관의 공연 초청 및 할인 등 공연·전시 관람 혜택도 제공된다. 김석수 부산대 대외협력부총장은 이날 협약식에서 “대학 운영이 지속적으로 어려워지고 고등교육 분야에 대한 대외적 변수가 커지는 상황임에도, 국립대가 보유한 예술분야 인적·물적 자산은 지키고 유지해야 하며 지역 예술 발전에 공헌해야 하는 책무가 있다”고 말했다. 이정필 부산문화회관 대표이사는 “대내외적 환경이 어려운 시기일수록 지역의 문화예술은 시민에게 영감과 위안을 줄 수 있다고 생각한다. 지역에 터를 잡고 있는 국립대학과 예술인들이 합심하여 우리 지역만의 고유한 예술의 색과 향기가 널리 그리고 자주 퍼지길 바란다”고 밝혔다."
1,「우주발사체·우주수송 교육연구센터」 개소 과기부 사업 64억 원 투입…산학연 협력 사업 추진,"세계 7번째 국내 독자 기술로 개발된 우주발사체 누리호가 성공적으로 발사된 올해, 국가 거점 국립대인 부산대가 우주발사체 분야의 신기술 연구 및 개발 역량을 갖춘 전문인력 양성 사업을 본격화한다. 부산대는 과학기술정보통신부와 한국연구재단이 우주 분야 전문인력 양성을 위해 지원하는 미래우주교육센터 사업에서 ‘미래우주수송기술 연구센터’ 분야로 선정돼, 8월 8일 교내 기계관 국제회의실에서 「우주발사체·우주수송 교육연구센터(SLV·ST ERC)」(센터장 최정열·항공우주공학과 교수) 개소식을 개최했다. ※ SLV·ST ERC: Space Launch Vehicle·Space Transport Education and Research Center 개소식 2부에서는 한국항공우주산업㈜(KAI)과 부산대 간 ‘위성환경시험 협력을 위한 업무협약’이 체결되기도 했다. 우주발사체·우주수송 교육연구센터(SLV·ST ERC)는 국비 50억 원 및 지자체·산업체 대응자금 등 총 64억 원이 투입돼 2026년 12월까지 5년간 산학연을 연계한 우주발사체 전문인력을 양성하게 된다. 향후 부산대가 보유한 데토네이션엔진 원천기술을 바탕으로 인하대학교와 함께 발사체의 고성능 상단로켓 엔진을 개발하고 발사체 분야 스타트업 기업인 ㈜이노스페이스의 1단 로켓을 이용한 재사용 가능한 시험용 발사체를 개발, 시연할 계획이다. 발사체의 통신과 제어, 재사용 기술에는 대한항공㈜이 참여하고, 고성능 엔진 및 발사체 개발에는 한국항공우주연구원과 한국생산기술연구원에서 기술자문을 하기로 했다. SLV·ST ERC에서는 연구소와 산업계의 지원 하에 시험용 발사체의 개발 전 과정을 대학원생 중심으로 진행함으로써 실제 연구 개발 현장에 직접 투입이 가능한 인력을 양성함과 더불어, 발사체 분야 스타트업 기업 및 항공우주 분야 투자기관인 스타버스트, 한국우주기술진흥협회가 함께 참여함으로써 우주 분야 신산업을 창출할 수 있는 창업가 정신을 고취시키는 교육 프로그램을 계획하고 있다. 아울러 한국항공우주산업㈜(KAI), 한화에어로스페이스, 현대로템, 비츠로넥스텍 등 발사체 분야 기업체들이 참여함으로써 우주발사체 경쟁력 강화를 위한 신기술 개발 원천기술 연구도 진행한다. 이러한 신기술에는 대한항공이나 KAI의 아음속 및 초음속 공중발사체 기술, 한국원자력연구원의 심우주탐사용 원자력 엔진 등도 포함된다. 또한, SLV·ST ERC는 가덕도 신공항 이전 이후 대형항공기 운용이 가능하며 군수요자 및 대한항공 테크센터와 접해 있는 김해공항을 공중발사 모선(대형항공기)을 운용하는 우주공항으로 활용해 부산시를 우주물류의 거점 및 우주산업 중심지로 키우자는 방안을 제시하고 있다. 부산대 SLV·ST ERC가 우주발사체 분야의 여러 산업체와 연구기관 등이 함께하는 컨소시엄으로 시작하는 만큼, 여러 이해관계에서 상대적으로 자유로운 대학 교육기관으로서 발사체 분야의 산학연이 모여 자유롭게 소통할 수 있는 R&D 허브로서의 역할이 기대된다."
2,[아트센터] 지역작가 13인 초대전 <이 작가를 주목한다> 기획전시 개최,"아트센터(센터장 김윤찬·미술학과 교수)가 부산을 중심으로 다양한 분야에서 지역미술의 경계를 허물기 위해 왕성한 활동을 펼치고 있는 13인의 작가를 초대해 2022년도 두 번째 기획전 <이 작가를 주목한다>展을 개최한다. 7월 22일부터 오는 8월 18일까지 4주간 이어지는 이번 무료 전시에는 강이수, 김남진, 김태인, 류명렬, 박주현, 송협주, 신홍직, 이건희, 이용기, 이정윤, 조재임, 허필석, 홍익종 등 13인의 주목받는 지역작가들이 참가해, 한국화·서양화·판화·조소·공예 분야에 이르는 평면작품에서 입체조형까지 다양한 작품 54점을 소개해 지역민과 함께 감상할 수 있는 뜻깊은 시간을 마련했다. 김윤찬 아트센터장은 “지역작가의 작품전을 통한 역량 강화와 지역문화 활성화를 위해 마련한 이번 기획전은 독특한 개성의 평면, 입체조형의 작품세계를 선보임으로써 우리 모두에게 소중한 문화향유의 기회가 될 것”이라고 말했다. 이번 전시가 열리고 있는 부산대 아트센터는 부산 금정구 지역 내 최초의 미술작품전문 전시공간(NC백화점 8층)으로 2009년 3월 개관한 이래 매년 5회 이상의 기획전과 30여 회의 대관전을 개최하고 있다. 국내외 정상급 작가들의 뛰어난 예술작품을 만나고 젊고 참신한 청년작가들의 창조적인 아이디어를 발표하는 전시의 장으로서, 학내 구성원들과 시민들이 예술에 좀 더 친근하게 다가가고 보고 느끼고 향유하는 교육장으로서의 역할을 충실히 해 오고 있다."
3,[도시공학과] 정주철 교수 국가재난관리유공 행정안전부 장관 표창,"도시공학과 정주철(사진) 교수가 2021년도 국가재난관리 업무 추진에 이바지한 공로로 ‘2021년 국가재난관리유공’ 행정안전부 장관 표창을 받았다. 정주철 교수는 재난안전플랫폼기술개발사업 적정성 재검토 기획 연구, 지역 안전수준 측정 프레임워크 개발 및 컨설팅 등의 과제를 수행해 예방·대비·대응·복구 전반에 걸친 재난관리 업무와 관련된 제도 개선 방안 마련에 힘써 왔다. 행정안전부 기후재난 전문가 협의체 위원, 한국방재학회 학술위원장 등으로도 활동하며 재난관리와 관련된 지역사회 발전에 기여한 공로를 인정받았다. 정 교수는 재난관리 체계 연구뿐만 아니라 토지이용계획, 환경계획 및 정책, 스마트 성장관리정책 분야에서도 꾸준히 연구를 수행하고 있다"
4,[경영학과] BK21 디지털금융 교육연구단 글로벌핀테크산업진흥센터와 산학협력 MOU,"현장 중심의 비즈니스 문제 해결 교육을 시행하고 있는 부산대 경영학과 BK21 디지털금융 교육연구단(단장 홍태호)이 핀테크 관련 스타트업을 지원하는 (사)글로벌핀테크산업진흥센터와 산학협력 협약을 맺고, 글로벌 인재 양성과 부산 금융중심지 선진화에 적극 나선다. 양 기관은 지난달 28일 오후 부산국제금융센터(BIFC)에서 산학협력을 위한 협약을 체결하고, 향후 △디지털 미래기술을 이용한 신사업 발굴 △디지털금융 관련 연구 △인공지능 기반 빅데이터 분석기술 연구 △핀테크 분야의 선진화 △디자인적 사고 수행 학생들의 연구·교육 및 기업사례 제공과 자료 공유 등을 공동 추진하기로 했다. (사)글로벌핀테크산업진흥센터는 데이터를 기반으로 한 맞춤형 데이터 분석 교육과 데이터 구매 지원 사업을 하고 있으며, 부산대 경영학과에서는 현장 중심 교과목으로 ‘디자인적 사고(Design Thinking)’를 운영해 기업 혁신 창출 방법론을 배우고, 스타트업 기업이 참여해 교수와 학생들과의 협업을 통해 비즈니스 문제를 해결하도록 하고 있다. 특히, 지난해 신설한 ‘디자인적 사고’는 최근 대학에서 강조하는 혁신교육법인 PBL(Problem-Based Learning)을 적용한 캡스톤 디자인 교과목으로, 올해 2학기에는 인슈어테크(보험+기술) 분야에서 급성장 중인 스타트업 ㈜넥솔과 부산대 학생들과의 협업으로 공동 추진할 예정이다."
5,[나노메카트로닉스공학과] 반도체 교육 실시 LED 소자 과학체험캠프 및 나노 Fab 반도체 공정교육,"반도체 산업에 대한 사회 전반의 관심이 높아지고 있는 가운데, 부산대 나노메카트로닉스공학과에서는 지역 청소년 및 학부생을 대상으로 한 반도체 교육 프로그램(책임교수 조현)을 꾸준히 시행해 미래 인재 양성과 취업률 향상에 성과를 거두고 있다. 나노메카트로닉스공학과는 8월 1일과 2일 이틀간 경남 지역 고교생 16명을 대상으로 ‘LED 소자 과학체험캠프’ 프로그램을 실시했다. ‘2022학년도 국립대학 육성사업 과학창의체험 프로그램’ 사업의 일환으로 추진된 이 캠프는 지역 고교생을 대상으로 국립대학 실험실습 기자재를 활용한 공학교육 서비스를 제공함으로써 공학지식 교육 허브로서의 거점 국립대 역할을 수행하고 반도체 분야 지역인재 양성에 기여하고자 시행되고 있다. 2016년에 시작돼 현재까지 총 98명의 수료생을 배출했다. 올해 캠프는 나노기술이 만들어 가는 현재와 미래, LED 원리와 소자 제조공정 이론 교육과 교육용 나노 Fab에서 청색 LED 소자를 제조하고 발광특성을 확인하는 실험실습 체험 교육 등으로 진행됐다. 한편, 나노메카트로닉스공학과는 ‘2022학년도 부산대 대학혁신지원사업 단과대학/학과(부) 특화 진로설계 지원 비교과 프로그램’인 ‘나노 Fab 공정교육’을 8월 3일부터 5일까지 사흘간 개최했다. ‘나노 Fab 공정교육’은 이 학과의 시그니처 비교과 실험실습 프로그램으로 3·4학년 학부생들이 학과 교육용 나노 Fab에 구축된 반도체소자 공정장비를 활용한 Photolithography Patterning / Plasma Etching / Film Deposition / Metallization 공정으로 III-족 질화물 반도체 광소자를 일괄 제조하는 실험실습을 통해 반도체 공정 실무능력을 배양하는 프로그램이다. 올해 24명을 포함해 지금까지 총 201명이 참여했으며, 학부생의 반도체 분야 취업역량 강화에 기여해 2017~2021학년도 학과 취업인원 중 반도체 분야 취업률이 63%에 달할 정도로 큰 성과를 거뒀다."
6,[윤리경영전략센터] 부산지속가능발전대학 수료식 개최 대학(원)생·NGO·시민 대상 4주 교육 실시,"윤리경영전략센터(센터장 김석수·국제전문대학원 교수)는 대학(원)생, NGO, 시민을 대상으로 2022년도 부산지속가능발전대학 5기 수강생을 모집해 4주간의 교육을 마치고 7월 28일 수료식을 개최했다. 윤리경영전략센터에서는 부산지속가능발전대학을 2019년부터 단기교육과정으로 개설·운영해 오고 있으며, 참여 수강생들의 열기에 부응해 올해도 연속으로 5기 과정을 개설하고 교육을 실시했다. 특히, 이번 교육에서는 ‘ESG(Environmental, Social and Governance)와 지속가능발전’이라는 주제로 ESG에 대한 지식 확산을 목표로 교수 외에도 현업에 종사하는 실무강사진을 섭외해 강의를 제공함으로써 수강생들에게 현장감 있는 지식과 정보를 제공했다. 처음 개설한 2019년부터 참가 학생들의 만족도가 꾸준히 높아져 올해는 기존 30명에서 40명으로 수강 인원이 증가했다. 교육은 지난 7월 5일부터 7월 28일까지 4주간 16시간 동안 진행됐다. 위드 코로나 방역을 철저히 준수한 가운데 대면 강의로 진행됐으며, 28일 수료식을 끝으로 전 과정이 성공리에 마무리됐다."
7,「유니웰장학금」 1억 원 추가 지원 부산대 MBA 재학생 모임 「미래지원단」 약정,"부산대가 지난해 국립대 처음으로 보육원(아동복지시설) 출신 재학생들을 위해 매월 30만 원씩 생활비성 장학금을 지원하는 「유니웰장학금」을 신설하자, 이에 감동한 부산대 MBA과정 재학생들이 장학금을 모아 이들을 돕겠다며 선행에 나서고 있어 훈훈한 미담이 확산되고 있다. 경영대학원 MBA과정 재학생들로 구성된 미래지원단(단장 이정환)은 「유니웰장학생」의 장학금 지원을 위해 1억 원의 발전기금 출연을 약정했다. 미래지원단의 발대식을 겸한 장학금 약정식은 8월 8일 오전 대학본부 306호에서 개최됐다. ‘미래지원단’은 부산대 경영대학원 MBA과정 53기 원우회 김현정 회장을 포함한 53기 5명, 54기 5명 등 총 10명이 사회적으로 어려운 이들을 돕는 선행을 실천하자는 취지에서 구성된 단체로, 단원들은 부산대 MBA과정 재학생이면서 부울경 소재 기업의 대표나 임직원으로서 지역사회를 이끌어가는 리더이기도 하다. 미래지원단 이정환 단장은 “미래지원단은 어려운 여건 속에서도 학업에 매진하고 있는 학생들에게 경제적·정서적 지원을 통해 이들이 우리 사회의 중심 역할을 할 수 있는 인재로 성장할 수 있도록 지원하자는 취지에서 창단되었다”면서 “유니웰장학생들의 지원을 시작으로 추후 학교와 더욱더 소통하고 협력하여 다문화·탈북민가족 저소득층 학생들에게까지 지원을 확대할 계획”이라며 향후 더 큰 지원을 위한 포부를 밝혔다. 앞서, 부산대는 지난해 2021년 4월 아동복지시설 출신의 부산대 학생들의 안정적인 학업 지원과 후생복지를 위해 국립대 최초로 생활비성 장학금인 「유니웰장학금」을 신설해, 1인당 매월 30만 원의 장학금을 지급하고 있다. 이번 미래지원단의 장학금 출연으로 1인당 매월 20만 원의 추가 장학금을 받을 수 있게 됐다. 차정인 부산대 총장은 이날 약정식에서 “어려운 환경 속에서도 대학에 진학해 성공적인 사회 진출을 꿈꾸는 학생들이 경제적인 어려움에 구애받지 않고 꿈을 이룰 수 있도록 고등교육의 기회를 제공해주는 것은 국립대학의 마땅한 책무”라며 “아동복지시설을 나온 뒤 사회적 관심에서 소외되는 사각지대에 놓이는 학생들들 위해 부산대가 작년에 처음 ‘유니웰장학금’을 도입했다”고 취지를 소개했다. 차 총장은 이어 “미래지원단 단원분들은 우리 대학의 재학생이자 지역사회를 이끌어가는 리더들로서 지역사회와 미래세대들을 위한 중요한 징검다리를 놓아주고 있다”며 “여러분의 귀한 뜻이 지속적으로 잘 이어져서 우리 학생들이 좀 더 안정적으로 학업에 매진하고, 희망찬 미래를 만들어 갈 수 있길 바란다. 어려운 여건 속에서도 학업에 매진하고 있는 학생들이 우리 사회의 핵심 인재로 성장할 수 있도록 지원하기 위해 창단된 ‘미래지원단’이 그 이름처럼 우리 학생들의 미래를 더욱 밝게 열어줄 것으로 기대한다”고 감사로 화답했다."
8,중동 국가 '오만 응용과학기술대학' 대표단 해외 우수대학 벤치마킹 위해 부산대 방문,"오만 응용과학기술대학 사드 살림 아흐메드 자부브 총장 및 학생 대표단 46명이 오만 국가 주도의 차세대 발전전략 수립을 위한 해외 우수대학 기술 및 인프라 탐방과 양교 간 교류협력 증진을 위해 8월 1일 부산대를 방문했다.부산대는 이날 오만 응용과학기술대학에 부산대의 비전과 기계공학부 및 V-Space 설비·인프라 등을 소개하고, 두 대학 간 상호 협력과 교류 확대를 위한 다양한 방안을 논의했다. ‘오만 응용과학기술대학’은 오만 각 지역에 흩어져 있는 13개 공립대학을 2020년에 한 그룹으로 통합해 국가 경쟁력 향상을 위해 혁신 중이다. 13개 각 공립대학은 오만 응용과학기술대학(살랄라), 오만 응용과학기술대학(니즈와), 오만 응용과학기술대학(시나스), 오만 응용과학기술대학(이브라) 등으로 불리며, 이날 부산대를 찾은 사드 살림 아흐메드 자부브 총장은 오만 남서부의 항구 도시인 살랄라 지역에 위치한 오만 응용과학기술대학의 총장이다.이번 방문은 오만 국왕 주재 하에 이들 각 지역 13개 대학에서 선발된 최우수 학생들이 전 세계 우수기술을 벤치마킹하기 위해 이뤄진 것으로, 한국과 영국에 각각 대표단 40여 명이 파견됐다. 오만 측 방문단은 부산대의 최첨단 3D 프린팅 기술 및 시설 탐방을 특별히 요청해, 이날 기계공학부의 V-Space를 견학하고 실제 기계들을 체험해 봄으로써 부산대의 높은 기술력과 인프라를 공유했다. 부산대 ‘V-Space’는 3D 프린터를 포함한 창작 장비와 사물인터넷을 통해 실생활에 필요한 거의 모든 제품을 직접 만들어 낼 수 있는 공간으로, 최첨단 설비와 장비를 갖춰 기업체 및 학생들로부터 각광받으며 4차 산업혁명시대의 창조형 리더 양성에 기여하고 있다. 부산대와 오만 응용과학기술대학은 향후 공과대학 중심의 연구 인력 양성 및 교류를 위한 협력에 힘쓰기로 합의하고, 구체적인 교류협력 방안을 더욱 세밀히 모색해 나가기로 했다. 부산대는 이번 대표단 방문을 통해 오만의 우수 인재 유치 및 양 기관 간 교류 활성화의 계기를 가졌다.* 사진: (위쪽부터) V-Space를 방문해 부산대의 최첨단 3D 프린팅 기술 및 시설에 대한 설명을 듣고 있는 오만 방문단과 기념 촬영 모"
9,[부산대기술지주㈜] 대학창업펀드 35억 원 조성 대학발 혁신 창업생태계 조성에 앞장,"부산대기술지주㈜(대표이사 최경민·기계공학부 교수)가 2018년과 2019년에 이어 올해 세 번째 ‘창업펀드’를 조성해 학생창업 및 교원창업, 자회사 투자를 활성화함으로써 대학발(發) 혁신 창업생태계 조성에 앞장선다. 부산대기술지주㈜는 교육부와 한국벤처투자가 주관하는 ‘한국모태펀드 2022년 교육계정 출자사업’에 선정돼 「부산대대학창업 제3호 개인투자조합 결성 총회」 행사를 7월 29일 오전 교내 산학협동관 512호에서 개최했다. ‘부산대대학창업 제3호 개인투자조합’은 35억 원의 투자금을 운용하며 지역의 학생창업기업, 교원창업기업과 자회사에 투자할 계획이다. 투자조합에는 부산대기술지주(주)가 업무 집행조합원으로 참여했고, 한국모태펀드가 특별조합원, 유한책임조합원 중 대학기관으로는 숙명여대기술지주, 세종대기술지주, 인제대 산학협력단, 대전대기술지주가, 기술사업화 전문기관으로는 ㈜아이티엘과 ㈜티랩이 참여했다. 이번 결성으로 부산대기술지주㈜는 총 4개의 투자조합에서 152억 원의 투자금을 운용하게 됐다. 이를 통해 현재 보육 중인 대학발 우수 창업기업(학생창업, 교원창업, 자회사)의 안정적 성장을 지원하고, 지역 내 스타트업과 창업자들도 지속적으로 발굴·투자를 이어갈 예정이다. 부산대기술지주㈜는 지난 4년에 걸쳐 쌓아 온 운용 노하우와 자회사 지원을 통해 얻은 투자연계·유치 경험을 바탕으로 개인투자조합의 성과 확대를 기대하고 있다."
