,제목,내용
0,"입학처, 2022년 전공탐색의 날 개최","학생들이 진로탐색 프로그램을 체험하고 있다입학처는 지난 8월 4일 대양홀과 강의실에서 고등학생을 대상으로 전공탐색의 날을 개최했다. 이번 행사는 고교생이 희망하는 전공에 대한 실질적이고 알찬 정보를 제공하기 위해 실시되었다. 이날 행사에는 전공 선택에 관심이 있는 고등학생 800여 명이 참석했다. 행사는 환영사 2023학년도 입학설명회 '전공선택과 대학생활' 특강 '진로 준비와 취업' 특강 전공탐색(학과소개·체험·실습활동) 순으로 진행됐다.'전공선택과 대학생활' 특강은 만화애니메이션학과 한창완 교수가 진행하였다. 한창완 교수는 성공적인 대학진학과 진로설계를 위해 지금부터 무엇을 생각하고 준비해 나가야 할지에 대해 강연했다.'진로 준비와 취업' 특강은 이예진 취업지원관이 진행하였다. 이예진 취업지원관은 진로를 고민하는 고교생들에게 필요한 정보와 노하우를 제공하였다.전공탐색에는 국제학부(중국통상학전공)와 호텔관광외식경영학부, 물리천문학과, 국방시스템공학과 등 23개 학과가 참여하였다. 해당 전공 교수와 재학생 선배가 전공에 대한 교육과정, 학과생활, 졸업 후 취업현황, 특강, 체험, 실습 등을 자세하게 안내했다.이날 행사에 참여한 김가인(우신고·1학년) 학생은 ""전공탐색 프로그램을 통해 진로에 대한 확신을 가질 수 있었다. 직접 전공을 체험해보고 전공에 대한 폭넓은 정보를 얻을 수 있어 전공 선택에도 큰 도움이 되었다""라고 말했다."
1,"세종대, 세종시·고려대 세종캠퍼스와 함께 ‘2022 핵테온 세종’ 개최","<2022 핵테온 세종> 포스터세종대는 세종시·고려대 세종캠퍼스와 함께 8월 11일부터 12일까지 정부세종컨벤션센터에서 전국 대학생 사이버보안 경진대회 및 콘퍼런스인 ‘2022 핵테온 세종’을 개최한다.이번 행사는 전국에서 최초로 진행되는 대학생 대상 사이버보안 경진대회다. 사이버보안의 중요성이 확대되는 상황 속에서 사이버보안 대응 역량을 강화하고 정보보안 청년 인재를 발굴하기 위해 기획됐다. 세종대는 이번 행사에서 콘퍼런스 프로그램을 준비하고 사이버보안 경진대회에 참가하는 학생을 지도하는 역할을 맡는다. 행사 프로그램은 경진대회 채용박람회 사이버보안 기술전시 학술대회 등이다. 경진대회 참가 자격은 4인 이하의 팀이다. 팀은 대학(원) 재학생으로 구성되어야 한다. 대회는 첫째 날 진행되며 문제풀이(Jeopardy) 형식으로 이뤄진다. 시상식은 둘째 날 진행되며 대상부터 특별상까지 총 9팀을 선정하여 2,000만 원 상당의 상금과 부상을 수여한다.채용박람회에서는 청년 인재 발굴과 육성을 위해 현장 면접 등의 프로그램을 준비하고 있다. 사이버보안 기술전시에서는 정보보호·정보통신 분야의 신기술을 한눈에 확인할 수 있다. 학술대회에서는 사이버보안 관련 강연이 진행된다.이번 행사의 담당자인 정보보호학과 이종혁 교수는 “세종대가 이번 행사를 주관하게 되어 기쁘다. 이번 행사가 전국에 있는 정보보호를 공부하는 많은 대학생이 자신의 기량을 뽐내고 사이버보안과 관련된 다양한 이슈들을 확인해 볼 수 있는 기회가 되었으면 좋겠다”라고 말했다."
2,"산학협력단, 꿈의 무용단 세종대학교 프로그램 ‘2022 꿈의 무용단-이야기하는 몸’ 운영","‘2022 꿈의 무용단-이야기하는 몸’ 포스터세종대학교 산학협력단은 세종무용콘텐츠연구소와 함께 8월 27일부터 11월 12일까지 꿈의 무용단 세종대학교 프로그램 ‘2022 꿈의 무용단-이야기하는 몸’을 운영한다.‘2022 꿈의 무용단-이야기하는 몸’은 문화체육관광부가 주최하고 한국문화예술교육진흥원이 주관하는 문화예술교육사업인 ‘꿈의 무용단 운영사업’의 일환이다. 이번 프로그램은 나의 몸을 관찰·기록하여 인상적인 경험을 움직임으로 표현하고 영상으로 담아보면서 청소년들의 가치관과 정체성 확립, 미래 역량 발굴 등 다면적인 성장을 할 수 있도록 돕고자 마련됐다.프로그램은 전체 11회차로 진행되며 매주 토요일 세종대학교 새날관에서 무료로 대면 수업으로 진행된다.프로그램은 차수별로 ‘몸’을 주제로 자신의 이야기를 시각화하기, 각자 작성한 몸의 일기를 바탕으로 작품화하기, 음악에 반응하여 즉흥 움직임 표현하기 등의 활동으로 구성된다. 참가자들은 무용과 미디어를 중심으로 하는 미적 체험활동을 통해 몸을 다각적으로 바라보고 해석하면서 개개인의 고유성을 인정하고 타인을 존중하는 태도를 기를 수 있다.모집 인원은 오전반(09:30 ~ 12:30) 1기 15명 내외, 오후반(14:00 ~ 17:00) 2기 15명 내외이다. 모집 기간은 2022년 7월 25일부터 모집 완료까지이며 신청 대상은 14~18세 청소년이다. 신청 방법은 https://naver.me/GE5oSnNj 네이버 폼에서 참여자 모집 신청서 작성 후 제출하면 된다. 총괄책임자를 맡은 무용과 김형남 교수는 “이번 사업은 '꿈의 오케스트라'의 무용 버전으로 올해 예술지원사업에서 주목받고 있는 사업이다. 첫해 진행되는 사업에 세종대 산학협력단과 함께 선정되어 무한한 영광과 함께 책임감을 느끼고 있다.”라고 말했다.자세한 문의는 sjdcc2014@naver.com로 문의하면 된다."
3,"비교과통합지원센터, 비교과프로그램 우수후기 공모전 진행","박수아 학생 수상작비교과통합지원센터는 지난 7월 15일 2022-1학기 비교과프로그램 우수후기 공모전을 진행했다.이번 공모전은 비교과프로그램에 참여한 후기를 공유하고 교내 비교과 교육과정을 활성화하기 위한 프로그램이다.공모전에는 총 51명이 참여했으며, 참여 학생들은 2022년 1학기에 직접 참여한 비교과프로그램에 대한 수기, 포스터, 웹툰, 영상 등을 제작했다.제작 작품에는 학생들이 참여한 프로그램에 대한 간략한 소개, 참여 계기와 이유, 수강 후 변화된 점과 느낀 점이 포함됐다.수상은 우수상 5명, 장려상 10명에게 주어졌다. 우수상은 박수아(창의소프트학부∙21), 권회원(기계항공우주공학부∙20), 박소영(경영학부∙20), 이현진(미디어커뮤니케이션학과∙19), 송예은(교육학과∙19) 학생이 차지했다. 우수상은 20만 원, 장려상은 10만 원의 상금이 지급됐다. 우수상을 수상한 박수아 학생은 “학습컨설팅 프로그램 수강하여 알맞은 공부법과 습관을 배울 수 있었다. 프로그램을 통해 달라진 학습법과 성장한 모습을 웹툰으로 제작했다. 학습컨설팅 후기 만화를 통해 더 많은 학생이 비교과 프로그램에 관심을 가지면 좋겠다”라고 말했다."
4,"국방시스템공학과, 하계 해양실습 진행","국방시스템공학과 단체사진요트 실습원거리 생환 수영 실습국방시스템공학과는 지난 7월 25일부터 28일까지 고성군 당항포에서 하계 해양실습을 진행했다.이번 실습은 바다에서 학생들의 협동심을 배양하고 위험한 상황을 극복해가는 미래 해군장교로서 역량을 배양하기 위해 실시됐다.이번 실습의 참여 학생은 국방시스템공학과 2학년 학생 32명이다. 학생들은 실습에서 딩기요트, 윈드서핑, 카약, 원거리 생환 수영 등을 배웠다. 학생들은 딩기요트 조정법을 익혀 미래 해군장교로서 함정을 조정할 수 있는 기초 운용능력을 갖추게 됐다. 또한 윈드서핑과 카약 실습을 통해 바다에 대한 두려움을 극복할 수 있게 됐다. 원거리 생환 수영 훈련으로 단결심과 협동심을 키움과 동시에 어떤 어려운 상황에서도 생존할 수 있는 능력도 배양할 수 있었다.실습에 참여한 방태곤(국방시스템공학과·21) 학생은 “미래 해군 장교로서 자질을 갖출 수 있는 해양 레포츠를 배울 수 있는 좋은 시간이었다. 가장 기억에 남는 활동은 원거리 생환 수영이었다. 동기 서로를 응원하며 다 같이 완주했을 때 가슴속에서 뜨거운 전우애를 느낄 수 있었다”라고 말했다."
5,"물리천문학과, 외국 석학 초청 항성 분광학 특강 실시","항성 분광학 특강 포스터 물리천문학과는 8월 8일부터 8월 10일까지 3일간 미국 텍사스 대학 Christopher Sneden교수의 항성 분광학 특별 강의를 실시한다. 이번 특강은 물리천문학과 항성종족연구실 이재우 교수가 항성 분광학 전공 심화 학습을 위해 기획했다. 특강은 항성분광학의 소개와 함께 항성의 대기에서 분광선이 만들어지는 과정, 지상의 관측자가 항성으로부터 온 빛을 분석하는 과정 등으로 진행된다.  Sneden교수는 미국 텍사스 대학의 천문학과에 재직하고 있으며, 항성 분광학 측면을 연구한다. Sneden교수는 Stellar Spectrocopy, Neutron-capture elements in the early galaxy 등의 주요 연구를 했다. 특강은 8월 8일부터 10일까지 매일 오후 2시부터 4시까지 영실관 601호에서 영어로 진행된다. 특강은 물리천문학과 학부생과 대학원생이면 누구나 참여가능하다.코로나 거리두기로 인해 수강 인원의 제한이 있다. 신청은 8월 3일까지 온라인 신청을 통해 할 수 있다. 신청은 포스터 내 QR코드를 스캔해 설문지를 작성하거나 https://forms.gle/bhqBsVpQ84Rks3oK6 에서 할 수 있다. 이재우 교수는 “항성 분광학의 국제적인 석학인 Christopher Sneden 교수를 초청하게 되어 기쁘다. 이번 강의는 항성 분광학의 이론과 실습이 단기간 집중 코스로 진행된다. 현재 우리나라가 참여하고 있는 Germini와 K-GMT를 이용한 고분산 분광학 분야의 후속 연구 인력 양성에도 큰 도움이 되길 바란다”라고 말했다."
6,"학생생활상담소, 마음건강특강 개최","마음건강특강 포스터학생생활상담소는 8월 9일 광진구정신건강복지센터와 함께 마음건강특강을 개최한다.이번 특강은 교내 교직원의 직무 스트레스 정도를 평가하고 정신건강 증진을 도모하고자 마련됐다.특강의 주제는 ‘직무 스트레스의 이해와 효과적인 대처법’이다. 특강은 (주)스트레스앤여가 홍성아 부대표가 맡으며, 직무 스트레스 이해, 자가진단, 스트레스 면역력 훈련과 관련한 내용을 전달한다.특강은 8월 9일 오후 2시에서 4시까지 온라인으로 진행된다.대상은 세종대 교원, 직원이라면 누구나 가능하다. 모집인원은 30명으로 선착순 마감한다.신청은 8월 8일까지 구글폼(https://forms.gle/fRuR8k2QirmqrZFQ9)을 통해 할 수 있다.자세한 내용은 학생생활상담소(02-3408-3336)로 문의하면 된다."
7,[포토뉴스] 제주특별자치도 250km를 일주한 제10회 국토대장정 현장에 가다,대원들이 발대식에서 조 이름과 구호를 소개하고 있다대장정에 앞서 선서식을 진행하고 있다대정에서 안덕으로 이동하는 행렬대원들이 조원들과 함께 휴식을 취하는 모습대원들이 100km 돌파지점을 통과하고 있다휴식시간에 수박을 나눠먹는 모습폭우 속에도 대장정을 이어 가고 있다모자를 위로 던지며 국토대장정 완주를 기념하고 있다세종대학교는 지난 7월 4일부터 15일까지 2022학년도 제10회 국토대장정 행사를 진행했다. 행사에 참여한 학생들은 11박 12일 동안 제주특별자치도 약 250km를 일주했다. 참가 학생들은 학우애를 쌓으며 대학발전과 자신의 미래를 함께 고민하는 소중한 기회를 가졌다.
8,"세종 글로벌버디, 19기 신입버디 모집","글로벌버디 19기 모집 공식 포스터세종 글로벌버디는 8월 1일부터 8월 10일까지 19기 신입 버디를 모집한다.글로벌버디는 대외협력처 원스탑서비스센터(SOS)의 봉사 자치단체이다. 외국인 학생들과 문화적 언어적 교류를 통해 친밀한 관계를 형성하는 활동을 한다. 글로벌버디의 활동은 소모임 운영 Welcoming Party 무도회 등이다. 매 학기 다양한 활동과 행사를 진행한다. 지원 분야는 총 4가지이다. 기획팀, 홍보팀, 행정팀과 영상팀이다. 이 중 하나를 선택하여 지원하면 된다. 기획팀은 공식행사를 기획하고 기획안과 보고서를 작성한다. 홍보팀은 홍보물을 제작하고 공식 SNS 계정을 관리한다. 영상팀은 활동사진을 촬영하고 영상을 제작한다. 행정팀은 외국인 학생과 한국인 학생을 매칭하고 각종 모임과 봉사 시간을 관리한다.선발은 1차 서류 전형과 2차 면접전형으로 진행된다. 7월 29일에 웹엑스로 진행되는 모집 설명회 참석 시 선발 가산점을 받을 수 있다.지원 자격은 1년 동안 활동 가능한 세종대학교 학생이다. 재학생과 휴학생 모두 지원이 가능하다. 선발되면 공식활동에 의한 봉사 시간을 인정해 준다. 해외 교환학생 선발 시 가산점의 혜택도 주어진다.접수는 학교 홈페이지 대외협력처 공지 게시판(www.sejong.ac.kr)에서 지원서를 다운한 후 메일(gbsejong18@gmail.com)로 보내면 된다. 자세한 내용은 글로벌버디 회장(010-5653-7548)에게 문의하면 된다."
9,"세종대 입학처, 2022 전공탐색의 날 개최","세종대 전경세종대 입학처는 8월 4일 대양홀과 각 학과의 강의실에서 고교생을 대상으로 한 2022 전공탐색의 날 행사를 개최한다.이번 행사는 고교생이 희망하는 전공에 대한 실질적이고 알찬 정보를 제공하기 위해 실시된다.행사는 오전 9시30분부터 오후3시까지 진행된다. 오전 10시부터 20분간 입학처가 환영사와 입학전형 안내를 진행한 뒤 ‘전공선택과 대학생활’과 ‘진로준비와 취업’이란 주제의 특강이 각 50분간 진행된다. 이후 12시부터 전공별로 학과 강의실로 이동해 점심식사와 선배와의 만남이 이뤄진다. 학과소개, 체험, 실습 등 전공탐색이 진행되며 동시에 자유로운 입시상담도 가능하다.프로그램의 참여 학과는 중국통상학전공, 역사학과, 교육학과, 행정학과, 미디어커뮤니케이션학과, 호텔관광외식경영학부, 물리천문학과, 식품생명공학전공, 바이오융합공학전공, 스마트생명산업융합학과, 컴퓨터공학과, 데이터사이언스학과, 디자인이노베이션전공, 만화애니메이션텍전공, 인공지능학과, 건축학과, 항공시스템공학전공, 나노신소재공학과, 양자원자력공학과, 국방시스템공학과, 영화예술학과, 법학전공, 호텔외식관광프랜차이즈경영학과(특성화고 대상) 등 23개다.입학처 관계자는 “전공탐색의 날 행사는 자신이 희망하는 전공을 미리 경험해볼 수 있는 행사이자, 수험생들에게 있어 대학 진학에 큰 도움을 받을 수 있는 기회다. 행사를 통해 많은 수험생들이 본인의 희망 전공을 직접 탐색해보는 좋은 시간이 되길 바란다”라고 말했다."
