,키워드,품사,textrank
0,학생,NNG,58.26249160884567
1,연구,NNG,46.54536596736449
2,제공,NNG,38.28049355669593
3,교육,NNG,35.98414153104941
4,건강,NNG,34.11163521998159
5,사회,NNG,28.80324232584603
6,지원,NNG,28.344290508533078
7,지역,NNG,27.75520514244567
8,프로그램,NNG,27.04849125242178
9,여성,NNG,26.30495969718774
10,개발,NNG,24.439299416505417
11,대학,NNG,24.242597007780926
12,가능,NNG,21.46918696083617
13,포함,NNG,18.68577016622055
14,지속,NNG,18.450022293591896
15,프로젝트,NNG,16.27737302259461
16,목표,NNG,15.955061744122247
17,식품,NNG,15.43078671196054
18,기술,NNG,15.27269970836204
19,사람,NNG,14.965128845998517
20,세계,NNG,14.603727423268326
21,서비스,NNG,14.441097361249842
22,학습,NNG,14.142554545407043
23,센터,NNG,13.85731998483126
24,사용,NNG,13.691261048931812
25,과학,NNG,13.075067906310867
26,학교,NNG,12.92031727896354
27,관련,NNG,12.50936460164859
28,영향,NNG,12.356931517429416
29,참여,NNG,11.649694554401044
