,키워드,품사,textrank
0,교수,NNG,324.0867608195409
1,대학,NNG,313.90562126177906
2,연구,NNG,225.24170381710937
3,학생,NNG,224.23372101778972
4,교육,NNG,219.78735497238972
5,진행,NNG,103.38241838938923
6,지원,NNG,101.78703329435885
7,이번,NNG,89.49024236078453
8,개발,NNG,82.1941643676334
9,사업,NNG,81.70347212918406
10,한국,NNP,78.85138778756696
11,사회,NNG,77.82148353864963
12,과학,NNG,77.69599029015784
13,분야,NNG,76.866786104865
14,지역,NNG,76.4770762704192
15,팀,NNG,71.57011764568503
16,대학교,NNG,70.83136220812393
17,기술,NNG,68.2251091424971
18,센터,NNG,68.17624876877048
19,프로그램,NNG,66.21269262544416
20,국제,NNG,66.11035020323965
21,과정,NNG,66.04849193996475
22,참여,NNG,65.15017164848304
23,말,NNG,62.989566319201074
24,학교,NNG,62.54081392991114
25,전공,NNG,61.14616436378547
26,총장,NNG,59.77990958851773
27,세계,NNG,58.97733445775732
28,평가,NNG,58.10748078045164
29,선정,NNG,58.004476596869274
