,Unnamed: 0,키워드,품사,textrank
0,0,위성,NNG,12.125114226098152
2,2,큐브,NNP,8.82022300624509
7,7,구조,NNG,4.922334539079896
8,8,암각화,NNG,4.846249217307454
11,11,기반,NNG,4.054756480824468
12,12,단일,NNG,3.688811173997943
13,13,데이터,NNG,3.473071637751614
14,14,활용,NNG,3.4717854384900817
15,15,분석,NNG,3.397740148213426
16,16,발사,NNG,3.391736661277548
17,17,정보,NNG,3.115854434748565
18,18,우주,NNG,2.998040285817284
24,24,논문,NNG,2.718913390701905
25,25,미세먼지,NNP,2.7062173886894065
26,26,상태,NNG,2.689305975132941
27,27,규명,NNG,2.6774735457422296
28,28,카,NNG,2.609309772255092
29,29,현상,NNG,2.5453952942785016
