,Unnamed: 0,키워드,품사,textrank
1,1,바이오,NNP,5.071345747546255
2,2,지사,NNG,4.625877479783697
5,5,교류,NNG,4.337865452536974
7,7,국제,NNG,3.829225322602762
8,8,영상,NNG,3.803778534045111
10,10,중국,NNP,3.573940280178862
11,11,산업,NNG,3.569380834022517
13,13,영화제,NNG,3.176889244292558
14,14,협력,NNG,2.9341595154801494
15,15,김,NNP,2.834669690871571
16,16,총장,NNG,2.7624888076808483
17,17,제천,NNP,2.6713211227883384
19,19,분과,NNG,2.4100552394248465
20,20,대사,NNG,2.4060860922444864
25,25,발전,NNG,2.1921876222706205
26,26,싱,NNP,2.131500485192115
27,27,회의,NNG,2.124784866563921
28,28,음악,NNG,2.1137744117313644
29,29,정부,NNG,2.052061631865445
